Year,Series,Lurralde historikoa,Units,Value
2012,BPGren urte arteko aldakuntza-tasa,,Porcentaje,-1.9
2013,BPGren urte arteko aldakuntza-tasa,,Porcentaje,-1.7
2021,BPGren urte arteko aldakuntza-tasa,,Porcentaje,6.0
2015,BPGren urte arteko aldakuntza-tasa,,Porcentaje,3.0
2020,BPGren urte arteko aldakuntza-tasa,,Porcentaje,-9.6
2018,BPGren urte arteko aldakuntza-tasa,,Porcentaje,3.1
2016,BPGren urte arteko aldakuntza-tasa,,Porcentaje,3.3
2014,BPGren urte arteko aldakuntza-tasa,,Porcentaje,1.7
2010,BPGren urte arteko aldakuntza-tasa,,Porcentaje,0.7
2017,BPGren urte arteko aldakuntza-tasa,,Porcentaje,2.8
2019,BPGren urte arteko aldakuntza-tasa,,Porcentaje,2.3
2022,BPGren urte arteko aldakuntza-tasa,,Porcentaje,5.4
2011,BPGren urte arteko aldakuntza-tasa,,Porcentaje,0.3
2010,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,1.2
2011,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,0.8
2017,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,2.1
2021,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,6.0
2016,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,3.1
2014,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,2.0
2013,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,-1.7
2012,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,-2.3
2022,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,4.3
2019,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,1.9
2020,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,-10.4
2015,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,3.0
2018,BPGren urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,2.2
2021,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,6.1
2015,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,2.8
2012,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,-2.2
2020,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,-9.2
2022,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,6.5
2018,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,2.9
2014,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,1.4
2019,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,2.2
2011,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,0.2
2010,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,0.6
2016,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,3.5
2017,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,3.0
2013,BPGren urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,-1.5
2015,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,3.4
2012,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,-1.3
