Year,Series,Units,Value
2016,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",PT,0.41
2020,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",PT,0.52
2017,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",PT,0.44
2019,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",PT,0.47
2014,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",PT,0.37
2015,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",PT,0.39
2021,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",PT,0.53
2018,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",PT,0.45
2022,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",PT,0.52
2013,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",PT,0.38
2014,Atzerrira bidalitako bidalketen bolumena,EUR_1000000,244.69
2013,Atzerrira bidalitako bidalketen bolumena,EUR_1000000,249.06
2015,Atzerrira bidalitako bidalketen bolumena,EUR_1000000,268.77
2017,Atzerrira bidalitako bidalketen bolumena,EUR_1000000,322.91
2016,Atzerrira bidalitako bidalketen bolumena,EUR_1000000,291.52
2018,Atzerrira bidalitako bidalketen bolumena,EUR_1000000,349.76
2019,Atzerrira bidalitako bidalketen bolumena,EUR_1000000,373.68
2020,Atzerrira bidalitako bidalketen bolumena,EUR_1000000,370.7
2021,Atzerrira bidalitako bidalketen bolumena,EUR_1000000,416.84
2022,Atzerrira bidalitako bidalketen bolumena,EUR_1000000,451.98
