Year,Adina,Sexua,Units,Value
2013,Y2T17,Gizona,Ehunekoa,35.0
2018,Y2T17,Gizona,Ehunekoa,34.1
2013,Y2T17,Emakumea,Ehunekoa,36.4
2018,Y2T17,Emakumea,Ehunekoa,30.3
2013,Y2T17,,Ehunekoa,35.6
2018,Y2T17,,Ehunekoa,33.4
2011,Y_GE18,Gizona,Ehunekoa,15.2
2013,Y_GE18,Gizona,Ehunekoa,15.2
2014,Y_GE18,Gizona,Ehunekoa,14.2
2017,Y_GE18,Gizona,Ehunekoa,14.2
2018,Y_GE18,Gizona,Ehunekoa,14.0
2019,Y_GE18,Gizona,Ehunekoa,13.5
2011,Y_GE18,Emakumea,Ehunekoa,15.3
2013,Y_GE18,Emakumea,Ehunekoa,13.8
2014,Y_GE18,Emakumea,Ehunekoa,11.9
2017,Y_GE18,Emakumea,Ehunekoa,13.5
2018,Y_GE18,Emakumea,Ehunekoa,11.7
2019,Y_GE18,Emakumea,Ehunekoa,13.5
2011,Y_GE18,,Ehunekoa,15.3
2013,Y_GE18,,Ehunekoa,14.5
2014,Y_GE18,,Ehunekoa,13.0
2017,Y_GE18,,Ehunekoa,13.8
2018,Y_GE18,,Ehunekoa,12.8
2019,Y_GE18,,Ehunekoa,13.5
