Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2014,EU_SDG_02_40,,,,PT,,1.3
2010,EU_SDG_02_40,,,,PT,,0.8
2021,EU_SDG_02_40,,,,PT,,3.5
2018,EU_SDG_02_40,,,,PT,,2.0
2019,EU_SDG_02_40,,,,PT,,2.5
2013,EU_SDG_02_40,,,,PT,,1.2
2012,EU_SDG_02_40,,,,PT,,1.1
2023,EU_SDG_02_40,,,,PT,,4.8
2016,EU_SDG_02_40,,,,PT,,1.5
2009,EU_SDG_02_40,,,,PT,,0.7
2011,EU_SDG_02_40,,,,PT,,0.9
2020,EU_SDG_02_40,,,,PT,,3.0
2015,EU_SDG_02_40,,,,PT,,1.3
2022,EU_SDG_02_40,,,,PT,,4.1
2017,EU_SDG_02_40,,,,PT,,1.9
2008,EU_SDG_02_40,,,,PT,,0.6
2012,EU_SDG_02_40,,,ES48001,PT,ES48001,0.5
2017,EU_SDG_02_40,,,ES48001,PT,ES48001,0.3
2013,EU_SDG_02_40,,,ES48001,PT,ES48001,0.5
2011,EU_SDG_02_40,,,ES48001,PT,ES48001,0.5
2019,EU_SDG_02_40,,,ES48001,PT,ES48001,3.8
2014,EU_SDG_02_40,,,ES48001,PT,ES48001,0.5
2010,EU_SDG_02_40,,,ES48001,PT,ES48001,0.3
2022,EU_SDG_02_40,,,ES48001,PT,ES48001,5.5
2020,EU_SDG_02_40,,,ES48001,PT,ES48001,5.3
2016,EU_SDG_02_40,,,ES48001,PT,ES48001,0.3
2015,EU_SDG_02_40,,,ES48001,PT,ES48001,0.5
2018,EU_SDG_02_40,,,ES48001,PT,ES48001,0.3
2023,EU_SDG_02_40,,,ES48001,PT,ES48001,5.6
2021,EU_SDG_02_40,,,ES48001,PT,ES48001,5.6
2018,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,1.0
2023,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,2.2
2015,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,0.0
2021,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,2.2
2016,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,0.0
2012,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,1.1
2022,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,2.2
2010,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,1.1
2014,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,0.0
2017,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,0.0
2020,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,0.8
2013,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,1.1
2019,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,0.8
2011,EU_SDG_02_40,,,Abaltzisketa,PT,Abaltzisketa,1.1
2019,EU_SDG_02_40,,,ES48002,PT,ES48002,0.1
2021,EU_SDG_02_40,,,ES48002,PT,ES48002,0.3
2014,EU_SDG_02_40,,,ES48002,PT,ES48002,0.0
2022,EU_SDG_02_40,,,ES48002,PT,ES48002,0.3
2010,EU_SDG_02_40,,,ES48002,PT,ES48002,0.0
2011,EU_SDG_02_40,,,ES48002,PT,ES48002,0.0
2015,EU_SDG_02_40,,,ES48002,PT,ES48002,0.0
2018,EU_SDG_02_40,,,ES48002,PT,ES48002,1.9
2017,EU_SDG_02_40,,,ES48002,PT,ES48002,0.0
