Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2021,All,,,PT,,0.8
2011,All,,,PT,,0.7
2017,All,,,PT,,0.9
2019,All,,,PT,,0.8
2014,All,,,PT,,0.7
2010,All,,,PT,,0.7
2018,All,,,PT,,0.8
2012,All,,,PT,,0.8
2016,All,,,PT,,0.7
2022,All,,,PT,,0.8
2020,All,,,PT,,0.7
2013,All,,,PT,,0.8
2015,All,,,PT,,0.7
2023,All,,,PT,,0.8
2015,,,ES48001,PT,ES48001,0.2
2016,,,ES48001,PT,ES48001,0.2
2019,,,ES48001,PT,ES48001,0.2
2018,,,ES48001,PT,ES48001,0.2
2017,,,ES48001,PT,ES48001,0.2
2021,,,ES48001,PT,ES48001,0.2
2014,,,ES48001,PT,ES48001,0.2
2020,,,ES48001,PT,ES48001,0.3
2019,,,Abaltzisketa,PT,Abaltzisketa,5.8
2016,,,Abaltzisketa,PT,Abaltzisketa,6.9
2015,,,Abaltzisketa,PT,Abaltzisketa,8.8
2018,,,Abaltzisketa,PT,Abaltzisketa,5.1
2020,,,Abaltzisketa,PT,Abaltzisketa,5.9
2017,,,Abaltzisketa,PT,Abaltzisketa,6.3
2014,,,Abaltzisketa,PT,Abaltzisketa,6.0
2021,,,Abaltzisketa,PT,Abaltzisketa,7.1
2016,,,ES48002,PT,ES48002,0.3
2018,,,ES48002,PT,ES48002,0.2
2014,,,ES48002,PT,ES48002,0.4
2020,,,ES48002,PT,ES48002,0.2
2021,,,ES48002,PT,ES48002,0.2
2017,,,ES48002,PT,ES48002,0.2
2019,,,ES48002,PT,ES48002,0.2
2015,,,ES48002,PT,ES48002,0.3
2015,,,Aduna,PT,Aduna,0.7
2021,,,Aduna,PT,Aduna,0.4
2019,,,Aduna,PT,Aduna,0.5
2016,,,Aduna,PT,Aduna,0.6
2020,,,Aduna,PT,Aduna,0.3
2018,,,Aduna,PT,Aduna,0.4
2017,,,Aduna,PT,Aduna,0.6
2014,,,Aduna,PT,Aduna,0.5
2021,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,1.4
2014,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,2.6
