Year,Series,Sexua,Units,Value
2013,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,14.8
2015,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,11.8
2023,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,11.0
2022,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,10.8
2012,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,15.8
2021,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,8.4
2019,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,9.0
2014,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,14.8
2016,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,12.7
2017,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,10.5
2018,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,9.9
2020,Tuberkulosiaren intzidentzia 100.000 biztanleko,,PER_100000,10.7
2016,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,9.6
2018,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,6.9
2017,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,8.5
2020,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,7.8
2015,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,9.7
2021,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,6.7
2023,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,8.2
2019,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,6.6
2022,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,8.5
2012,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,12.5
2013,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,12.2
2014,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,PER_100000,12.1
2018,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,13.1
2012,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,19.3
2021,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,10.1
2014,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,17.7
2023,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,14.0
2020,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,13.9
2016,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,15.9
2013,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,17.5
2015,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,14.0
2017,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,12.6
2019,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,11.6
2022,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,PER_100000,13.3
