Year,Sexo,Units,Value
2022,,Por 100.000,0.0
2020,,Por 100.000,0.36
2012,,Por 100.000,0.92
2016,,Por 100.000,0.46
2021,,Por 100.000,0.0
2018,,Por 100.000,0.64
2013,,Por 100.000,1.06
2017,,Por 100.000,0.92
2010,,Por 100.000,1.61
2019,,Por 100.000,0.23
2014,,Por 100.000,1.1
2015,,Por 100.000,0.69
2011,,Por 100.000,1.06
2010,Mujer,Por 100.000,0.45
2011,Mujer,Por 100.000,0.18
2012,Mujer,Por 100.000,0.45
2013,Mujer,Por 100.000,0.45
2014,Mujer,Por 100.000,0.36
2015,Mujer,Por 100.000,0.27
2016,Mujer,Por 100.000,0.27
2017,Mujer,Por 100.000,0.18
2018,Mujer,Por 100.000,0.27
2020,Mujer,Por 100.000,0.27
2021,Mujer,Por 100.000,0.0
2019,Mujer,Por 100.000,0.18
2022,Mujer,Por 100.000,0.0
2021,Hombre,Por 100.000,0.0
2015,Hombre,Por 100.000,1.14
2012,Hombre,Por 100.000,1.41
2022,Hombre,Por 100.000,0.0
2016,Hombre,Por 100.000,0.66
2013,Hombre,Por 100.000,1.7
2011,Hombre,Por 100.000,1.98
2010,Hombre,Por 100.000,2.83
2017,Hombre,Por 100.000,1.7
2018,Hombre,Por 100.000,1.04
2019,Hombre,Por 100.000,0.28
2014,Hombre,Por 100.000,1.89
2020,Hombre,Por 100.000,0.47
