Year,Series,Gaixotasun ez-kutsakorra,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2023,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,21.7
2015,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,284.0
2019,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PT,,9.6
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,612.8
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,255.5
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,256.3
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,76.3
2018,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,281.7
2011,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,22.0
2012,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,21.8
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,71.1
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,616.2
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,78.8
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,69.2
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,76.6
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,263.8
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,56.0
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,607.8
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,65.4
2010,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,23.9
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,625.9
2019,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,277.6
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,620.7
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,647.2
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,68.7
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,264.6
2023,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,274.9
2022,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,282.3
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,628.5
2018,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,20.6
2017,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,282.4
2016,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,19.5
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,248.1
2020,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,22.8
2019,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,20.7
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,257.1
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,648.9
2020,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,273.5
2014,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,283.9
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,261.3
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,263.2
2021,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,276.7
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,265.0
2015,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PT,,10.3
2015,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,22.2
2010,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PT,,11.0
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,81.7
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,613.0
2013,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,23.2
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,248.6
