Year,Series,Sexua,Units,Value
2013,Kolon eta ondesteko minbizia,,PT,69.7
2014,Kolon eta ondesteko minbizia,,PT,70.7
2017,Kolon eta ondesteko minbizia,,PT,72.3
2023,Kolon eta ondesteko minbizia,,PT,70.4
2019,Kolon eta ondesteko minbizia,,PT,71.5
2022,Kolon eta ondesteko minbizia,,PT,70.5
2012,Kolon eta ondesteko minbizia,,PT,67.7
2015,Kolon eta ondesteko minbizia,,PT,70.4
2018,Kolon eta ondesteko minbizia,,PT,72.3
2020,Kolon eta ondesteko minbizia,,PT,70.9
2021,Kolon eta ondesteko minbizia,,PT,72.0
2016,Kolon eta ondesteko minbizia,,PT,72.4
2015,Kolon eta ondesteko minbizia,Emakumea,PT,72.6
2017,Kolon eta ondesteko minbizia,Emakumea,PT,74.6
2021,Kolon eta ondesteko minbizia,Emakumea,PT,74.0
2022,Kolon eta ondesteko minbizia,Emakumea,PT,73.0
2014,Kolon eta ondesteko minbizia,Emakumea,PT,73.0
2012,Kolon eta ondesteko minbizia,Emakumea,PT,70.3
2016,Kolon eta ondesteko minbizia,Emakumea,PT,74.6
2018,Kolon eta ondesteko minbizia,Emakumea,PT,74.9
2019,Kolon eta ondesteko minbizia,Emakumea,PT,73.7
2013,Kolon eta ondesteko minbizia,Emakumea,PT,72.1
2020,Kolon eta ondesteko minbizia,Emakumea,PT,73.4
2023,Kolon eta ondesteko minbizia,Emakumea,PT,72.8
2022,Kolon eta ondesteko minbizia,Gizona,PT,67.8
2018,Kolon eta ondesteko minbizia,Gizona,PT,69.9
2023,Kolon eta ondesteko minbizia,Gizona,PT,67.8
2020,Kolon eta ondesteko minbizia,Gizona,PT,68.1
2021,Kolon eta ondesteko minbizia,Gizona,PT,69.4
2012,Kolon eta ondesteko minbizia,Gizona,PT,64.9
2016,Kolon eta ondesteko minbizia,Gizona,PT,70.0
2015,Kolon eta ondesteko minbizia,Gizona,PT,67.9
2014,Kolon eta ondesteko minbizia,Gizona,PT,68.2
2013,Kolon eta ondesteko minbizia,Gizona,PT,67.1
2017,Kolon eta ondesteko minbizia,Gizona,PT,70.0
2019,Kolon eta ondesteko minbizia,Gizona,PT,68.4
2021,Bularreko minbizia,Emakumea,PT,76.5
2015,Bularreko minbizia,Emakumea,PT,80.8
2014,Bularreko minbizia,Emakumea,PT,79.8
2023,Bularreko minbizia,Emakumea,PT,78.4
2016,Bularreko minbizia,Emakumea,PT,79.4
2020,Bularreko minbizia,Emakumea,PT,75.8
2018,Bularreko minbizia,Emakumea,PT,77.2
2013,Bularreko minbizia,Emakumea,PT,80.3
2022,Bularreko minbizia,Emakumea,PT,73.2
2019,Bularreko minbizia,Emakumea,PT,76.7
2012,Bularreko minbizia,Emakumea,PT,81.8
2017,Bularreko minbizia,Emakumea,PT,77.1
