Year,Series,Sexua,Lurralde historikoa,Units,Value
2012,Bizi-itxaropena jaiotzean,,,Urteak,82.67
2010,Bizi-itxaropena jaiotzean,,,Urteak,82.36
2013,Bizi-itxaropena jaiotzean,,,Urteak,83.09
2020,Bizi-itxaropena jaiotzean,,,Urteak,83.09
2016,Bizi-itxaropena jaiotzean,,,Urteak,83.35
2015,Bizi-itxaropena jaiotzean,,,Urteak,82.97
2011,Bizi-itxaropena jaiotzean,,,Urteak,82.39
2014,Bizi-itxaropena jaiotzean,,,Urteak,83.26
2017,Bizi-itxaropena jaiotzean,,,Urteak,83.48
2022,Bizi-itxaropena jaiotzean,,,Urteak,83.36
2021,Bizi-itxaropena jaiotzean,,,Urteak,83.69
2018,Bizi-itxaropena jaiotzean,,,Urteak,83.59
2019,Bizi-itxaropena jaiotzean,,,Urteak,83.9
2012,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.46
2010,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.16
2018,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.24
2016,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.04
2014,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.27
2019,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.66
2017,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.85
2011,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,82.97
2015,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.39
2013,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.37
2021,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.3
2020,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.42
2022,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.98
2013,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.09
2016,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.08
2017,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.45
2019,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.6
2014,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.0
2022,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.29
2018,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.44
2020,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,82.93
2011,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,82.11
2021,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.71
2012,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,82.43
2010,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,82.0
2015,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,82.86
2010,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,82.62
2021,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,83.21
2016,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,83.52
2018,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,83.56
2015,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,82.97
2011,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,82.62
2017,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,83.39
2022,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,83.2
2014,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,83.24
2019,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,84.06
2020,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,83.21
2013,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,82.98
2012,Bizi-itxaropena jaiotzean,,Gipuzkoa,Urteak,82.74
2021,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,86.42
2012,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,85.79
2013,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,86.22
2019,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,86.73
2015,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,85.82
2017,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,86.31
2016,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,86.29
2022,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,86.03
2011,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,85.54
2010,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,85.5
2020,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,85.92
2014,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,86.05
2018,Bizi-itxaropena jaiotzean,Emakumea,,Urteak,86.26
2012,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.32
2010,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.16
2022,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.41
2011,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.11
2015,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.12
2020,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.34
2013,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.62
2016,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,87.05
2018,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,87.03
2019,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,87.75
2021,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.97
2017,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.63
2014,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.8
2012,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.55
2019,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.53
2018,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.11
2010,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.3
2016,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.01
2011,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.23
2014,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.78
2013,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.13
2021,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.45
2017,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.25
2015,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.76
2022,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.87
2020,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.79
2017,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.3
2013,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.23
2019,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.61
2015,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,85.79
2016,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.45
2018,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.21
2022,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.14
2011,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,85.84
2012,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,85.99
2020,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,85.97
2010,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,85.56
2014,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.19
2021,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.17
2021,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.81
2011,Bizi-itxaropena jaiotzean,Gizona,,Urteak,79.11
2010,Bizi-itxaropena jaiotzean,Gizona,,Urteak,79.08
2014,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.27
2020,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.15
2016,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.26
2022,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.55
2019,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.91
2017,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.49
2012,Bizi-itxaropena jaiotzean,Gizona,,Urteak,79.43
2018,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.73
2015,Bizi-itxaropena jaiotzean,Gizona,,Urteak,79.97
2013,Bizi-itxaropena jaiotzean,Gizona,,Urteak,79.8
2011,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,79.89
2018,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.4
2017,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.04
2013,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,80.16
2012,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,80.58
2010,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,80.18
2021,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.57
2022,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.47
2019,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.57
2015,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,80.62
2016,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.02
2020,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,80.54
2014,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.63
2017,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,80.43
2019,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,80.46
2016,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,79.95
2014,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,79.98
2015,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,79.77
2012,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,79.13
2010,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,78.53
2011,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,78.81
2022,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,80.51
2021,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,80.76
2013,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,79.82
2020,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,79.91
2018,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,80.54
2019,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,81.35
2015,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.01
2013,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,79.64
2012,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,79.42
2011,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,79.27
2022,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.22
2010,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,79.51
2018,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.76
2014,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.15
2016,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.44
2021,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.56
2020,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.36
2017,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.35
2019,Bizi-itxaropena osasun onean,Emakumea,,Urteak,76.67
2021,Bizi-itxaropena osasun onean,Emakumea,,Urteak,76.61
2018,Bizi-itxaropena osasun onean,Emakumea,,Urteak,76.58
2013,Bizi-itxaropena osasun onean,Emakumea,,Urteak,74.2
2018,Bizi-itxaropena osasun onean,Emakumea,Araba / Álava,Urteak,76.99
2021,Bizi-itxaropena osasun onean,Emakumea,Araba / Álava,Urteak,77.12
2019,Bizi-itxaropena osasun onean,Emakumea,Araba / Álava,Urteak,77.37
2021,Bizi-itxaropena osasun onean,Emakumea,Bizkaia,Urteak,76.57
2019,Bizi-itxaropena osasun onean,Emakumea,Bizkaia,Urteak,76.46
2018,Bizi-itxaropena osasun onean,Emakumea,Bizkaia,Urteak,76.45
2018,Bizi-itxaropena osasun onean,Emakumea,Gipuzkoa,Urteak,76.65
2021,Bizi-itxaropena osasun onean,Emakumea,Gipuzkoa,Urteak,76.47
2019,Bizi-itxaropena osasun onean,Emakumea,Gipuzkoa,Urteak,76.71
2018,Bizi-itxaropena osasun onean,Gizona,,Urteak,74.31
2021,Bizi-itxaropena osasun onean,Gizona,,Urteak,74.54
2019,Bizi-itxaropena osasun onean,Gizona,,Urteak,74.67
2013,Bizi-itxaropena osasun onean,Gizona,,Urteak,71.82
2019,Bizi-itxaropena osasun onean,Gizona,Araba / Álava,Urteak,74.74
2021,Bizi-itxaropena osasun onean,Gizona,Araba / Álava,Urteak,75.03
2018,Bizi-itxaropena osasun onean,Gizona,Araba / Álava,Urteak,75.03
2018,Bizi-itxaropena osasun onean,Gizona,Bizkaia,Urteak,74.19
2021,Bizi-itxaropena osasun onean,Gizona,Bizkaia,Urteak,74.41
2019,Bizi-itxaropena osasun onean,Gizona,Bizkaia,Urteak,74.4
2019,Bizi-itxaropena osasun onean,Gizona,Gipuzkoa,Urteak,75.06
2021,Bizi-itxaropena osasun onean,Gizona,Gipuzkoa,Urteak,74.51
2018,Bizi-itxaropena osasun onean,Gizona,Gipuzkoa,Urteak,74.17
