Year,Substantzia adiktiboa,Sexua,Units,Value
2022,Adikzio-substantzia guztiak,,PER_100000,133.9
2020,Adikzio-substantzia guztiak,,PER_100000,91.2
2016,Adikzio-substantzia guztiak,,PER_100000,113.2
2018,Adikzio-substantzia guztiak,,PER_100000,125.8
2021,Adikzio-substantzia guztiak,,PER_100000,130.1
2011,Adikzio-substantzia guztiak,,PER_100000,122.5
2013,Adikzio-substantzia guztiak,,PER_100000,124.3
2017,Adikzio-substantzia guztiak,,PER_100000,117.5
2014,Adikzio-substantzia guztiak,,PER_100000,118.2
2012,Adikzio-substantzia guztiak,,PER_100000,125.9
2015,Adikzio-substantzia guztiak,,PER_100000,113.3
2010,Adikzio-substantzia guztiak,,PER_100000,126.9
2019,Adikzio-substantzia guztiak,,PER_100000,117.2
2014,Adikzio-substantzia guztiak,Emakumea,PER_100000,45.7
2022,Adikzio-substantzia guztiak,Emakumea,PER_100000,58.9
2012,Adikzio-substantzia guztiak,Emakumea,PER_100000,48.7
2010,Adikzio-substantzia guztiak,Emakumea,PER_100000,43.1
2015,Adikzio-substantzia guztiak,Emakumea,PER_100000,42.1
2020,Adikzio-substantzia guztiak,Emakumea,PER_100000,37.4
2013,Adikzio-substantzia guztiak,Emakumea,PER_100000,49.5
2021,Adikzio-substantzia guztiak,Emakumea,PER_100000,54.7
2016,Adikzio-substantzia guztiak,Emakumea,PER_100000,43.2
2019,Adikzio-substantzia guztiak,Emakumea,PER_100000,46.8
2011,Adikzio-substantzia guztiak,Emakumea,PER_100000,45.3
2018,Adikzio-substantzia guztiak,Emakumea,PER_100000,48.0
2017,Adikzio-substantzia guztiak,Emakumea,PER_100000,43.8
2021,Adikzio-substantzia guztiak,Gizona,PER_100000,210.2
2017,Adikzio-substantzia guztiak,Gizona,PER_100000,195.7
2016,Adikzio-substantzia guztiak,Gizona,PER_100000,187.2
2022,Adikzio-substantzia guztiak,Gizona,PER_100000,213.5
2018,Adikzio-substantzia guztiak,Gizona,PER_100000,208.3
2015,Adikzio-substantzia guztiak,Gizona,PER_100000,188.5
2010,Adikzio-substantzia guztiak,Gizona,PER_100000,214.6
2014,Adikzio-substantzia guztiak,Gizona,PER_100000,194.8
2012,Adikzio-substantzia guztiak,Gizona,PER_100000,207.1
2020,Adikzio-substantzia guztiak,Gizona,PER_100000,148.4
2013,Adikzio-substantzia guztiak,Gizona,PER_100000,203.2
2011,Adikzio-substantzia guztiak,Gizona,PER_100000,203.5
2019,Adikzio-substantzia guztiak,Gizona,PER_100000,191.8
2014,Alkohola,,PER_100000,50.8
2012,Alkohola,,PER_100000,53.7
2010,Alkohola,,PER_100000,50.1
2021,Alkohola,,PER_100000,59.4
2016,Alkohola,,PER_100000,49.1
2020,Alkohola,,PER_100000,40.2
2019,Alkohola,,PER_100000,50.8
2011,Alkohola,,PER_100000,51.2
2015,Alkohola,,PER_100000,48.6
2017,Alkohola,,PER_100000,51.0
2018,Alkohola,,PER_100000,55.0
2013,Alkohola,,PER_100000,56.1
2022,Alkohola,,PER_100000,63.9
2022,Alkohola,Emakumea,PER_100000,34.2
2016,Alkohola,Emakumea,PER_100000,25.4
2011,Alkohola,Emakumea,PER_100000,24.4
2012,Alkohola,Emakumea,PER_100000,26.6
2013,Alkohola,Emakumea,PER_100000,28.9
2017,Alkohola,Emakumea,PER_100000,25.5
2015,Alkohola,Emakumea,PER_100000,24.6
2021,Alkohola,Emakumea,PER_100000,31.0
2014,Alkohola,Emakumea,PER_100000,24.6
2010,Alkohola,Emakumea,PER_100000,21.5
2019,Alkohola,Emakumea,PER_100000,28.4
2020,Alkohola,Emakumea,PER_100000,21.9
2018,Alkohola,Emakumea,PER_100000,27.0
2017,Alkohola,Gizona,PER_100000,78.0
2012,Alkohola,Gizona,PER_100000,82.1
2019,Alkohola,Gizona,PER_100000,74.6
2021,Alkohola,Gizona,PER_100000,89.6
