Year,Sexo,Units,Value
2022,,Porcentaje,0.7
2020,,Porcentaje,0.1
2012,,Porcentaje,0.7
2016,,Porcentaje,0.0
2021,,Porcentaje,0.7
2018,,Porcentaje,1.1
2013,,Porcentaje,0.2
2017,,Porcentaje,0.0
2010,,Porcentaje,0.1
2019,,Porcentaje,1.1
2014,,Porcentaje,0.4
2015,,Porcentaje,0.0
2011,,Porcentaje,0.2
2010,Mujer,Porcentaje,0.1
2011,Mujer,Porcentaje,0.2
2012,Mujer,Porcentaje,0.4
2013,Mujer,Porcentaje,0.2
2014,Mujer,Porcentaje,0.4
2015,Mujer,Porcentaje,0.0
2016,Mujer,Porcentaje,0.0
2017,Mujer,Porcentaje,0.0
2018,Mujer,Porcentaje,0.9
2020,Mujer,Porcentaje,0.2
2021,Mujer,Porcentaje,0.7
2019,Mujer,Porcentaje,1.3
2022,Mujer,Porcentaje,0.9
2021,Hombre,Porcentaje,0.6
2015,Hombre,Porcentaje,0.0
2012,Hombre,Porcentaje,1.1
2022,Hombre,Porcentaje,0.5
2016,Hombre,Porcentaje,0.0
2013,Hombre,Porcentaje,0.2
2011,Hombre,Porcentaje,0.2
2010,Hombre,Porcentaje,0.1
2017,Hombre,Porcentaje,0.0
2018,Hombre,Porcentaje,1.3
2019,Hombre,Porcentaje,0.9
2014,Hombre,Porcentaje,0.4
2020,Hombre,Porcentaje,0.0
