Year,Adina,Sexua,Lurralde historikoa,Units,Value
2015,5 urte,,,%,99.6
2018,5 urte,,,%,100.0
2013,5 urte,,,%,99.8
2011,5 urte,,,%,100.3
2019,5 urte,,,%,99.8
2012,5 urte,,,%,99.7
2014,5 urte,,,%,99.3
2010,5 urte,,,%,100.1
2024,5 urte,,,%,99.4
2023,5 urte,,,%,101.0
2021,5 urte,,,%,99.1
2016,5 urte,,,%,100.0
2017,5 urte,,,%,99.8
2022,5 urte,,,%,99.6
2020,5 urte,,,%,99.8
2020,5 urte,,Araba / Álava,%,99.5
2022,5 urte,,Araba / Álava,%,98.6
2024,5 urte,,Araba / Álava,%,98.4
2023,5 urte,,Araba / Álava,%,99.9
2021,5 urte,,Araba / Álava,%,99.0
2024,5 urte,,Bizkaia,%,100.0
2021,5 urte,,Bizkaia,%,99.4
2023,5 urte,,Bizkaia,%,101.4
2020,5 urte,,Bizkaia,%,100.5
2022,5 urte,,Bizkaia,%,100.1
2024,5 urte,,Gipuzkoa,%,98.9
2020,5 urte,,Gipuzkoa,%,98.9
2022,5 urte,,Gipuzkoa,%,99.5
2021,5 urte,,Gipuzkoa,%,98.6
2023,5 urte,,Gipuzkoa,%,101.0
2021,5 urte,Emakumea,,%,98.6
2018,5 urte,Emakumea,,%,99.9
2023,5 urte,Emakumea,,%,100.7
2019,5 urte,Emakumea,,%,99.9
2013,5 urte,Emakumea,,%,99.6
2024,5 urte,Emakumea,,%,99.1
2011,5 urte,Emakumea,,%,100.0
2022,5 urte,Emakumea,,%,98.9
2014,5 urte,Emakumea,,%,98.9
2012,5 urte,Emakumea,,%,98.5
2017,5 urte,Emakumea,,%,99.8
2015,5 urte,Emakumea,,%,99.5
2010,5 urte,Emakumea,,%,99.7
2016,5 urte,Emakumea,,%,99.7
2020,5 urte,Emakumea,,%,100.0
2023,5 urte,Emakumea,Araba / Álava,%,99.0
2022,5 urte,Emakumea,Araba / Álava,%,98.8
2020,5 urte,Emakumea,Araba / Álava,%,100.0
2021,5 urte,Emakumea,Araba / Álava,%,98.6
2024,5 urte,Emakumea,Araba / Álava,%,98.5
2021,5 urte,Emakumea,Bizkaia,%,99.0
2024,5 urte,Emakumea,Bizkaia,%,99.5
2022,5 urte,Emakumea,Bizkaia,%,99.0
2020,5 urte,Emakumea,Bizkaia,%,100.8
2023,5 urte,Emakumea,Bizkaia,%,101.3
2023,5 urte,Emakumea,Gipuzkoa,%,100.8
2021,5 urte,Emakumea,Gipuzkoa,%,98.0
2022,5 urte,Emakumea,Gipuzkoa,%,98.8
2020,5 urte,Emakumea,Gipuzkoa,%,98.8
2024,5 urte,Emakumea,Gipuzkoa,%,98.8
2011,5 urte,Gizona,,%,100.6
2015,5 urte,Gizona,,%,99.6
2024,5 urte,Gizona,,%,99.6
2018,5 urte,Gizona,,%,100.2
2012,5 urte,Gizona,,%,100.7
2019,5 urte,Gizona,,%,99.8
2014,5 urte,Gizona,,%,99.7
2022,5 urte,Gizona,,%,100.4
2013,5 urte,Gizona,,%,100.0
2021,5 urte,Gizona,,%,99.5
2010,5 urte,Gizona,,%,100.6
2020,5 urte,Gizona,,%,99.6
2023,5 urte,Gizona,,%,101.3
2016,5 urte,Gizona,,%,100.4
2017,5 urte,Gizona,,%,99.8
2023,5 urte,Gizona,Araba / Álava,%,100.7
2022,5 urte,Gizona,Araba / Álava,%,98.4
2020,5 urte,Gizona,Araba / Álava,%,99.0
2021,5 urte,Gizona,Araba / Álava,%,99.4
2024,5 urte,Gizona,Araba / Álava,%,98.3
2024,5 urte,Gizona,Bizkaia,%,100.5
2023,5 urte,Gizona,Bizkaia,%,101.5
2022,5 urte,Gizona,Bizkaia,%,101.1
2020,5 urte,Gizona,Bizkaia,%,100.1
2021,5 urte,Gizona,Bizkaia,%,99.8
2021,5 urte,Gizona,Gipuzkoa,%,99.2
2022,5 urte,Gizona,Gipuzkoa,%,100.2
2020,5 urte,Gizona,Gipuzkoa,%,99.0
2024,5 urte,Gizona,Gipuzkoa,%,99.0
2023,5 urte,Gizona,Gipuzkoa,%,101.3
