Year,Series,Sexua,Adina,Lurralde historikoa,Units,Value
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,75.3
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,79.1
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,79.8
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,81.3
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,72.2
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,81.3
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,79.3
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,80.5
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,79.2
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,80.9
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,75.7
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,71.9
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,83.0
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,,Porcentaje,81.1
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,71.7
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,78.1
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,68.0
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,76.6
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,80.9
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,80.0
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,80.8
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,81.7
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,76.2
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,81.3
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,78.4
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,69.2
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,79.4
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Araba / Álava,Porcentaje,76.5
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,81.5
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,80.5
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,82.2
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,77.7
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,76.7
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,82.2
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,82.2
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,80.3
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,79.5
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,84.6
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,79.7
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,71.3
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,81.7
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Bizkaia,Porcentaje,72.8
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,77.9
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,73.1
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,80.5
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,74.2
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,81.7
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,78.7
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,80.2
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,76.8
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,74.5
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,80.1
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,72.6
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,81.2
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,80.3
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-24 urte,Gipuzkoa,Porcentaje,79.8
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,11.8
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,11.8
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,24.0
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,24.4
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,18.2
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,18.4
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,22.9
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,20.8
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,17.9
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,20.7
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,23.0
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,21.9
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,12.3
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,,Porcentaje,20.4
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,25.0
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,24.8
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,23.4
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,24.0
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,19.3
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,11.3
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,23.2
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,10.7
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,20.1
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,11.1
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,22.6
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,18.7
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,20.6
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Araba / Álava,Porcentaje,18.6
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,19.8
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,21.4
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,24.4
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,10.8
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,12.1
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,11.0
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,18.8
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,21.7
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,21.0
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,18.0
