Year,Sexua,Trebetasun informatikoa,Adina,Lurraldea,Units,Value
2019,,Fitxategiak edo karpetak kopiatu edo mugitu,16tik 74ra,,Ehunekoa,55.36
2019,,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",16tik 74ra,,Ehunekoa,42.23
2019,,Kalkulu-orriak erabiltzea,16tik 74ra,,Ehunekoa,41.92
2019,,Programazio-lengoaia batean programatzea,16tik 74ra,,Ehunekoa,5.56
2019,,"Fitxategiak ordenagailuaren eta beste gailu batzuen artean transferitzea (kamera digitalak, telefono mugikorrak, mp3 edo mp4)",16tik 74ra,,Ehunekoa,51.89
2019,,Deskargatu edo instalatu software edo app-ak,16tik 74ra,,Ehunekoa,53.92
2019,,"Edozein softwareren konfigurazioa aldatzea, sistema eragilea eta segurtasun-programak barne",16tik 74ra,,Ehunekoa,15.99
2019,,,16tik 74ra,,Ehunekoa,67.04
2019,,Fitxategiak edo karpetak kopiatu edo mugitu,16tik 74ra,Araba/Álava,Ehunekoa,55.76
2019,,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",16tik 74ra,Araba/Álava,Ehunekoa,41.77
2019,,Kalkulu-orriak erabiltzea,16tik 74ra,Araba/Álava,Ehunekoa,42.89
2019,,Programazio-lengoaia batean programatzea,16tik 74ra,Araba/Álava,Ehunekoa,5.27
2019,,"Fitxategiak ordenagailuaren eta beste gailu batzuen artean transferitzea (kamera digitalak, telefono mugikorrak, mp3 edo mp4)",16tik 74ra,Araba/Álava,Ehunekoa,51.64
2019,,Deskargatu edo instalatu software edo app-ak,16tik 74ra,Araba/Álava,Ehunekoa,54.49
2019,,"Edozein softwareren konfigurazioa aldatzea, sistema eragilea eta segurtasun-programak barne",16tik 74ra,Araba/Álava,Ehunekoa,16.17
2019,,,16tik 74ra,Araba/Álava,Ehunekoa,68.53
2019,,Fitxategiak edo karpetak kopiatu edo mugitu,16tik 74ra,Gipuzkoa,Ehunekoa,54.5
2019,,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",16tik 74ra,Gipuzkoa,Ehunekoa,42.21
2019,,Kalkulu-orriak erabiltzea,16tik 74ra,Gipuzkoa,Ehunekoa,42.77
2019,,Programazio-lengoaia batean programatzea,16tik 74ra,Gipuzkoa,Ehunekoa,5.24
2019,,"Fitxategiak ordenagailuaren eta beste gailu batzuen artean transferitzea (kamera digitalak, telefono mugikorrak, mp3 edo mp4)",16tik 74ra,Gipuzkoa,Ehunekoa,50.59
2019,,Deskargatu edo instalatu software edo app-ak,16tik 74ra,Gipuzkoa,Ehunekoa,51.65
2019,,"Edozein softwareren konfigurazioa aldatzea, sistema eragilea eta segurtasun-programak barne",16tik 74ra,Gipuzkoa,Ehunekoa,14.73
2019,,,16tik 74ra,Gipuzkoa,Ehunekoa,65.24
2019,,Fitxategiak edo karpetak kopiatu edo mugitu,16tik 74ra,Bizkaia,Ehunekoa,55.79
2019,,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",16tik 74ra,Bizkaia,Ehunekoa,42.38
2019,,Kalkulu-orriak erabiltzea,16tik 74ra,Bizkaia,Ehunekoa,41.11
2019,,Programazio-lengoaia batean programatzea,16tik 74ra,Bizkaia,Ehunekoa,5.83
2019,,"Fitxategiak ordenagailuaren eta beste gailu batzuen artean transferitzea (kamera digitalak, telefono mugikorrak, mp3 edo mp4)",16tik 74ra,Bizkaia,Ehunekoa,52.78
2019,,Deskargatu edo instalatu software edo app-ak,16tik 74ra,Bizkaia,Ehunekoa,55.18
2019,,"Edozein softwareren konfigurazioa aldatzea, sistema eragilea eta segurtasun-programak barne",16tik 74ra,Bizkaia,Ehunekoa,16.73
2019,,,16tik 74ra,Bizkaia,Ehunekoa,67.74
2019,,Fitxategiak edo karpetak kopiatu edo mugitu,16tik 24ra,,Ehunekoa,89.41
2019,,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",16tik 24ra,,Ehunekoa,85.32
2019,,Kalkulu-orriak erabiltzea,16tik 24ra,,Ehunekoa,70.08
2019,,Programazio-lengoaia batean programatzea,16tik 24ra,,Ehunekoa,12.34
2019,,"Fitxategiak ordenagailuaren eta beste gailu batzuen artean transferitzea (kamera digitalak, telefono mugikorrak, mp3 edo mp4)",16tik 24ra,,Ehunekoa,84.87
2019,,Deskargatu edo instalatu software edo app-ak,16tik 24ra,,Ehunekoa,83.37
2019,,"Edozein softwareren konfigurazioa aldatzea, sistema eragilea eta segurtasun-programak barne",16tik 24ra,,Ehunekoa,26.84
2019,,,16tik 24ra,,Ehunekoa,95.75
2019,,Fitxategiak edo karpetak kopiatu edo mugitu,16tik 24ra,Araba/Álava,Ehunekoa,91.07
2019,,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",16tik 24ra,Araba/Álava,Ehunekoa,89.2
2019,,Kalkulu-orriak erabiltzea,16tik 24ra,Araba/Álava,Ehunekoa,70.0
2019,,Programazio-lengoaia batean programatzea,16tik 24ra,Araba/Álava,Ehunekoa,10.56
2019,,"Fitxategiak ordenagailuaren eta beste gailu batzuen artean transferitzea (kamera digitalak, telefono mugikorrak, mp3 edo mp4)",16tik 24ra,Araba/Álava,Ehunekoa,84.7
2019,,Deskargatu edo instalatu software edo app-ak,16tik 24ra,Araba/Álava,Ehunekoa,82.82
2019,,"Edozein softwareren konfigurazioa aldatzea, sistema eragilea eta segurtasun-programak barne",16tik 24ra,Araba/Álava,Ehunekoa,24.81
2019,,,16tik 24ra,Araba/Álava,Ehunekoa,95.61
2019,,Fitxategiak edo karpetak kopiatu edo mugitu,16tik 24ra,Gipuzkoa,Ehunekoa,87.91
2019,,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",16tik 24ra,Gipuzkoa,Ehunekoa,79.9
2019,,Kalkulu-orriak erabiltzea,16tik 24ra,Gipuzkoa,Ehunekoa,71.5
2019,,Programazio-lengoaia batean programatzea,16tik 24ra,Gipuzkoa,Ehunekoa,10.54
2019,,"Fitxategiak ordenagailuaren eta beste gailu batzuen artean transferitzea (kamera digitalak, telefono mugikorrak, mp3 edo mp4)",16tik 24ra,Gipuzkoa,Ehunekoa,80.35
2019,,Deskargatu edo instalatu software edo app-ak,16tik 24ra,Gipuzkoa,Ehunekoa,81.54
2019,,"Edozein softwareren konfigurazioa aldatzea, sistema eragilea eta segurtasun-programak barne",16tik 24ra,Gipuzkoa,Ehunekoa,26.03
2019,,,16tik 24ra,Gipuzkoa,Ehunekoa,94.0
2019,,Fitxategiak edo karpetak kopiatu edo mugitu,16tik 24ra,Bizkaia,Ehunekoa,90.0
2019,,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",16tik 24ra,Bizkaia,Ehunekoa,88.1
2019,,Kalkulu-orriak erabiltzea,16tik 24ra,Bizkaia,Ehunekoa,69.07
2019,,Programazio-lengoaia batean programatzea,16tik 24ra,Bizkaia,Ehunekoa,14.19
2019,,"Fitxategiak ordenagailuaren eta beste gailu batzuen artean transferitzea (kamera digitalak, telefono mugikorrak, mp3 edo mp4)",16tik 24ra,Bizkaia,Ehunekoa,88.2
2019,,Deskargatu edo instalatu software edo app-ak,16tik 24ra,Bizkaia,Ehunekoa,84.86
2019,,"Edozein softwareren konfigurazioa aldatzea, sistema eragilea eta segurtasun-programak barne",16tik 24ra,Bizkaia,Ehunekoa,28.04
2019,,,16tik 24ra,Bizkaia,Ehunekoa,97.06
2019,,Fitxategiak edo karpetak kopiatu edo mugitu,25tik 74ra,,Ehunekoa,51.53
2019,,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",25tik 74ra,,Ehunekoa,37.38
2019,,Kalkulu-orriak erabiltzea,25tik 74ra,,Ehunekoa,38.75
2019,,Programazio-lengoaia batean programatzea,25tik 74ra,,Ehunekoa,4.79
2019,,"Fitxategiak ordenagailuaren eta beste gailu batzuen artean transferitzea (kamera digitalak, telefono mugikorrak, mp3 edo mp4)",25tik 74ra,,Ehunekoa,48.18
2019,,Deskargatu edo instalatu software edo app-ak,25tik 74ra,,Ehunekoa,50.6
2019,,"Edozein softwareren konfigurazioa aldatzea, sistema eragilea eta segurtasun-programak barne",25tik 74ra,,Ehunekoa,14.77
2019,,,25tik 74ra,,Ehunekoa,63.8
2019,,Fitxategiak edo karpetak kopiatu edo mugitu,25tik 74ra,Araba/Álava,Ehunekoa,51.77
