Year,Oinarrizko zerbitzuak,Units,Value
2011,Elektrizitatea,Porcentaje,100.0
2016,Elektrizitatea,Porcentaje,100.0
2021,Elektrizitatea,Porcentaje,100.0
2022,Elektrizitatea,Porcentaje,100.0
2017,Elektrizitatea,Porcentaje,100.0
2010,Elektrizitatea,Porcentaje,100.0
2014,Elektrizitatea,Porcentaje,100.0
2013,Elektrizitatea,Porcentaje,100.0
2015,Elektrizitatea,Porcentaje,100.0
2012,Elektrizitatea,Porcentaje,100.0
2023,Elektrizitatea,Porcentaje,100.0
2018,Elektrizitatea,Porcentaje,100.0
2020,Elektrizitatea,Porcentaje,100.0
2019,Elektrizitatea,Porcentaje,100.0
2021,Interneterako konexioa,Porcentaje,98.1
2015,Interneterako konexioa,Porcentaje,100.0
2013,Interneterako konexioa,Porcentaje,92.2
2019,Interneterako konexioa,Porcentaje,96.8
2014,Interneterako konexioa,Porcentaje,93.1
2011,Interneterako konexioa,Porcentaje,83.5
2012,Interneterako konexioa,Porcentaje,89.7
2017,Edateko ura,Porcentaje,100.0
2014,Edateko ura,Porcentaje,100.0
2018,Edateko ura,Porcentaje,100.0
2015,Edateko ura,Porcentaje,100.0
2016,Edateko ura,Porcentaje,100.0
2012,Edateko ura,Porcentaje,100.0
2019,Edateko ura,Porcentaje,100.0
2013,Edateko ura,Porcentaje,100.0
2010,Edateko ura,Porcentaje,100.0
2011,Edateko ura,Porcentaje,100.0
2020,Edateko ura,Porcentaje,100.0
2021,Edateko ura,Porcentaje,100.0
2022,Edateko ura,Porcentaje,100.0
2023,Edateko ura,Porcentaje,100.0
2011,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2012,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2013,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2015,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2023,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2019,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2017,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2018,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2020,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2021,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2022,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2016,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2014,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2010,Bainuak sexuaren arabera bereizita,Porcentaje,100.0
2010,Eskuak garbitzeko lekua,Porcentaje,100.0
2011,Eskuak garbitzeko lekua,Porcentaje,100.0
2012,Eskuak garbitzeko lekua,Porcentaje,100.0
2013,Eskuak garbitzeko lekua,Porcentaje,100.0
2014,Eskuak garbitzeko lekua,Porcentaje,100.0
2015,Eskuak garbitzeko lekua,Porcentaje,100.0
2016,Eskuak garbitzeko lekua,Porcentaje,100.0
2017,Eskuak garbitzeko lekua,Porcentaje,100.0
2021,Eskuak garbitzeko lekua,Porcentaje,100.0
2018,Eskuak garbitzeko lekua,Porcentaje,100.0
2019,Eskuak garbitzeko lekua,Porcentaje,100.0
2020,Eskuak garbitzeko lekua,Porcentaje,100.0
2022,Eskuak garbitzeko lekua,Porcentaje,100.0
2023,Eskuak garbitzeko lekua,Porcentaje,100.0
