Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2022,,,,PER_10000,,39.9
2020,,,,PER_10000,,33.7
2019,,,,PER_10000,,36.2
2021,,,,PER_10000,,34.3
2023,,,,PER_10000,,42.5
2023,,,ES48001,PER_10000,ES48001,20.3
2020,,,ES48001,PER_10000,ES48001,18.1
2022,,,ES48001,PER_10000,ES48001,23.1
2021,,,ES48001,PER_10000,ES48001,31.0
2019,,,ES48001,PER_10000,ES48001,28.4
2021,,,Abaltzisketa,PER_10000,Abaltzisketa,0.0
2019,,,Abaltzisketa,PER_10000,Abaltzisketa,0.0
2020,,,Abaltzisketa,PER_10000,Abaltzisketa,71.4
2023,,,Abaltzisketa,PER_10000,Abaltzisketa,0.0
2022,,,Abaltzisketa,PER_10000,Abaltzisketa,0.0
2022,,,ES48002,PER_10000,ES48002,53.2
2023,,,ES48002,PER_10000,ES48002,55.3
2020,,,ES48002,PER_10000,ES48002,50.3
2021,,,ES48002,PER_10000,ES48002,52.9
2019,,,ES48002,PER_10000,ES48002,33.4
2023,,,Aduna,PER_10000,Aduna,0.0
2019,,,Aduna,PER_10000,Aduna,0.0
2022,,,Aduna,PER_10000,Aduna,0.0
2021,,,Aduna,PER_10000,Aduna,0.0
2020,,,Aduna,PER_10000,Aduna,132.7
2021,,,Agurain / Salvatierra,PER_10000,Agurain / Salvatierra,19.4
2020,,,Agurain / Salvatierra,PER_10000,Agurain / Salvatierra,49.7
2022,,,Agurain / Salvatierra,PER_10000,Agurain / Salvatierra,31.1
2019,,,Agurain / Salvatierra,PER_10000,Agurain / Salvatierra,22.6
2023,,,Agurain / Salvatierra,PER_10000,Agurain / Salvatierra,57.9
2023,,,Aia,PER_10000,Aia,19.8
2022,,,Aia,PER_10000,Aia,0.0
2019,,,Aia,PER_10000,Aia,32.3
2021,,,Aia,PER_10000,Aia,0.0
2020,,,Aia,PER_10000,Aia,31.6
2023,,,Aizarnazabal,PER_10000,Aizarnazabal,0.0
2022,,,Aizarnazabal,PER_10000,Aizarnazabal,0.0
2020,,,Aizarnazabal,PER_10000,Aizarnazabal,0.0
