Year,Sexua,Lurralde historikoa,Units,Value
2013,,,MN,173
2018,,,MN,161
2023,,,MN,154
2018,,Araba / Álava,MN,166
2023,,Araba / Álava,MN,155
2013,,Araba / Álava,MN,175
2013,,Bizkaia,MN,176
2023,,Bizkaia,MN,156
2018,,Bizkaia,MN,160
2018,,Gipuzkoa,MN,158
2023,,Gipuzkoa,MN,152
2013,,Gipuzkoa,MN,166
2018,Emakumea,,MN,209
2013,Emakumea,,MN,224
2023,Emakumea,,MN,182
2023,Emakumea,Araba / Álava,MN,189
2013,Emakumea,Araba / Álava,MN,223
2018,Emakumea,Araba / Álava,MN,217
2013,Emakumea,Bizkaia,MN,229
2023,Emakumea,Bizkaia,MN,181
2018,Emakumea,Bizkaia,MN,208
2023,Emakumea,Gipuzkoa,MN,180
2018,Emakumea,Gipuzkoa,MN,206
2013,Emakumea,Gipuzkoa,MN,217
2013,Gizona,,MN,118
2018,Gizona,,MN,109
2023,Gizona,,MN,124
2023,Gizona,Araba / Álava,MN,118
2013,Gizona,Araba / Álava,MN,127
2018,Gizona,Araba / Álava,MN,111
2013,Gizona,Bizkaia,MN,118
2023,Gizona,Bizkaia,MN,128
2018,Gizona,Bizkaia,MN,108
2013,Gizona,Gipuzkoa,MN,113
2023,Gizona,Gipuzkoa,MN,121
2018,Gizona,Gipuzkoa,MN,108
