Year,Erakundea,Lurralde historikoa,Units,Value
2014,Legebiltzar autonomikoko hautetsiak,,%,49.3
2018,Legebiltzar autonomikoko hautetsiak,,%,53.3
2021,Legebiltzar autonomikoko hautetsiak,,%,50.7
2020,Legebiltzar autonomikoko hautetsiak,,%,50.7
2025,Legebiltzar autonomikoko hautetsiak,,%,53.3
2016,Legebiltzar autonomikoko hautetsiak,,%,53.3
2023,Legebiltzar autonomikoko hautetsiak,,%,49.3
2017,Legebiltzar autonomikoko hautetsiak,,%,53.3
2024,Legebiltzar autonomikoko hautetsiak,,%,52.0
2013,Legebiltzar autonomikoko hautetsiak,,%,49.3
2010,Legebiltzar autonomikoko hautetsiak,,%,45.3
2011,Legebiltzar autonomikoko hautetsiak,,%,45.3
2022,Legebiltzar autonomikoko hautetsiak,,%,50.7
2019,Legebiltzar autonomikoko hautetsiak,,%,53.3
2012,Legebiltzar autonomikoko hautetsiak,,%,49.3
2015,Legebiltzar autonomikoko hautetsiak,,%,49.3
2010,Sailburuak gobernu autonomikoan,,%,45.5
2025,Sailburuak gobernu autonomikoan,,%,46.7
2013,Sailburuak gobernu autonomikoan,,%,50.0
2024,Sailburuak gobernu autonomikoan,,%,46.7
2022,Sailburuak gobernu autonomikoan,,%,45.5
2015,Sailburuak gobernu autonomikoan,,%,50.0
2017,Sailburuak gobernu autonomikoan,,%,41.7
2011,Sailburuak gobernu autonomikoan,,%,50.0
2016,Sailburuak gobernu autonomikoan,,%,50.0
2021,Sailburuak gobernu autonomikoan,,%,45.5
2012,Sailburuak gobernu autonomikoan,,%,50.0
2014,Sailburuak gobernu autonomikoan,,%,50.0
2023,Sailburuak gobernu autonomikoan,,%,45.5
2020,Sailburuak gobernu autonomikoan,,%,45.5
2018,Sailburuak gobernu autonomikoan,,%,41.7
2019,Sailburuak gobernu autonomikoan,,%,63.6
2017,Foru-gobernuetako sailburuak,,%,50.0
2016,Foru-gobernuetako sailburuak,,%,50.0
2022,Foru-gobernuetako sailburuak,,%,51.7
2010,Foru-gobernuetako sailburuak,,%,36.4
2023,Foru-gobernuetako sailburuak,,%,51.7
2012,Foru-gobernuetako sailburuak,,%,42.3
2018,Foru-gobernuetako sailburuak,,%,50.0
2025,Foru-gobernuetako sailburuak,,%,51.7
2011,Foru-gobernuetako sailburuak,,%,42.3
2024,Foru-gobernuetako sailburuak,,%,51.7
2019,Foru-gobernuetako sailburuak,,%,55.2
2013,Foru-gobernuetako sailburuak,,%,42.3
2014,Foru-gobernuetako sailburuak,,%,42.3
2020,Foru-gobernuetako sailburuak,,%,55.2
2021,Foru-gobernuetako sailburuak,,%,55.2
2015,Foru-gobernuetako sailburuak,,%,50.0
2016,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2025,Foru-gobernuetako sailburuak,Araba / Álava,%,54.8
2023,Foru-gobernuetako sailburuak,Araba / Álava,%,54.8
2021,Foru-gobernuetako sailburuak,Araba / Álava,%,66.7
2019,Foru-gobernuetako sailburuak,Araba / Álava,%,66.7
2020,Foru-gobernuetako sailburuak,Araba / Álava,%,66.7
2018,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2017,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2015,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2014,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2013,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2012,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2011,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2010,Foru-gobernuetako sailburuak,Araba / Álava,%,40.0
2022,Foru-gobernuetako sailburuak,Araba / Álava,%,55.6
2024,Foru-gobernuetako sailburuak,Araba / Álava,%,54.8
2015,Foru-gobernuetako sailburuak,Bizkaia,%,55.6
2013,Foru-gobernuetako sailburuak,Bizkaia,%,40.0
2023,Foru-gobernuetako sailburuak,Bizkaia,%,43.6
2022,Foru-gobernuetako sailburuak,Bizkaia,%,50.0
2019,Foru-gobernuetako sailburuak,Bizkaia,%,50.0
