Year,Lurralde historikoa,Units,Erabilera mota,Value
2018,,M3,,179965484.0
2022,,M3,,178506380.0
2023,,M3,,180064405.0
2020,,M3,,163675651.0
2013,,M3,,177555343.0
2021,,M3,,176421751.0
2017,,M3,,180334331.0
2016,,M3,,180637435.0
2019,,M3,,178194264.0
2022,Araba / Álava,M3,,34289283.3
2021,Araba / Álava,M3,,33005213.7
2023,Araba / Álava,M3,,30181664.0
2022,Bizkaia,M3,,80667418.7
2023,Bizkaia,M3,,86372241.0
2021,Bizkaia,M3,,80592250.2
2023,Gipuzkoa,M3,,63510500.0
2021,Gipuzkoa,M3,,62824287.1
2022,Gipuzkoa,M3,,63549678.2
2023,,M3,Etxeko erabilera,86895324.9
2018,,M3,Etxeko erabilera,88318278.6
2020,,M3,Etxeko erabilera,84373909.2
2022,,M3,Etxeko erabilera,92735193.3
2016,,M3,Etxeko erabilera,89191117.7
2021,,M3,Etxeko erabilera,92949522.0
2013,,M3,Etxeko erabilera,87929643.4
2017,,M3,Etxeko erabilera,88547260.4
2019,,M3,Etxeko erabilera,88407446.1
2022,Araba / Álava,M3,Etxeko erabilera,14077675.9
2023,Araba / Álava,M3,Etxeko erabilera,11989165.1
2021,Araba / Álava,M3,Etxeko erabilera,14177085.4
2021,Bizkaia,M3,Etxeko erabilera,45477855.0
2022,Bizkaia,M3,Etxeko erabilera,45514402.4
2023,Bizkaia,M3,Etxeko erabilera,43068870.3
2021,Gipuzkoa,M3,Etxeko erabilera,33294582.0
2023,Gipuzkoa,M3,Etxeko erabilera,31837289.5
2022,Gipuzkoa,M3,Etxeko erabilera,33143115.0
2017,,M3,Industria-erabilera,66412090.1
2018,,M3,Industria-erabilera,66232578.1
2021,,M3,Industria-erabilera,60880414.0
2019,,M3,Industria-erabilera,64695490.7
2023,,M3,Industria-erabilera,61328986.0
2020,,M3,Industria-erabilera,58454182.7
2016,,M3,Industria-erabilera,65939730.6
2013,,M3,Industria-erabilera,65635020.7
2022,,M3,Industria-erabilera,60067313.1
2022,Araba / Álava,M3,Industria-erabilera,14823181.0
2023,Araba / Álava,M3,Industria-erabilera,13125427.2
2021,Araba / Álava,M3,Industria-erabilera,15019725.6
2022,Bizkaia,M3,Industria-erabilera,24288140.7
2023,Bizkaia,M3,Industria-erabilera,25445892.7
2021,Bizkaia,M3,Industria-erabilera,24292745.1
2023,Gipuzkoa,M3,Industria-erabilera,22757666.1
2022,Gipuzkoa,M3,Industria-erabilera,20955991.4
2021,Gipuzkoa,M3,Industria-erabilera,21567942.9
2018,,M3,Merkataritza-erabilera,12219522.3
2022,,M3,Merkataritza-erabilera,11060459.6
2019,,M3,Merkataritza-erabilera,11666682.7
2013,,M3,Merkataritza-erabilera,11740415.2
2023,,M3,Merkataritza-erabilera,9772381.2
2021,,M3,Merkataritza-erabilera,10471436.0
2020,,M3,Merkataritza-erabilera,11253856.2
2017,,M3,Merkataritza-erabilera,11970086.0
2016,,M3,Merkataritza-erabilera,12429023.2
2023,Araba / Álava,M3,Merkataritza-erabilera,119019.2
2022,Araba / Álava,M3,Merkataritza-erabilera,315629.0
2021,Araba / Álava,M3,Merkataritza-erabilera,307205.5
2021,Bizkaia,M3,Merkataritza-erabilera,4743841.0
2022,Bizkaia,M3,Merkataritza-erabilera,4746266.6
2023,Bizkaia,M3,Merkataritza-erabilera,6283333.0
2022,Gipuzkoa,M3,Merkataritza-erabilera,5998564.0
2023,Gipuzkoa,M3,Merkataritza-erabilera,3370029.0
