Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2021,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,18.2
2015,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,20.7
2019,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,17.8
2014,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,21.1
2011,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,22.9
2018,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,18.5
2022,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,16.9
2020,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,18.0
2012,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,21.7
2010,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,23.5
2013,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,21.7
2016,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,19.1
2017,Consumo de energía eléctrica por unidad de PIB,,,,Kg de petróleo equivalente por euro de PIB,,19.0
2018,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,6973.9
2021,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,6549.3
2011,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,7568.0
2010,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,7783.8
2012,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,7049.6
2022,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,6378.3
2019,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,6812.5
2017,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,6940.4
2013,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,6932.0
2016,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,6809.1
2014,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,7069.4
2020,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,6235.8
2015,Consumo de energía eléctrica por habitante ,,,,Kw per cápita diario,,7191.6
2012,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,17099.7
2018,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,20609.0
2020,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,16656.6
2021,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,17818.7
2017,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,20100.9
2016,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,19400.7
2019,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,19742.7
2022,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,17251.3
2011,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,18737.3
2010,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,17232.3
2014,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,18142.6
2013,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,16888.1
2015,Consumo de energía eléctrica por habitante ,,,Abadiño,Kw per cápita diario,Abadiño,18926.4
2022,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,2018.5
2012,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,2704.0
2013,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,2414.5
2017,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,1966.6
2011,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,2119.6
2020,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,2181.9
2015,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,1842.6
2010,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,2383.3
2014,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,2054.4
2021,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,2166.0
2016,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,2305.4
2018,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,2212.7
2019,Consumo de energía eléctrica por habitante ,,,Abaltzisketa,Kw per cápita diario,Abaltzisketa,2136.9
2014,Consumo de energía eléctrica por habitante ,,,Abanto y Ciérvana-Abanto Zierbena,Kw per cápita diario,Abanto y Ciérvana-Abanto Zierbena,6807.5
2015,Consumo de energía eléctrica por habitante ,,,Abanto y Ciérvana-Abanto Zierbena,Kw per cápita diario,Abanto y Ciérvana-Abanto Zierbena,6684.1
2022,Consumo de energía eléctrica por habitante ,,,Abanto y Ciérvana-Abanto Zierbena,Kw per cápita diario,Abanto y Ciérvana-Abanto Zierbena,6705.6
2012,Consumo de energía eléctrica por habitante ,,,Abanto y Ciérvana-Abanto Zierbena,Kw per cápita diario,Abanto y Ciérvana-Abanto Zierbena,5908.4
2011,Consumo de energía eléctrica por habitante ,,,Abanto y Ciérvana-Abanto Zierbena,Kw per cápita diario,Abanto y Ciérvana-Abanto Zierbena,5454.8
2016,Consumo de energía eléctrica por habitante ,,,Abanto y Ciérvana-Abanto Zierbena,Kw per cápita diario,Abanto y Ciérvana-Abanto Zierbena,6974.2
