Year,Teknologia berriztagarri mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2017,,,,,W_PER_CAPITA,,169.5
2018,,,,,W_PER_CAPITA,,171.4
2015,,,,,W_PER_CAPITA,,169.3
2012,,,,,W_PER_CAPITA,,165.9
2023,,,,,W_PER_CAPITA,,218.1
2014,,,,,W_PER_CAPITA,,167.8
2016,,,,,W_PER_CAPITA,,169.3
2019,,,,,W_PER_CAPITA,,173.4
2022,,,,,W_PER_CAPITA,,198.3
2010,,,,,W_PER_CAPITA,,164.7
2013,,,,,W_PER_CAPITA,,167.3
2020,,,,,W_PER_CAPITA,,187.8
2021,,,,,W_PER_CAPITA,,197.6
2011,,,,,W_PER_CAPITA,,164.7
2012,,,,Abadiño,W_PER_CAPITA,Abadiño,28.5
2013,,,,Abadiño,W_PER_CAPITA,Abadiño,28.4
2011,,,,Abadiño,W_PER_CAPITA,Abadiño,28.7
2019,,,,Abadiño,W_PER_CAPITA,Abadiño,32.6
2010,,,,Abadiño,W_PER_CAPITA,Abadiño,27.1
2016,,,,Abadiño,W_PER_CAPITA,Abadiño,29.4
2017,,,,Abadiño,W_PER_CAPITA,Abadiño,29.3
2023,,,,Abadiño,W_PER_CAPITA,Abadiño,168.6
2022,,,,Abadiño,W_PER_CAPITA,Abadiño,39.7
2018,,,,Abadiño,W_PER_CAPITA,Abadiño,31.1
2015,,,,Abadiño,W_PER_CAPITA,Abadiño,29.3
2021,,,,Abadiño,W_PER_CAPITA,Abadiño,37.8
2020,,,,Abadiño,W_PER_CAPITA,Abadiño,33.1
2014,,,,Abadiño,W_PER_CAPITA,Abadiño,29.4
2015,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,63.4
2011,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,43.4
2021,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,79.9
2020,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,65.8
2014,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,61.1
2018,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,61.6
2016,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,63.1
2017,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,64.3
2019,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,64.3
2010,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,43.9
2023,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,215.0
2013,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,44.5
2022,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,125.5
2012,,,,Abaltzisketa,W_PER_CAPITA,Abaltzisketa,44.4
2011,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,14.7
2013,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,16.0
2010,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,14.8
2015,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,17.7
2019,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,28.2
2020,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,33.1
2021,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,45.1
2022,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,44.9
2023,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,70.4
2016,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,17.6
2012,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,14.8
2018,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,17.9
2017,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,17.7
2014,,,,Abanto y Ciérvana-Abanto Zierbena,W_PER_CAPITA,Abanto y Ciérvana-Abanto Zierbena,17.5
2014,,,,Aduna,W_PER_CAPITA,Aduna,33.2
2011,,,,Aduna,W_PER_CAPITA,Aduna,34.9
2012,,,,Aduna,W_PER_CAPITA,Aduna,35.1
2017,,,,Aduna,W_PER_CAPITA,Aduna,33.1
2020,,,,Aduna,W_PER_CAPITA,Aduna,33.3
2018,,,,Aduna,W_PER_CAPITA,Aduna,33.1
2021,,,,Aduna,W_PER_CAPITA,Aduna,479.3
2013,,,,Aduna,W_PER_CAPITA,Aduna,34.0
2022,,,,Aduna,W_PER_CAPITA,Aduna,460.2
2015,,,,Aduna,W_PER_CAPITA,Aduna,33.8
2016,,,,Aduna,W_PER_CAPITA,Aduna,33.1
2019,,,,Aduna,W_PER_CAPITA,Aduna,32.9
2023,,,,Aduna,W_PER_CAPITA,Aduna,739.5
2010,,,,Aduna,W_PER_CAPITA,Aduna,34.9
2022,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,602.7
2019,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,472.5
2017,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,469.4
2021,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,547.4
2011,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,484.9
2023,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,764.8
2018,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,464.5
2020,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,549.8
2014,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,481.9
2010,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,497.9
2012,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,482.2
2016,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,468.9
2015,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,477.1
2013,,,,Agurain / Salvatierra,W_PER_CAPITA,Agurain / Salvatierra,486.1
2015,,,,Aia,W_PER_CAPITA,Aia,29.4
2019,,,,Aia,W_PER_CAPITA,Aia,43.4
2012,,,,Aia,W_PER_CAPITA,Aia,26.6
2010,,,,Aia,W_PER_CAPITA,Aia,25.7
2018,,,,Aia,W_PER_CAPITA,Aia,37.8
2022,,,,Aia,W_PER_CAPITA,Aia,77.6
2017,,,,Aia,W_PER_CAPITA,Aia,37.4
2023,,,,Aia,W_PER_CAPITA,Aia,85.9
2021,,,,Aia,W_PER_CAPITA,Aia,75.9
2011,,,,Aia,W_PER_CAPITA,Aia,26.9
2016,,,,Aia,W_PER_CAPITA,Aia,35.8
2013,,,,Aia,W_PER_CAPITA,Aia,28.9
2020,,,,Aia,W_PER_CAPITA,Aia,58.3
2014,,,,Aia,W_PER_CAPITA,Aia,29.2
2021,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,351.7
2014,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,345.7
2019,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,339.5
2015,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,346.3
2012,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,348.1
2011,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,356.4
2016,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,339.5
2018,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,342.2
2020,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,338.7
2023,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,350.5
2013,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,346.3
2017,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,340.9
2010,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,370.4
2022,,,,Aizarnazabal,W_PER_CAPITA,Aizarnazabal,353.1
2015,,,,Ajangiz,W_PER_CAPITA,Ajangiz,93.0
2021,,,,Ajangiz,W_PER_CAPITA,Ajangiz,93.1
2016,,,,Ajangiz,W_PER_CAPITA,Ajangiz,93.5
2018,,,,Ajangiz,W_PER_CAPITA,Ajangiz,95.4
2023,,,,Ajangiz,W_PER_CAPITA,Ajangiz,156.7
2014,,,,Ajangiz,W_PER_CAPITA,Ajangiz,95.5
2022,,,,Ajangiz,W_PER_CAPITA,Ajangiz,102.6
2011,,,,Ajangiz,W_PER_CAPITA,Ajangiz,58.4
2020,,,,Ajangiz,W_PER_CAPITA,Ajangiz,92.7
2019,,,,Ajangiz,W_PER_CAPITA,Ajangiz,98.2
2010,,,,Ajangiz,W_PER_CAPITA,Ajangiz,58.5
2013,,,,Ajangiz,W_PER_CAPITA,Ajangiz,94.7
2012,,,,Ajangiz,W_PER_CAPITA,Ajangiz,59.5
2017,,,,Ajangiz,W_PER_CAPITA,Ajangiz,94.3
2023,,,,Albiztur,W_PER_CAPITA,Albiztur,724.9
2013,,,,Albiztur,W_PER_CAPITA,Albiztur,17.6
2017,,,,Albiztur,W_PER_CAPITA,Albiztur,54.3
2022,,,,Albiztur,W_PER_CAPITA,Albiztur,699.4
2014,,,,Albiztur,W_PER_CAPITA,Albiztur,16.7
2015,,,,Albiztur,W_PER_CAPITA,Albiztur,17.5
2012,,,,Albiztur,W_PER_CAPITA,Albiztur,17.9
2018,,,,Albiztur,W_PER_CAPITA,Albiztur,55.4
2020,,,,Albiztur,W_PER_CAPITA,Albiztur,384.1
2021,,,,Albiztur,W_PER_CAPITA,Albiztur,720.3
2010,,,,Albiztur,W_PER_CAPITA,Albiztur,17.3
2019,,,,Albiztur,W_PER_CAPITA,Albiztur,395.9
2016,,,,Albiztur,W_PER_CAPITA,Albiztur,53.9
2011,,,,Albiztur,W_PER_CAPITA,Albiztur,17.0
2017,,,,Alegia,W_PER_CAPITA,Alegia,1.7
2016,,,,Alegia,W_PER_CAPITA,Alegia,1.7
2023,,,,Alegia,W_PER_CAPITA,Alegia,12.3
2019,,,,Alegia,W_PER_CAPITA,Alegia,1.7
2013,,,,Alegia,W_PER_CAPITA,Alegia,1.7
2015,,,,Alegia,W_PER_CAPITA,Alegia,1.7
2020,,,,Alegia,W_PER_CAPITA,Alegia,1.7
2021,,,,Alegia,W_PER_CAPITA,Alegia,9.2
2014,,,,Alegia,W_PER_CAPITA,Alegia,1.7
2018,,,,Alegia,W_PER_CAPITA,Alegia,1.7
2011,,,,Alegia,W_PER_CAPITA,Alegia,1.7
