Year,Territorio,Units,Value
2013,,PC,0.6
2010,,PC,1.6
2017,,PC,0.8
2012,,PC,0.9
2022,,PC,3.7
2018,,PC,0.9
2014,,PC,0.9
2011,,PC,1.5
2019,,PC,1.1
2021,,PC,4.8
2016,,PC,1.2
2020,,PC,-7.8
2015,,PC,0.9
2015,Araba/Álava,PC,1.5
2016,Araba/Álava,PC,0.8
2013,Araba/Álava,PC,0.7
2019,Araba/Álava,PC,0.9
2010,Araba/Álava,PC,1.5
2017,Araba/Álava,PC,-0.2
2014,Araba/Álava,PC,2.5
2018,Araba/Álava,PC,0.0
2020,Araba/Álava,PC,-8.5
2022,Araba/Álava,PC,1.8
2011,Araba/Álava,PC,2.4
2021,Araba/Álava,PC,6.1
2012,Araba/Álava,PC,0.8
2011,Bizkaia,PC,1.4
2015,Bizkaia,PC,0.4
2017,Bizkaia,PC,1.3
2018,Bizkaia,PC,0.8
2019,Bizkaia,PC,0.8
2021,Bizkaia,PC,4.3
2022,Bizkaia,PC,5.1
2010,Bizkaia,PC,1.4
2012,Bizkaia,PC,0.7
2013,Bizkaia,PC,1.0
2014,Bizkaia,PC,0.7
2020,Bizkaia,PC,-7.0
2016,Bizkaia,PC,1.3
2020,Gipuzkoa,PC,-8.6
2021,Gipuzkoa,PC,4.9
2022,Gipuzkoa,PC,2.6
2010,Gipuzkoa,PC,1.8
2011,Gipuzkoa,PC,1.0
2012,Gipuzkoa,PC,1.3
2013,Gipuzkoa,PC,-0.1
2014,Gipuzkoa,PC,0.4
2015,Gipuzkoa,PC,1.2
2016,Gipuzkoa,PC,1.3
2017,Gipuzkoa,PC,0.5
2018,Gipuzkoa,PC,1.4
2019,Gipuzkoa,PC,1.7
