Year,Series,Territorio,Units,Value
2010,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,24.9
2011,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,25.9
2012,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,25.1
2013,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,25.7
2014,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,26.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,26.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,26.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,26.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,25.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,25.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,23.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,24.3
2022,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,24.1
2023,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,24.7
2010,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.6
2011,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,23.3
2012,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.8
2013,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.2
2015,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.6
2016,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.4
2019,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.2
2020,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,21.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.8
2022,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.9
2023,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.6
2010,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,17.1
2011,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,17.2
2012,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.2
2013,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.8
2017,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,15.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,15.8
2022,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,15.5
2023,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,14.8
2010,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.2
2011,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.6
2012,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.9
2013,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.8
2014,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.9
2015,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.1
2016,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.3
2017,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.3
2018,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.0
2019,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.8
2020,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.0
2021,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.5
2022,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.3
2023,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,18.9
2010,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,9762.1
2011,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,10171.3
2012,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,9513.0
2013,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,9604.8
2014,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,9965.7
2015,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,10233.1
2016,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,10525.6
2017,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,10776.1
2018,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,10711.8
2019,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,10517.7
2020,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,8926.4
2021,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,9752.7
2022,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,10030.6
2023,Valor añadido del sector manufacturo,Araba/Álava,Euro per cápita,10214.6
2010,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,8133.4
2011,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,8360.2
2012,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,8025.3
2013,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,7633.4
2014,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,7751.0
2015,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,8127.7
2016,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,8448.0
2017,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,8536.3
2018,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,8850.2
2019,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,8960.9
2020,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,7903.5
2021,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,8755.2
2022,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,9195.3
2023,Valor añadido del sector manufacturo,Gipuzkoa,Euro per cápita,9314.2
2010,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,5661.7
2011,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,5697.7
2012,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,5238.4
2013,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,5163.2
2014,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,5347.8
2015,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,5521.0
2016,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,5836.0
2017,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,6023.9
2018,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,6037.5
2019,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,6152.8
2020,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,5293.9
2021,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,5702.2
2022,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,5994.9
2023,Valor añadido del sector manufacturo,Bizkaia,Euro per cápita,5826.4
2010,Valor añadido del sector manufacturo,,Euro per cápita,7041.9
2011,Valor añadido del sector manufacturo,,Euro per cápita,7203.1
2012,Valor añadido del sector manufacturo,,Euro per cápita,6768.8
2013,Valor añadido del sector manufacturo,,Euro per cápita,6613.9
2014,Valor añadido del sector manufacturo,,Euro per cápita,6805.4
2015,Valor añadido del sector manufacturo,,Euro per cápita,7067.4
2016,Valor añadido del sector manufacturo,,Euro per cápita,7378.7
2017,Valor añadido del sector manufacturo,,Euro per cápita,7541.8
2018,Valor añadido del sector manufacturo,,Euro per cápita,7650.7
2019,Valor añadido del sector manufacturo,,Euro per cápita,7716.9
2020,Valor añadido del sector manufacturo,,Euro per cápita,6687.7
2021,Valor añadido del sector manufacturo,,Euro per cápita,7313.9
2022,Valor añadido del sector manufacturo,,Euro per cápita,7654.4
2023,Valor añadido del sector manufacturo,,Euro per cápita,7633.7
