Year,Series,Jarduera ekonomikoa,Units,Value
2019,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,33.4
2020,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,34.6
2018,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,32.7
2012,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,32.8
2013,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,32.1
2022,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,30.2
2021,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,32.3
2014,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,31.8
2023,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,33.4
2010,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,31.7
2011,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,32.7
2016,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,32.7
2017,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,32.7
2015,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,%,32.2
