Year,Series,Lurralde historikoa,Units,Value
2018,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,PT,99.97
2014,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,PT,99.4
2016,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,PT,99.85
2013,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,PT,99.5
2017,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,PT,99.96
2015,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,PT,99.89
2020,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,PT,99.99
2012,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,PT,96.6
2019,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,PT,99.97
2017,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,PT,99.94
2020,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,PT,100.0
2016,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,PT,99.83
2019,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,PT,99.93
2015,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,PT,99.81
2014,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,PT,98.7
2018,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,PT,99.93
2016,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,PT,99.94
2018,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,PT,100.0
2017,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,PT,100.0
2015,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,PT,99.98
2019,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,PT,100.0
2014,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,PT,99.8
2020,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,PT,99.99
2018,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,PT,99.95
2016,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,PT,99.78
2015,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,PT,99.79
2020,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,PT,99.99
2019,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,PT,99.95
2014,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,PT,99.0
2017,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,PT,99.92
2020,4G sare mugikorrez estalitako etxeen proportzioa,,PT,99.98
2022,4G sare mugikorrez estalitako etxeen proportzioa,,PT,99.97
2019,4G sare mugikorrez estalitako etxeen proportzioa,,PT,99.95
2017,4G sare mugikorrez estalitako etxeen proportzioa,,PT,99.01
2015,4G sare mugikorrez estalitako etxeen proportzioa,,PT,79.64
2014,4G sare mugikorrez estalitako etxeen proportzioa,,PT,55.1
2021,4G sare mugikorrez estalitako etxeen proportzioa,,PT,99.99
2016,4G sare mugikorrez estalitako etxeen proportzioa,,PT,93.46
2018,4G sare mugikorrez estalitako etxeen proportzioa,,PT,99.89
2022,4G sare mugikorrez estalitako etxeen proportzioa,Araba / Álava,PT,99.97
2016,4G sare mugikorrez estalitako etxeen proportzioa,Araba / Álava,PT,90.02
2014,4G sare mugikorrez estalitako etxeen proportzioa,Araba / Álava,PT,76.0
2020,4G sare mugikorrez estalitako etxeen proportzioa,Araba / Álava,PT,99.99
2019,4G sare mugikorrez estalitako etxeen proportzioa,Araba / Álava,PT,99.7
2018,4G sare mugikorrez estalitako etxeen proportzioa,Araba / Álava,PT,99.7
2015,4G sare mugikorrez estalitako etxeen proportzioa,Araba / Álava,PT,79.54
2017,4G sare mugikorrez estalitako etxeen proportzioa,Araba / Álava,PT,97.92
2021,4G sare mugikorrez estalitako etxeen proportzioa,Araba / Álava,PT,99.98
2015,4G sare mugikorrez estalitako etxeen proportzioa,Bizkaia,PT,85.25
2014,4G sare mugikorrez estalitako etxeen proportzioa,Bizkaia,PT,68.5
2020,4G sare mugikorrez estalitako etxeen proportzioa,Bizkaia,PT,99.99
2022,4G sare mugikorrez estalitako etxeen proportzioa,Bizkaia,PT,99.98
2021,4G sare mugikorrez estalitako etxeen proportzioa,Bizkaia,PT,100.0
2019,4G sare mugikorrez estalitako etxeen proportzioa,Bizkaia,PT,99.97
2018,4G sare mugikorrez estalitako etxeen proportzioa,Bizkaia,PT,99.97
2017,4G sare mugikorrez estalitako etxeen proportzioa,Bizkaia,PT,99.52
2016,4G sare mugikorrez estalitako etxeen proportzioa,Bizkaia,PT,95.37
2022,4G sare mugikorrez estalitako etxeen proportzioa,Gipuzkoa,PT,99.96
2021,4G sare mugikorrez estalitako etxeen proportzioa,Gipuzkoa,PT,99.98
2020,4G sare mugikorrez estalitako etxeen proportzioa,Gipuzkoa,PT,99.95
2019,4G sare mugikorrez estalitako etxeen proportzioa,Gipuzkoa,PT,99.94
2018,4G sare mugikorrez estalitako etxeen proportzioa,Gipuzkoa,PT,99.94
2014,4G sare mugikorrez estalitako etxeen proportzioa,Gipuzkoa,PT,23.7
2017,4G sare mugikorrez estalitako etxeen proportzioa,Gipuzkoa,PT,98.71
2016,4G sare mugikorrez estalitako etxeen proportzioa,Gipuzkoa,PT,92.01
2015,4G sare mugikorrez estalitako etxeen proportzioa,Gipuzkoa,PT,70.63
