Year,CCAA,Units,Value
2010,ES12,Porcentaje,14.8
2011,ES12,Porcentaje,19.6
2012,ES12,Porcentaje,20.7
2013,ES12,Porcentaje,20.5
2014,ES12,Porcentaje,21.3
2015,ES12,Porcentaje,20.9
2016,ES12,Porcentaje,21.1
2017,ES12,Porcentaje,16.6
2018,ES12,Porcentaje,17.42
2019,ES12,Porcentaje,24.12
2020,ES12,Porcentaje,22.09
2021,ES12,Porcentaje,23.5
2022,ES12,Porcentaje,21.02
2023,ES12,Porcentaje,21.93
2017,ES13,Porcentaje,17.0
2008,C.A. de Euskadi,Porcentaje,14.79
2012,C.A. de Euskadi,Porcentaje,15.38
2014,C.A. de Euskadi,Porcentaje,18.52
2016,C.A. de Euskadi,Porcentaje,16.37
2018,C.A. de Euskadi,Porcentaje,17.71
2020,C.A. de Euskadi,Porcentaje,17.77
2022,C.A. de Euskadi,Porcentaje,16.48
2014,ES22,Porcentaje,22.34
2015,ES22,Porcentaje,24.21
2016,ES22,Porcentaje,23.15
2017,ES22,Porcentaje,22.61
2018,ES22,Porcentaje,21.71
2019,ES22,Porcentaje,21.31
2020,ES22,Porcentaje,21.93
2021,ES22,Porcentaje,22.31
2022,ES22,Porcentaje,21.7
2023,ES22,Porcentaje,21.82
2010,ES24,Porcentaje,26.68
2011,ES24,Porcentaje,28.16
2012,ES24,Porcentaje,31.75
2013,ES24,Porcentaje,21.73
2014,ES24,Porcentaje,23.21
2015,ES24,Porcentaje,20.58
2016,ES24,Porcentaje,21.81
2017,ES24,Porcentaje,19.14
2018,ES24,Porcentaje,17.35
2019,ES24,Porcentaje,20.68
2020,ES24,Porcentaje,18.96
2021,ES24,Porcentaje,21.05
2010,ES24,Porcentaje,26.68
2011,ES24,Porcentaje,28.16
2012,ES24,Porcentaje,31.75
2013,ES24,Porcentaje,21.73
2014,ES24,Porcentaje,23.21
2015,ES24,Porcentaje,20.58
2016,ES24,Porcentaje,22.56
2017,ES24,Porcentaje,17.02
2018,ES24,Porcentaje,17.51
2019,ES24,Porcentaje,20.78
2020,ES24,Porcentaje,18.76
2021,ES24,Porcentaje,19.3
2022,ES24,Porcentaje,21.39
2010,ES30,Porcentaje,20.4
2011,ES30,Porcentaje,21.4
2012,ES30,Porcentaje,21.3
2013,ES30,Porcentaje,21.9
2014,ES30,Porcentaje,22.2
2015,ES30,Porcentaje,21.3
2016,ES30,Porcentaje,24.0
2017,ES30,Porcentaje,23.2
2018,ES30,Porcentaje,20.9
2019,ES30,Porcentaje,21.88
2020,ES30,Porcentaje,19.08
2021,ES30,Porcentaje,21.63
2010,ES41,Porcentaje,19.54
2011,ES41,Porcentaje,19.07
2012,ES41,Porcentaje,18.42
2013,ES41,Porcentaje,19.08
2014,ES41,Porcentaje,21.63
2015,ES41,Porcentaje,19.27
2016,ES41,Porcentaje,18.33
2017,ES41,Porcentaje,19.62
2018,ES41,Porcentaje,18.4
2019,ES41,Porcentaje,14.5
2020,ES41,Porcentaje,16.08
2021,ES41,Porcentaje,20.05
2022,ES41,Porcentaje,18.8
2023,ES41,Porcentaje,18.67
2010,ES43,Porcentaje,16.21
2011,ES43,Porcentaje,15.63
2012,ES43,Porcentaje,17.09
2013,ES43,Porcentaje,16.96
2014,ES43,Porcentaje,19.37
2015,ES43,Porcentaje,17.15
2016,ES43,Porcentaje,16.89
2017,ES43,Porcentaje,16.5
2018,ES43,Porcentaje,13.69
2019,ES43,Porcentaje,14.9
2020,ES43,Porcentaje,15.91
2021,ES43,Porcentaje,16.42
2022,ES43,Porcentaje,13.79
2023,ES43,Porcentaje,16.98
2010,ES,Porcentaje,19.48
2010,ES53,Porcentaje,24.96
2011,ES,Porcentaje,19.37
2011,ES53,Porcentaje,23.48
2012,ES,Porcentaje,19.69
2012,ES53,Porcentaje,20.54
2013,ES,Porcentaje,19.3
2013,ES53,Porcentaje,19.77
2014,ES,Porcentaje,20.45
2014,ES53,Porcentaje,19.42
2015,ES,Porcentaje,20.23
2015,ES53,Porcentaje,25.86
2016,ES,Porcentaje,20.18
2016,ES53,Porcentaje,18.81
2017,ES,Porcentaje,20.62
2017,ES53,Porcentaje,20.78
2018,ES,Porcentaje,20.23
2018,ES53,Porcentaje,21.6
2019,ES53,Porcentaje,18.12
2019,ES,Porcentaje,19.49
2020,ES,Porcentaje,19.71
2020,ES53,Porcentaje,20.66
2021,ES,Porcentaje,20.61
2021,ES53,Porcentaje,17.52
2022,ES,Porcentaje,19.39
2023,ES,Porcentaje,18.29
2022,ES53,Porcentaje,16.98
2023,ES53,Porcentaje,18.8
2010,ES70,Porcentaje,23.8
2011,ES70,Porcentaje,20.6
2012,ES70,Porcentaje,20.1
2013,ES70,Porcentaje,21.1
2014,ES70,Porcentaje,21.7
2015,ES70,Porcentaje,24.4
2016,ES70,Porcentaje,20.6
2017,ES70,Porcentaje,22.9
2018,ES70,Porcentaje,23.7
2019,ES70,Porcentaje,18.8
2020,ES70,Porcentaje,22.0
2021,ES70,Porcentaje,24.1
