Year,Serie,Sexo,Units,Value
2018,SI_POV_NAHC,,Porcentaje,17.7
2014,SI_POV_NAHC,,Porcentaje,18.5
2012,SI_POV_NAHC,,Porcentaje,15.4
2022,SI_POV_NAHC,,Porcentaje,16.5
2008,SI_POV_NAHC,,Porcentaje,14.8
2016,SI_POV_NAHC,,Porcentaje,16.4
2020,SI_POV_NAHC,,Porcentaje,17.8
2008,SI_POV_NAHC,Mujer,Porcentaje,16.6
2012,SI_POV_NAHC,Mujer,Porcentaje,16.7
2014,SI_POV_NAHC,Mujer,Porcentaje,19.4
2016,SI_POV_NAHC,Mujer,Porcentaje,17.6
2020,SI_POV_NAHC,Mujer,Porcentaje,18.9
2018,SI_POV_NAHC,Mujer,Porcentaje,18.8
2022,SI_POV_NAHC,Mujer,Porcentaje,17.7
2022,SI_POV_NAHC,Hombre,Porcentaje,15.2
2016,SI_POV_NAHC,Hombre,Porcentaje,15.1
2012,SI_POV_NAHC,Hombre,Porcentaje,14.0
2008,SI_POV_NAHC,Hombre,Porcentaje,12.9
2018,SI_POV_NAHC,Hombre,Porcentaje,16.5
2020,SI_POV_NAHC,Hombre,Porcentaje,16.6
2014,SI_POV_NAHC,Hombre,Porcentaje,17.6
