Year,Series,Sexua,Lurralde historikoa,Units,Value
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,Porcentaje,61.3
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,Porcentaje,70.0
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,Porcentaje,92.6
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,Porcentaje,46.7
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,Porcentaje,59.1
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,Porcentaje,53.5
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,Porcentaje,45.7
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,Porcentaje,66.4
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,Porcentaje,92.4
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,Porcentaje,69.0
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,Porcentaje,56.7
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,Porcentaje,44.4
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,Porcentaje,46.0
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,Porcentaje,71.3
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,Porcentaje,50.5
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,Porcentaje,57.0
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,Porcentaje,65.7
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,Porcentaje,84.7
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,Porcentaje,64.7
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,Porcentaje,43.3
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,Porcentaje,49.7
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,Porcentaje,56.4
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,Porcentaje,61.2
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,Porcentaje,42.8
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,Porcentaje,56.4
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,Porcentaje,66.8
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,Porcentaje,68.7
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,Porcentaje,79.2
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,Porcentaje,64.6
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,Porcentaje,100.0
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,Porcentaje,52.1
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,Porcentaje,65.0
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,Porcentaje,65.1
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,Porcentaje,48.6
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,Porcentaje,65.8
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,Porcentaje,49.9
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,Porcentaje,79.0
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,Porcentaje,74.9
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,Porcentaje,100.0
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,Porcentaje,56.4
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,Porcentaje,45.6
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,Porcentaje,57.8
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,Porcentaje,78.6
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,Porcentaje,68.1
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,Porcentaje,90.7
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,Porcentaje,53.4
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,Porcentaje,47.0
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,Porcentaje,90.9
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,Porcentaje,100.0
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,Porcentaje,50.3
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,Porcentaje,60.7
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,Porcentaje,45.5
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,Porcentaje,45.6
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,Porcentaje,64.0
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,Porcentaje,70.5
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,Porcentaje,69.2
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,Porcentaje,74.9
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,Porcentaje,92.1
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,Porcentaje,100.0
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,Porcentaje,74.5
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,Porcentaje,61.8
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,Porcentaje,78.7
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,Porcentaje,57.2
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,Porcentaje,72.5
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,Porcentaje,58.4
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,Porcentaje,57.5
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,Porcentaje,50.3
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,Porcentaje,43.4
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,Porcentaje,61.4
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,Porcentaje,53.1
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,Porcentaje,84.7
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,Porcentaje,42.8
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,Porcentaje,47.4
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,Porcentaje,54.7
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,Porcentaje,41.5
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,Porcentaje,46.6
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,Porcentaje,55.6
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,Porcentaje,51.6
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,Porcentaje,47.3
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,Porcentaje,100.0
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,Porcentaje,40.3
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,Porcentaje,48.9
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,Porcentaje,41.1
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,Porcentaje,61.4
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,Porcentaje,60.5
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,Porcentaje,71.9
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,Porcentaje,59.8
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,Porcentaje,50.0
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,Porcentaje,55.9
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,Porcentaje,46.8
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,Porcentaje,100.0
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,Porcentaje,50.6
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,Porcentaje,59.2
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,Porcentaje,56.9
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,Porcentaje,59.3
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,Porcentaje,67.0
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,83.0
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.5
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.9
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.7
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,81.8
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.8
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.4
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.4
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.8
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.9
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.1
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.9
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.8
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.5
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,Porcentaje,82.3
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,80.6
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,81.4
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,81.5
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,80.7
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,80.8
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,80.9
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,81.0
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,79.9
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,81.7
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,82.0
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,80.0
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,80.3
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,81.7
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,80.0
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,Porcentaje,81.3
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,81.2
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,81.2
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,80.8
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,81.3
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,81.4
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,81.1
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,81.4
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,81.0
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,80.9
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,81.2
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,80.3
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,80.9
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,80.5
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,80.9
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,Porcentaje,81.2
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,86.1
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,86.0
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,86.1
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,85.4
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,86.2
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,85.8
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,86.2
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,86.1
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,86.1
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,85.0
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,85.6
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,86.2
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,85.4
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,85.9
