Year,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2010,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,9.4
2011,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,7.3
2012,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,7.1
2013,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,5.6
2014,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,3.9
2015,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,1.5
2016,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,1.3
2017,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,1.3
2018,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,1.2
2019,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,0.4
2020,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,0.5
2021,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,0.3
2022,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,0.7
2010,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2011,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2012,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2013,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2014,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2015,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2016,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2017,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2018,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2019,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2020,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2021,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2022,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,0.0
2010,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,5.0
2011,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,5.0
2012,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,5.0
2013,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2014,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2015,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2016,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2017,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2018,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2019,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2020,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2021,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2022,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2010,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2011,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2012,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2013,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2014,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2015,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2016,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2017,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2018,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2019,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2020,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2021,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2022,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,0.0
2010,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2011,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2012,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2013,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2014,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2015,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2016,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2017,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2018,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2019,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2020,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2021,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2022,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,0.0
2010,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2011,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2012,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2013,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2014,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2015,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2016,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2017,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2018,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2019,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2020,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2021,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2022,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2010,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2011,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2012,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2013,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2014,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2015,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2016,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2017,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2018,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2019,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2020,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2021,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2022,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2010,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2011,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2012,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2013,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2014,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2015,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2016,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2017,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2018,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2019,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2020,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2021,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2022,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,0.0
2010,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.7
2011,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
2012,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
2013,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
2014,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
2015,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
2016,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
2017,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
2018,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
