Year,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2022,Araba/Álava,,,Euroak,Araba/Álava,1371.5
2023,Araba/Álava,,,Euroak,Araba/Álava,1505.6
2022,,,Alegría-Dulantzi,Euroak,Alegría-Dulantzi,1282.5
2023,,,Alegría-Dulantzi,Euroak,Alegría-Dulantzi,1407.9
2022,,,Amurrio,Euroak,Amurrio,1444.6
2023,,,Amurrio,Euroak,Amurrio,1575.7
2022,,,Aramaio,Euroak,Aramaio,1090.6
2023,,,Aramaio,Euroak,Aramaio,1220.8
2022,,,Artziniega,Euroak,Artziniega,1465.8
2023,,,Artziniega,Euroak,Artziniega,1606.9
2022,,,Armiñón,Euroak,Armiñón,1046.1
2023,,,Armiñón,Euroak,Armiñón,1176.0
2022,,,Arratzua-Ubarrundia,Euroak,Arratzua-Ubarrundia,1302.7
2023,,,Arratzua-Ubarrundia,Euroak,Arratzua-Ubarrundia,1442.1
2022,,,Asparrena,Euroak,Asparrena,1253.7
2023,,,Asparrena,Euroak,Asparrena,1410.8
2022,,Añana (eskualdea),,Euroak,Añana (eskualdea),1088.5
2023,,Añana (eskualdea),,Euroak,Añana (eskualdea),1220.0
2022,,,Ayala/Aiara,Euroak,Ayala/Aiara,1269.8
2023,,,Ayala/Aiara,Euroak,Ayala/Aiara,1391.2
2022,,,Baños de Ebro/Mañueta,Euroak,Baños de Ebro/Mañueta,710.7
2023,,,Baños de Ebro/Mañueta,Euroak,Baños de Ebro/Mañueta,759.7
2022,,,Barrundia,Euroak,Barrundia,1035.5
2023,,,Barrundia,Euroak,Barrundia,1169.8
2022,,,Berantevilla,Euroak,Berantevilla,1001.8
2023,,,Berantevilla,Euroak,Berantevilla,1099.0
2022,,,Bernedo,Euroak,Bernedo,874.8
2023,,,Bernedo,Euroak,Bernedo,970.3
2022,,,Campezo/Kanpezu,Euroak,Campezo/Kanpezu,1005.0
2023,,,Campezo/Kanpezu,Euroak,Campezo/Kanpezu,1112.0
2022,,,Zigoitia,Euroak,Zigoitia,1480.4
2023,,,Zigoitia,Euroak,Zigoitia,1614.4
2022,,,Kripan,Euroak,Kripan,851.1
2023,,,Kripan,Euroak,Kripan,965.2
2022,,Arabako Lautada / Llanada Alavesa,,Euroak,Arabako Lautada / Llanada Alavesa,1391.2
2023,,Arabako Lautada / Llanada Alavesa,,Euroak,Arabako Lautada / Llanada Alavesa,1527.1
2022,,,Kuartango,Euroak,Kuartango,1085.8
2023,,,Kuartango,Euroak,Kuartango,1224.6
2022,,,Elburgo/Burgelu,Euroak,Elburgo/Burgelu,1431.9
2023,,,Elburgo/Burgelu,Euroak,Elburgo/Burgelu,1523.0
2022,,,Elciego,Euroak,Elciego,1245.8
2023,,,Elciego,Euroak,Elciego,1358.2
2022,,,Elvillar/Bilar,Euroak,Elvillar/Bilar,686.9
2023,,,Elvillar/Bilar,Euroak,Elvillar/Bilar,763.7
2022,,,Iruraiz-Gauna,Euroak,Iruraiz-Gauna,877.3
2023,,,Iruraiz-Gauna,Euroak,Iruraiz-Gauna,1004.9
2022,,,Labastida/Bastida,Euroak,Labastida/Bastida,1109.9
2023,,,Labastida/Bastida,Euroak,Labastida/Bastida,1221.0
2022,,Arabako Mendialdea / Montaña Alavesa,,Euroak,Arabako Mendialdea / Montaña Alavesa,941.7
2023,,Arabako Mendialdea / Montaña Alavesa,,Euroak,Arabako Mendialdea / Montaña Alavesa,1043.9
2022,,,Lagrán,Euroak,Lagrán,886.6
2023,,,Lagrán,Euroak,Lagrán,983.4
2022,,,Laguardia,Euroak,Laguardia,1062.5
2023,,,Laguardia,Euroak,Laguardia,1163.3
2022,,,Lanciego/Lantziego,Euroak,Lanciego/Lantziego,841.2
2023,,,Lanciego/Lantziego,Euroak,Lanciego/Lantziego,919.1
2022,,,Lapuebla de Labarca,Euroak,Lapuebla de Labarca,906.5
2023,,,Lapuebla de Labarca,Euroak,Lapuebla de Labarca,1027.3
2022,,,Leza,Euroak,Leza,1148.3
2023,,,Leza,Euroak,Leza,1270.3
2022,,,Laudio/Llodio,Euroak,Laudio/Llodio,1460.3
2023,,,Laudio/Llodio,Euroak,Laudio/Llodio,1590.8
2022,,,Arraia-Maeztu,Euroak,Arraia-Maeztu,1037.1
2023,,,Arraia-Maeztu,Euroak,Arraia-Maeztu,1141.6
2022,,,Moreda de Álava/Moreda Araba,Euroak,Moreda de Álava/Moreda Araba,1045.7
2023,,,Moreda de Álava/Moreda Araba,Euroak,Moreda de Álava/Moreda Araba,1115.6
2022,,Arabako Errioxa / Rioja Alavesa,,Euroak,Arabako Errioxa / Rioja Alavesa,993.2
2023,,Arabako Errioxa / Rioja Alavesa,,Euroak,Arabako Errioxa / Rioja Alavesa,1096.0
2022,,,Navaridas,Euroak,Navaridas,709.5
2023,,,Navaridas,Euroak,Navaridas,783.8
2022,,,Okondo,Euroak,Okondo,1199.9
2023,,,Okondo,Euroak,Okondo,1343.4
2022,,,Oyón-Oion,Euroak,Oyón-Oion,1050.7
2023,,,Oyón-Oion,Euroak,Oyón-Oion,1153.5
2022,,,Peñacerrada-Urizaharra,Euroak,Peñacerrada-Urizaharra,850.4
2023,,,Peñacerrada-Urizaharra,Euroak,Peñacerrada-Urizaharra,950.8
2022,,,Erriberagoitia/Ribera Alta,Euroak,Erriberagoitia/Ribera Alta,1095.8
2023,,,Erriberagoitia/Ribera Alta,Euroak,Erriberagoitia/Ribera Alta,1202.5
2022,,,Ribera Baja/Erribera Beitia,Euroak,Ribera Baja/Erribera Beitia,1299.2
2023,,,Ribera Baja/Erribera Beitia,Euroak,Ribera Baja/Erribera Beitia,1472.3
2022,,,Añana,Euroak,Añana,1019.1
2023,,,Añana,Euroak,Añana,1131.4
2022,,Gorbeialdea / Estribaciones del Gorbea,,Euroak,Gorbeialdea / Estribaciones del Gorbea,1329.5
2023,,Gorbeialdea / Estribaciones del Gorbea,,Euroak,Gorbeialdea / Estribaciones del Gorbea,1471.6
2022,,,Agurain/Salvatierra,Euroak,Agurain/Salvatierra,1220.6
