Year,Funtsezko zerbitzuak,Units,Value
2021,,PT,71.8
2012,,PT,69.3
2018,,PT,70.7
2019,,PT,70.8
2020,,PT,71.6
2016,,PT,70.2
2022,,PT,69.6
2014,,PT,69.7
2015,,PT,69.9
2017,,PT,69.7
2017,Hezkuntza,PT,10.9
2022,Hezkuntza,PT,10.3
2018,Hezkuntza,PT,10.8
2014,Hezkuntza,PT,10.9
2016,Hezkuntza,PT,10.9
2020,Hezkuntza,PT,10.1
2012,Hezkuntza,PT,11.1
2015,Hezkuntza,PT,10.9
2019,Hezkuntza,PT,10.7
2021,Hezkuntza,PT,10.4
2019,Osasuna,PT,14.0
2020,Osasuna,PT,13.9
2021,Osasuna,PT,14.4
2010,Osasuna,PT,13.7
2022,Osasuna,PT,14.0
2023,Osasuna,PT,13.8
2011,Osasuna,PT,13.8
2018,Osasuna,PT,14.0
2013,Osasuna,PT,13.6
2014,Osasuna,PT,13.4
2012,Osasuna,PT,13.7
2015,Osasuna,PT,13.7
2016,Osasuna,PT,13.8
2017,Osasuna,PT,13.7
2017,Gizarte-babesa,PT,45.1
2019,Gizarte-babesa,PT,46.1
2020,Gizarte-babesa,PT,47.6
2021,Gizarte-babesa,PT,47.0
2022,Gizarte-babesa,PT,45.3
2023,Gizarte-babesa,PT,46.3
2010,Gizarte-babesa,PT,40.3
2011,Gizarte-babesa,PT,42.0
2018,Gizarte-babesa,PT,45.9
2012,Gizarte-babesa,PT,44.5
2013,Gizarte-babesa,PT,45.9
2014,Gizarte-babesa,PT,45.4
2015,Gizarte-babesa,PT,45.3
2016,Gizarte-babesa,PT,45.5
