Year,Series,Diru-sarreren taldea,Lurralde historikoa,Units,Value
2020,Familiako gastuaren hazkunde-tasa per capita,,,PT,-1.1
2012,Familiako gastuaren hazkunde-tasa per capita,,,PT,0.5
2020,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,PT,4.5
2017,Familiako gastuaren hazkunde-tasa per capita,,,PT,0.8
2014,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,PT,-0.9
2015,Familiako gastuaren hazkunde-tasa per capita,,,PT,0.6
2019,Familiako gastuaren hazkunde-tasa per capita,,,PT,1.7
2016,Familiako gastuaren hazkunde-tasa per capita,,,PT,0.5
2012,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,PT,-1.0
2008,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,PT,4.2
2018,Familiako gastuaren hazkunde-tasa per capita,,,PT,1.2
2011,Familiako gastuaren hazkunde-tasa per capita,,,PT,1.7
2014,Familiako gastuaren hazkunde-tasa per capita,,,PT,0.1
2022,Familiako gastuaren hazkunde-tasa per capita,,,PT,1.3
2021,Familiako gastuaren hazkunde-tasa per capita,,,PT,-0.3
2022,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,PT,3.2
2018,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,PT,1.6
2013,Familiako gastuaren hazkunde-tasa per capita,,,PT,0.0
2016,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,PT,1.0
2021,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,0.9
2018,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,0.9
2017,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,-0.1
2022,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,2.5
2013,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,-1.3
2015,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,1.1
2011,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,0.3
2014,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,-2.4
2019,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,1.0
2012,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,0.2
2020,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,-1.9
2016,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,PT,1.0
2022,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,1.0
2016,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,0.1
2020,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,-1.5
2021,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,-0.5
2011,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,1.9
2017,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,0.3
2014,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,1.0
2012,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,0.5
2015,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,0.3
2018,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,1.0
2013,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,-0.2
2019,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,PT,1.5
2019,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,2.5
2016,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,1.2
2015,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,1.0
2022,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,1.2
2013,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,1.0
2021,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,-0.3
2012,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,0.7
2017,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,1.9
2018,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,1.5
2011,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,2.0
2014,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,-0.4
2020,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,PT,-0.1
2012,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,PT,-0.7
2018,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,PT,1.7
2020,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,PT,2.9
2016,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,PT,1.0
2014,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,PT,-1.7
2008,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,PT,4.8
2015,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,0.3
2017,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,0.6
2013,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,-0.3
2020,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,-1.3
2012,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,0.1
2021,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,-0.1
2022,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,1.3
2019,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,1.3
2022,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,PT,4.2
2011,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,1.6
2018,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,1.0
2014,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,-0.2
2016,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,PT,-0.1
2014,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,-3.3
2020,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,-2.0
2016,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,0.2
2011,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,1.3
2021,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,-0.1
2018,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,1.6
2015,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,-0.1
2013,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,-2.3
2019,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,-0.8
2012,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,0.2
2022,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,2.4
2017,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,PT,-0.6
2012,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,0.6
2011,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,1.5
2022,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,1.3
2021,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,-0.5
2020,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,-1.4
2019,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,1.6
2018,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,0.4
2017,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,-0.1
2016,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,-0.3
2015,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,0.9
2014,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,0.9
2013,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,PT,-0.1
2012,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,-0.7
2011,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,1.9
2022,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,0.8
2021,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,0.2
2020,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,-0.5
2019,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,1.6
2018,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,1.5
2017,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,2.0
2016,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,0.7
2015,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,-0.8
2014,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,-0.9
2013,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,PT,0.2
