Year,Administrazio publikoa,Units,Value
2018,Administrazio autonomikoa eta tokikoa,EUR_PER_CAPITA,27.6
2017,Administrazio autonomikoa eta tokikoa,EUR_PER_CAPITA,25.7
2015,Administrazio autonomikoa eta tokikoa,EUR_PER_CAPITA,25.7
2019,Administrazio autonomikoa eta tokikoa,EUR_PER_CAPITA,29.2
2020,Administrazio autonomikoa eta tokikoa,EUR_PER_CAPITA,29.2
2021,Administrazio autonomikoa eta tokikoa,EUR_PER_CAPITA,30.2
2016,Administrazio autonomikoa eta tokikoa,EUR_PER_CAPITA,24.7
2020,Administrazio autonomikoa,EUR_PER_CAPITA,9.6
2015,Administrazio autonomikoa,EUR_PER_CAPITA,7.3
2017,Administrazio autonomikoa,EUR_PER_CAPITA,7.9
2013,Administrazio autonomikoa,EUR_PER_CAPITA,6.4
2012,Administrazio autonomikoa,EUR_PER_CAPITA,8.2
2018,Administrazio autonomikoa,EUR_PER_CAPITA,8.4
2011,Administrazio autonomikoa,EUR_PER_CAPITA,10.6
2021,Administrazio autonomikoa,EUR_PER_CAPITA,9.1
2010,Administrazio autonomikoa,EUR_PER_CAPITA,14.1
2016,Administrazio autonomikoa,EUR_PER_CAPITA,7.1
2019,Administrazio autonomikoa,EUR_PER_CAPITA,8.6
2014,Administrazio autonomikoa,EUR_PER_CAPITA,15.2
2015,Toki-administrazioa,EUR_PER_CAPITA,18.4
2016,Toki-administrazioa,EUR_PER_CAPITA,17.6
2017,Toki-administrazioa,EUR_PER_CAPITA,17.9
2018,Toki-administrazioa,EUR_PER_CAPITA,19.2
2019,Toki-administrazioa,EUR_PER_CAPITA,20.5
2020,Toki-administrazioa,EUR_PER_CAPITA,19.6
2021,Toki-administrazioa,EUR_PER_CAPITA,21.1
