Year,Series,Ekosistema,Units,Value
2018,EU_SDG_15_20_KM2,,KM2,1713.6
2021,EU_SDG_15_20_KM2,,KM2,1714.1
2015,EU_SDG_15_20_KM2,,KM2,1698.7
2015,EU_SDG_15_20_KM2,Basoak,KM2,1138.9
2021,EU_SDG_15_20_KM2,Basoak,KM2,1147.5
2018,EU_SDG_15_20_KM2,Basoak,KM2,1147.4
2021,EU_SDG_15_20_KM2,Hezeguneak,KM2,37.8
2015,EU_SDG_15_20_KM2,Hezeguneak,KM2,37.5
2018,EU_SDG_15_20_KM2,Hezeguneak,KM2,37.6
2015,EU_SDG_15_20_KM2,Larreak,KM2,429.0
2021,EU_SDG_15_20_KM2,Larreak,KM2,432.2
2018,EU_SDG_15_20_KM2,Larreak,KM2,432.1
2021,EU_SDG_15_20_KM2,Laborantza-lurrak,KM2,35.9
2018,EU_SDG_15_20_KM2,Laborantza-lurrak,KM2,35.9
2015,EU_SDG_15_20_KM2,Laborantza-lurrak,KM2,32.5
2015,EU_SDG_15_20_KM2,Asentamenduak,KM2,14.8
2021,EU_SDG_15_20_KM2,Asentamenduak,KM2,14.8
2018,EU_SDG_15_20_KM2,Asentamenduak,KM2,14.8
2021,EU_SDG_15_20_KM2,Beste lur batzuk,KM2,45.9
2015,EU_SDG_15_20_KM2,Beste lur batzuk,KM2,46.0
2018,EU_SDG_15_20_KM2,Beste lur batzuk,KM2,45.9
2015,EU_SDG_15_20_PT,,PT,23.5
2018,EU_SDG_15_20_PT,,PT,23.7
2021,EU_SDG_15_20_PT,,PT,23.7
2015,EU_SDG_15_20_PT,Basoak,PT,28.7
2018,EU_SDG_15_20_PT,Basoak,PT,28.9
2021,EU_SDG_15_20_PT,Basoak,PT,28.9
2018,EU_SDG_15_20_PT,Hezeguneak,PT,70.6
2021,EU_SDG_15_20_PT,Hezeguneak,PT,70.9
2015,EU_SDG_15_20_PT,Hezeguneak,PT,70.4
2021,EU_SDG_15_20_PT,Larreak,PT,24.2
2018,EU_SDG_15_20_PT,Larreak,PT,24.2
2015,EU_SDG_15_20_PT,Larreak,PT,24.0
2021,EU_SDG_15_20_PT,Laborantza-lurrak,PT,4.1
2018,EU_SDG_15_20_PT,Laborantza-lurrak,PT,4.1
2015,EU_SDG_15_20_PT,Laborantza-lurrak,PT,3.7
2021,EU_SDG_15_20_PT,Asentamenduak,PT,3.2
2015,EU_SDG_15_20_PT,Asentamenduak,PT,3.2
2018,EU_SDG_15_20_PT,Asentamenduak,PT,3.2
2021,EU_SDG_15_20_PT,Beste lur batzuk,PT,70.6
2018,EU_SDG_15_20_PT,Beste lur batzuk,PT,70.6
2015,EU_SDG_15_20_PT,Beste lur batzuk,PT,70.5
