Year,Ustiategi mota,Units,Value
2021,"Lan behartua, morrontza eta esklabotza",PER_100000,0.0
2016,"Lan behartua, morrontza eta esklabotza",PER_100000,0.0
2023,"Lan behartua, morrontza eta esklabotza",PER_100000,0.8
2017,Organoak lortzea,PER_100000,0.0
2022,"Lan behartua, morrontza eta esklabotza",PER_100000,0.0
2020,"Lan behartua, morrontza eta esklabotza",PER_100000,0.1
2020,Organoak lortzea,PER_100000,0.0
2019,Organoak lortzea,PER_100000,0.0
2017,"Lan behartua, morrontza eta esklabotza",PER_100000,0.0
2015,"Lan behartua, morrontza eta esklabotza",PER_100000,0.0
2019,"Lan behartua, morrontza eta esklabotza",PER_100000,0.0
2018,"Lan behartua, morrontza eta esklabotza",PER_100000,0.0
2018,Organoak lortzea,PER_100000,0.0
2016,Organoak lortzea,PER_100000,0.0
2021,Organoak lortzea,PER_100000,0.0
2023,Pertsonen salerosketa (helburu guztiak),PER_100000,1.5
2019,Pertsonen salerosketa (helburu guztiak),PER_100000,0.8
2017,Pertsonen salerosketa (helburu guztiak),PER_100000,0.1
2018,Pertsonen salerosketa (helburu guztiak),PER_100000,0.0
2020,Pertsonen salerosketa (helburu guztiak),PER_100000,0.5
2021,Pertsonen salerosketa (helburu guztiak),PER_100000,0.0
2022,Pertsonen salerosketa (helburu guztiak),PER_100000,0.2
2016,Pertsonen salerosketa (helburu guztiak),PER_100000,0.0
2012,Sexu-esplotazioa,PER_100000,0.1
2015,Sexu-esplotazioa,PER_100000,0.1
2013,Sexu-esplotazioa,PER_100000,0.4
2014,Sexu-esplotazioa,PER_100000,0.0
2016,Sexu-esplotazioa,PER_100000,0.0
2017,Sexu-esplotazioa,PER_100000,0.1
2021,Sexu-esplotazioa,PER_100000,0.0
2018,Sexu-esplotazioa,PER_100000,0.0
2020,Sexu-esplotazioa,PER_100000,0.4
2022,Sexu-esplotazioa,PER_100000,0.2
2019,Sexu-esplotazioa,PER_100000,0.8
2023,Sexu-esplotazioa,PER_100000,0.7
2017,Beste helburu batzuk,PER_100000,0.0
2018,Beste helburu batzuk,PER_100000,0.0
2019,Beste helburu batzuk,PER_100000,0.0
2016,Beste helburu batzuk,PER_100000,0.0
2023,Beste helburu batzuk,PER_100000,0.0
2020,Beste helburu batzuk,PER_100000,0.0
2021,Beste helburu batzuk,PER_100000,0.0
2022,Beste helburu batzuk,PER_100000,0.0
