Year,Zerbitzu publikoak,Sexua,Lurralde historikoa,Units,Value
2018,,,,PT,57.4
2017,,,,PT,57.4
2019,,,,PT,57.3
2013,,,,PT,40.2
2020,,,,PT,54.1
2023,,,,PT,56.8
2022,,,,PT,51.0
2015,,,,PT,46.3
2014,,,,PT,41.2
2016,,,,PT,50.4
2011,,,,PT,47.7
2012,,,,PT,50.3
2021,,,,PT,55.1
2022,,,Araba / Álava,PT,42.7
2017,,,Araba / Álava,PT,60.5
2019,,,Araba / Álava,PT,54.8
2016,,,Araba / Álava,PT,49.6
2021,,,Araba / Álava,PT,48.2
2023,,,Araba / Álava,PT,55.7
2020,,,Araba / Álava,PT,47.3
2018,,,Araba / Álava,PT,56.0
2022,,,Bizkaia,PT,54.9
2018,,,Bizkaia,PT,55.7
2017,,,Bizkaia,PT,50.4
2020,,,Bizkaia,PT,56.9
2016,,,Bizkaia,PT,45.0
2021,,,Bizkaia,PT,57.9
2019,,,Bizkaia,PT,51.2
2023,,,Bizkaia,PT,53.1
2017,,,Gipuzkoa,PT,62.1
2019,,,Gipuzkoa,PT,61.6
2022,,,Gipuzkoa,PT,51.0
2018,,,Gipuzkoa,PT,59.8
2023,,,Gipuzkoa,PT,59.4
2021,,,Gipuzkoa,PT,54.8
2016,,,Gipuzkoa,PT,55.9
2020,,,Gipuzkoa,PT,54.9
2022,,Emakumea,,PT,49.1
2017,,Emakumea,,PT,57.0
2016,,Emakumea,,PT,46.6
2021,,Emakumea,,PT,53.1
2023,,Emakumea,,PT,54.8
2019,,Emakumea,,PT,54.6
2018,,Emakumea,,PT,54.5
2020,,Emakumea,,PT,50.2
2017,,Emakumea,Araba / Álava,PT,56.2
2020,,Emakumea,Araba / Álava,PT,44.6
2021,,Emakumea,Araba / Álava,PT,32.2
2018,,Emakumea,Araba / Álava,PT,58.0
2023,,Emakumea,Araba / Álava,PT,56.8
2022,,Emakumea,Araba / Álava,PT,41.2
2019,,Emakumea,Araba / Álava,PT,52.2
2016,,Emakumea,Araba / Álava,PT,48.0
2022,,Emakumea,Bizkaia,PT,54.7
2019,,Emakumea,Bizkaia,PT,45.0
2017,,Emakumea,Bizkaia,PT,47.6
2021,,Emakumea,Bizkaia,PT,55.5
2018,,Emakumea,Bizkaia,PT,49.1
2016,,Emakumea,Bizkaia,PT,36.8
2023,,Emakumea,Bizkaia,PT,48.4
2020,,Emakumea,Bizkaia,PT,52.2
2020,,Emakumea,Gipuzkoa,PT,51.6
2023,,Emakumea,Gipuzkoa,PT,58.6
2017,,Emakumea,Gipuzkoa,PT,67.3
2022,,Emakumea,Gipuzkoa,PT,47.6
2018,,Emakumea,Gipuzkoa,PT,58.5
2021,,Emakumea,Gipuzkoa,PT,54.0
2019,,Emakumea,Gipuzkoa,PT,61.4
2016,,Emakumea,Gipuzkoa,PT,55.2
2022,,Gizona,,PT,52.8
2017,,Gizona,,PT,57.8
2023,,Gizona,,PT,59.0
2021,,Gizona,,PT,57.5
2016,,Gizona,,PT,54.6
2018,,Gizona,,PT,59.9
2020,,Gizona,,PT,58.3
2019,,Gizona,,PT,60.3
2021,,Gizona,Araba / Álava,PT,57.9
2016,,Gizona,Araba / Álava,PT,51.1
2023,,Gizona,Araba / Álava,PT,55.0
2022,,Gizona,Araba / Álava,PT,44.4
2019,,Gizona,Araba / Álava,PT,56.8
2017,,Gizona,Araba / Álava,PT,63.9
2018,,Gizona,Araba / Álava,PT,53.8
2020,,Gizona,Araba / Álava,PT,51.1
2016,,Gizona,Bizkaia,PT,53.7
2022,,Gizona,Bizkaia,PT,55.8
2017,,Gizona,Bizkaia,PT,54.0
2020,,Gizona,Bizkaia,PT,61.0
2018,,Gizona,Bizkaia,PT,60.8
2023,,Gizona,Bizkaia,PT,60.0
2019,,Gizona,Bizkaia,PT,59.0
2021,,Gizona,Bizkaia,PT,61.3
2020,,Gizona,Gipuzkoa,PT,58.6
2021,,Gizona,Gipuzkoa,PT,55.6
2017,,Gizona,Gipuzkoa,PT,57.4
2022,,Gizona,Gipuzkoa,PT,53.7
2018,,Gizona,Gipuzkoa,PT,61.1
2023,,Gizona,Gipuzkoa,PT,60.5
2019,,Gizona,Gipuzkoa,PT,62.0
2016,,Gizona,Gipuzkoa,PT,56.9
2018,Irakaskuntza,,,PT,70.9
2013,Irakaskuntza,,,PT,45.5
2016,Irakaskuntza,,,PT,60.0
2023,Irakaskuntza,,,PT,65.3
2022,Irakaskuntza,,,PT,60.9
2020,Irakaskuntza,,,PT,56.5
2015,Irakaskuntza,,,PT,59.4
2014,Irakaskuntza,,,PT,54.0
2012,Irakaskuntza,,,PT,66.0
2019,Irakaskuntza,,,PT,72.2
2011,Irakaskuntza,,,PT,66.7
2021,Irakaskuntza,,,PT,54.4
2017,Irakaskuntza,,,PT,69.5
2020,Irakaskuntza,,Araba / Álava,PT,33.3
2017,Irakaskuntza,,Araba / Álava,PT,60.0
2018,Irakaskuntza,,Araba / Álava,PT,76.5
2021,Irakaskuntza,,Araba / Álava,PT,61.2
2016,Irakaskuntza,,Araba / Álava,PT,77.8
2023,Irakaskuntza,,Araba / Álava,PT,57.0
2019,Irakaskuntza,,Araba / Álava,PT,41.7
2022,Irakaskuntza,,Araba / Álava,PT,42.0
2019,Irakaskuntza,,Bizkaia,PT,69.0
2023,Irakaskuntza,,Bizkaia,PT,66.2
2017,Irakaskuntza,,Bizkaia,PT,72.2
2021,Irakaskuntza,,Bizkaia,PT,53.2
2018,Irakaskuntza,,Bizkaia,PT,58.3
2016,Irakaskuntza,,Bizkaia,PT,48.8
2022,Irakaskuntza,,Bizkaia,PT,63.9
2020,Irakaskuntza,,Bizkaia,PT,58.8
