Year,Series,Institucion,Territorio,Units,Value
2021,SG_DMK_PSRVC,,ES213,RO,1.21
2016,SG_DMK_PSRVC,,ES211,RO,1.21
2012,SG_DMK_PSRVC,,ES211,RO,1.18
2017,SG_DMK_JDC,,,RO,1.22
2016,SG_DMK_PARLMP_LC,,,RO,1.07
2012,SG_DMK_PSRVC,,ES213,RO,1.11
2017,SG_DMK_PSRVC,,ES213,RO,1.17
2019,SG_DMK_PSRVC,,ES211,RO,1.24
2019,SG_DMK_PSRVC,,,RO,1.21
2010,SG_DMK_PSRVC,,,RO,1.13
2018,SG_DMK_JDC,,,RO,1.21
2020,SG_DMK_PSRVC,,,RO,1.22
2022,SG_DMK_JDC,,,RO,1.2
2018,SG_DMK_PSRVC,,ES213,RO,1.12
2019,SG_DMK_JDC,,,RO,1.23
2021,SG_DMK_PARLMP_LC,,,RO,1.01
2018,SG_DMK_PSRVC,,ES211,RO,1.22
2016,SG_DMK_PSRVC,,ES213,RO,1.14
2013,SG_DMK_PSRVC,,ES211,RO,1.19
2020,SG_DMK_PSRVC,,ES213,RO,1.2
2011,SG_DMK_PSRVC,,ES211,RO,1.16
2019,SG_DMK_PSRVC,,ES213,RO,1.19
2017,SG_DMK_PSRVC,,ES211,RO,1.22
2022,SG_DMK_PSRVC,,,RO,1.23
2011,SG_DMK_PSRVC,,,RO,1.12
2010,SG_DMK_PSRVC,,ES213,RO,1.11
2023,SG_DMK_PSRVC,,,RO,1.29
2012,SG_DMK_PARLMP_LC,,,RO,0.99
2014,SG_DMK_PSRVC,,,RO,1.16
2018,SG_DMK_PSRVC,,ES212,RO,1.17
2020,SG_DMK_PSRVC,,ES211,RO,1.24
2020,SG_DMK_JDC,,,RO,1.24
2010,SG_DMK_PSRVC,,ES212,RO,1.15
2022,SG_DMK_PSRVC,,ES213,RO,1.21
2014,SG_DMK_JDC,,,RO,1.23
2014,SG_DMK_PSRVC,,ES212,RO,1.17
2017,SG_DMK_PSRVC,,ES212,RO,1.21
2017,SG_DMK_PSRVC,,,RO,1.19
2022,SG_DMK_PARLMP_LC,,,RO,1.01
2011,SG_DMK_JDC,,,RO,1.22
2022,SG_DMK_PSRVC,,ES211,RO,1.27
2011,SG_DMK_PSRVC,,ES213,RO,1.1
2021,SG_DMK_PSRVC,,ES211,RO,1.25
2017,SG_DMK_PARLMP_LC,,,RO,1.07
2013,SG_DMK_PSRVC,,,RO,1.15
2010,SG_DMK_PARLMP_LC,,,RO,0.91
2015,SG_DMK_PARLMP_LC,,,RO,0.99
2011,SG_DMK_PSRVC,,ES212,RO,1.14
2012,SG_DMK_PSRVC,,,RO,1.14
2021,SG_DMK_JDC,,,RO,1.23
2013,SG_DMK_PSRVC,,ES213,RO,1.12
2012,SG_DMK_PSRVC,,ES212,RO,1.17
2023,SG_DMK_PSRVC,,ES212,RO,1.31
2020,SG_DMK_PSRVC,,ES212,RO,1.24
2010,SG_DMK_JDC,,,RO,1.15
2021,SG_DMK_PSRVC,,ES212,RO,1.25
2014,SG_DMK_PSRVC,,ES213,RO,1.13
2020,SG_DMK_PARLMP_LC,,,RO,1.01
2010,SG_DMK_PSRVC,,ES211,RO,1.16
2022,SG_DMK_PSRVC,,ES212,RO,1.23
2021,SG_DMK_PSRVC,,,RO,1.23
2016,SG_DMK_JDC,,,RO,1.2
2014,SG_DMK_PARLMP_LC,,,RO,0.99
2023,SG_DMK_PARLMP_LC,,,RO,0.99
2016,SG_DMK_PSRVC,,ES212,RO,1.19
2013,SG_DMK_JDC,,,RO,1.23
2013,SG_DMK_PSRVC,,ES212,RO,1.18
2023,SG_DMK_JDC,,,RO,1.22
2015,SG_DMK_PSRVC,,ES213,RO,1.14
2014,SG_DMK_PSRVC,,ES211,RO,1.2
2015,SG_DMK_PSRVC,,,RO,1.16
2012,SG_DMK_JDC,,,RO,1.17
2018,SG_DMK_PSRVC,,,RO,1.16
2018,SG_DMK_PARLMP_LC,,,RO,1.07
2013,SG_DMK_PARLMP_LC,,,RO,0.99
2023,SG_DMK_PSRVC,,ES213,RO,1.29
2011,SG_DMK_PARLMP_LC,,,RO,0.91
2016,SG_DMK_PSRVC,,,RO,1.17
2019,SG_DMK_PARLMP_LC,,,RO,1.07
2015,SG_DMK_PSRVC,,ES212,RO,1.18
2015,SG_DMK_JDC,,,RO,1.24
2023,SG_DMK_PSRVC,,ES211,RO,1.28
2015,SG_DMK_PSRVC,,ES211,RO,1.2
2019,SG_DMK_PSRVC,,ES212,RO,1.23
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.33
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.31
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.4
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.32
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.37
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.34
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.29
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.37
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.47
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.35
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.32
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.37
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.31
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.33
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.38
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.4
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.33
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.42
