Year,Series,Lurralde historikoa,Units,Value
2012,NY_GDP_MKTP_KD_ZG,,PT,-1.9
2013,NY_GDP_MKTP_KD_ZG,,PT,-1.7
2021,NY_GDP_MKTP_KD_ZG,,PT,6.0
2015,NY_GDP_MKTP_KD_ZG,,PT,3.0
2020,NY_GDP_MKTP_KD_ZG,,PT,-9.6
2018,NY_GDP_MKTP_KD_ZG,,PT,3.1
2016,NY_GDP_MKTP_KD_ZG,,PT,3.3
2014,NY_GDP_MKTP_KD_ZG,,PT,1.7
2010,NY_GDP_MKTP_KD_ZG,,PT,0.7
2017,NY_GDP_MKTP_KD_ZG,,PT,2.8
2019,NY_GDP_MKTP_KD_ZG,,PT,2.3
2022,NY_GDP_MKTP_KD_ZG,,PT,5.4
2011,NY_GDP_MKTP_KD_ZG,,PT,0.3
2010,NY_GDP_MKTP_KD_ZG,ES211,PT,1.2
2011,NY_GDP_MKTP_KD_ZG,ES211,PT,0.8
2017,NY_GDP_MKTP_KD_ZG,ES211,PT,2.1
2021,NY_GDP_MKTP_KD_ZG,ES211,PT,6.0
2016,NY_GDP_MKTP_KD_ZG,ES211,PT,3.1
2014,NY_GDP_MKTP_KD_ZG,ES211,PT,2.0
2013,NY_GDP_MKTP_KD_ZG,ES211,PT,-1.7
2012,NY_GDP_MKTP_KD_ZG,ES211,PT,-2.3
2022,NY_GDP_MKTP_KD_ZG,ES211,PT,4.3
2019,NY_GDP_MKTP_KD_ZG,ES211,PT,1.9
2020,NY_GDP_MKTP_KD_ZG,ES211,PT,-10.4
2015,NY_GDP_MKTP_KD_ZG,ES211,PT,3.0
2018,NY_GDP_MKTP_KD_ZG,ES211,PT,2.2
2021,NY_GDP_MKTP_KD_ZG,ES213,PT,6.1
2015,NY_GDP_MKTP_KD_ZG,ES213,PT,2.8
2012,NY_GDP_MKTP_KD_ZG,ES213,PT,-2.2
2020,NY_GDP_MKTP_KD_ZG,ES213,PT,-9.2
2022,NY_GDP_MKTP_KD_ZG,ES213,PT,6.5
2018,NY_GDP_MKTP_KD_ZG,ES213,PT,2.9
2014,NY_GDP_MKTP_KD_ZG,ES213,PT,1.4
2019,NY_GDP_MKTP_KD_ZG,ES213,PT,2.2
2011,NY_GDP_MKTP_KD_ZG,ES213,PT,0.2
2010,NY_GDP_MKTP_KD_ZG,ES213,PT,0.6
2016,NY_GDP_MKTP_KD_ZG,ES213,PT,3.5
2017,NY_GDP_MKTP_KD_ZG,ES213,PT,3.0
2013,NY_GDP_MKTP_KD_ZG,ES213,PT,-1.5
2015,NY_GDP_MKTP_KD_ZG,ES212,PT,3.4
2012,NY_GDP_MKTP_KD_ZG,ES212,PT,-1.3
2018,NY_GDP_MKTP_KD_ZG,ES212,PT,3.7
2010,NY_GDP_MKTP_KD_ZG,ES212,PT,0.6
2013,NY_GDP_MKTP_KD_ZG,ES212,PT,-1.9
2016,NY_GDP_MKTP_KD_ZG,ES212,PT,3.3
2022,NY_GDP_MKTP_KD_ZG,ES212,PT,4.3
2011,NY_GDP_MKTP_KD_ZG,ES212,PT,0.3
2019,NY_GDP_MKTP_KD_ZG,ES212,PT,2.6
2014,NY_GDP_MKTP_KD_ZG,ES212,PT,1.7
2020,NY_GDP_MKTP_KD_ZG,ES212,PT,-10.0
2021,NY_GDP_MKTP_KD_ZG,ES212,PT,6.0
2017,NY_GDP_MKTP_KD_ZG,ES212,PT,2.8
2018,SL_TLF_UEM,,PT,10.5
2013,SL_TLF_UEM,,PT,15.1
2014,SL_TLF_UEM,,PT,16.1
2021,SL_TLF_UEM,,PT,10.0
2023,SL_TLF_UEM,,PT,7.8
2016,SL_TLF_UEM,,PT,13.8
2015,SL_TLF_UEM,,PT,15.7
2022,SL_TLF_UEM,,PT,8.6
2010,SL_TLF_UEM,,PT,9.2
2017,SL_TLF_UEM,,PT,11.6
2012,SL_TLF_UEM,,PT,11.8
2019,SL_TLF_UEM,,PT,9.8
2020,SL_TLF_UEM,,PT,10.6
2011,SL_TLF_UEM,,PT,10.8
