Year,Teknologia,Lurralde historikoa,Units,Value
2018,,,PER_100_POP,35.4
2013,,,PER_100_POP,29.0
2022,,,PER_100_POP,39.3
2010,,,PER_100_POP,24.6
2021,,,PER_100_POP,38.8
2014,,,PER_100_POP,30.6
2012,,,PER_100_POP,26.9
2016,,,PER_100_POP,33.4
2020,,,PER_100_POP,37.3
2017,,,PER_100_POP,33.9
2015,,,PER_100_POP,32.0
2019,,,PER_100_POP,36.5
2011,,,PER_100_POP,26.0
2019,,Araba / Álava,PER_100_POP,35.9
2010,,Araba / Álava,PER_100_POP,24.9
2015,,Araba / Álava,PER_100_POP,31.9
2011,,Araba / Álava,PER_100_POP,26.1
2017,,Araba / Álava,PER_100_POP,34.7
2021,,Araba / Álava,PER_100_POP,39.1
2014,,Araba / Álava,PER_100_POP,30.6
2018,,Araba / Álava,PER_100_POP,35.9
2016,,Araba / Álava,PER_100_POP,34.3
2012,,Araba / Álava,PER_100_POP,26.6
2020,,Araba / Álava,PER_100_POP,36.2
2022,,Araba / Álava,PER_100_POP,39.1
2013,,Araba / Álava,PER_100_POP,29.0
2015,,Bizkaia,PER_100_POP,31.6
2020,,Bizkaia,PER_100_POP,37.4
2018,,Bizkaia,PER_100_POP,35.0
2012,,Bizkaia,PER_100_POP,26.5
2011,,Bizkaia,PER_100_POP,25.7
2019,,Bizkaia,PER_100_POP,36.5
2017,,Bizkaia,PER_100_POP,32.8
2016,,Bizkaia,PER_100_POP,32.8
2014,,Bizkaia,PER_100_POP,30.1
2010,,Bizkaia,PER_100_POP,24.2
2021,,Bizkaia,PER_100_POP,38.5
2022,,Bizkaia,PER_100_POP,39.0
2013,,Bizkaia,PER_100_POP,28.7
2022,,Gipuzkoa,PER_100_POP,39.9
2014,,Gipuzkoa,PER_100_POP,31.4
2018,,Gipuzkoa,PER_100_POP,35.6
2012,,Gipuzkoa,PER_100_POP,27.6
2021,,Gipuzkoa,PER_100_POP,39.2
2019,,Gipuzkoa,PER_100_POP,36.7
2015,,Gipuzkoa,PER_100_POP,32.7
2017,,Gipuzkoa,PER_100_POP,35.2
2013,,Gipuzkoa,PER_100_POP,29.5
2020,,Gipuzkoa,PER_100_POP,37.5
2010,,Gipuzkoa,PER_100_POP,25.2
2016,,Gipuzkoa,PER_100_POP,33.9
2011,,Gipuzkoa,PER_100_POP,26.4
2018,NET_DSL,,PER_100_POP,5.8
2020,NET_DSL,,PER_100_POP,2.5
2014,NET_DSL,,PER_100_POP,16.6
2013,NET_DSL,,PER_100_POP,16.6
2017,NET_DSL,,PER_100_POP,8.3
2015,NET_DSL,,PER_100_POP,15.4
2012,NET_DSL,,PER_100_POP,15.3
2022,NET_DSL,,PER_100_POP,1.3
2021,NET_DSL,,PER_100_POP,1.9
2011,NET_DSL,,PER_100_POP,14.5
2016,NET_DSL,,PER_100_POP,11.3
2010,NET_DSL,,PER_100_POP,14.1
2019,NET_DSL,,PER_100_POP,3.8
2012,NET_DSL,Araba / Álava,PER_100_POP,17.5
2020,NET_DSL,Araba / Álava,PER_100_POP,2.3
2019,NET_DSL,Araba / Álava,PER_100_POP,4.6
2016,NET_DSL,Araba / Álava,PER_100_POP,13.2
2011,NET_DSL,Araba / Álava,PER_100_POP,17.2
2010,NET_DSL,Araba / Álava,PER_100_POP,17.4
2021,NET_DSL,Araba / Álava,PER_100_POP,1.5
2013,NET_DSL,Araba / Álava,PER_100_POP,18.9
2014,NET_DSL,Araba / Álava,PER_100_POP,18.8
2017,NET_DSL,Araba / Álava,PER_100_POP,9.6
2015,NET_DSL,Araba / Álava,PER_100_POP,17.2
2022,NET_DSL,Araba / Álava,PER_100_POP,1.0
2018,NET_DSL,Araba / Álava,PER_100_POP,7.5
2021,NET_DSL,Bizkaia,PER_100_POP,1.7
2022,NET_DSL,Bizkaia,PER_100_POP,1.2
2018,NET_DSL,Bizkaia,PER_100_POP,4.8
2014,NET_DSL,Bizkaia,PER_100_POP,15.4
2017,NET_DSL,Bizkaia,PER_100_POP,7.2
2015,NET_DSL,Bizkaia,PER_100_POP,14.3
2011,NET_DSL,Bizkaia,PER_100_POP,13.3
2010,NET_DSL,Bizkaia,PER_100_POP,12.7
2020,NET_DSL,Bizkaia,PER_100_POP,2.2
2016,NET_DSL,Bizkaia,PER_100_POP,10.1
2019,NET_DSL,Bizkaia,PER_100_POP,3.2
2013,NET_DSL,Bizkaia,PER_100_POP,15.6
2012,NET_DSL,Bizkaia,PER_100_POP,14.1
2020,NET_DSL,Gipuzkoa,PER_100_POP,3.2
2021,NET_DSL,Gipuzkoa,PER_100_POP,2.3
2010,NET_DSL,Gipuzkoa,PER_100_POP,14.9
2019,NET_DSL,Gipuzkoa,PER_100_POP,4.4
2018,NET_DSL,Gipuzkoa,PER_100_POP,6.5
2017,NET_DSL,Gipuzkoa,PER_100_POP,9.4
2016,NET_DSL,Gipuzkoa,PER_100_POP,12.2
2014,NET_DSL,Gipuzkoa,PER_100_POP,17.4
2013,NET_DSL,Gipuzkoa,PER_100_POP,17.3
2012,NET_DSL,Gipuzkoa,PER_100_POP,16.3
2011,NET_DSL,Gipuzkoa,PER_100_POP,15.3
2015,NET_DSL,Gipuzkoa,PER_100_POP,16.5
2022,NET_DSL,Gipuzkoa,PER_100_POP,1.6
2012,NET_FTTH,,PER_100_POP,0.2
2020,NET_FTTH,,PER_100_POP,22.5
2015,NET_FTTH,,PER_100_POP,4.1
2014,NET_FTTH,,PER_100_POP,1.9
2022,NET_FTTH,,PER_100_POP,30.2
2019,NET_FTTH,,PER_100_POP,19.9
2011,NET_FTTH,,PER_100_POP,0.2
2016,NET_FTTH,,PER_100_POP,9.4
2010,NET_FTTH,,PER_100_POP,0.1
2018,NET_FTTH,,PER_100_POP,16.8
2021,NET_FTTH,,PER_100_POP,26.5
2013,NET_FTTH,,PER_100_POP,0.5
2017,NET_FTTH,,PER_100_POP,12.7
2021,NET_FTTH,Araba / Álava,PER_100_POP,29.9
2018,NET_FTTH,Araba / Álava,PER_100_POP,19.4
2013,NET_FTTH,Araba / Álava,PER_100_POP,0.9
2010,NET_FTTH,Araba / Álava,PER_100_POP,0.3
2011,NET_FTTH,Araba / Álava,PER_100_POP,0.4
2012,NET_FTTH,Araba / Álava,PER_100_POP,0.5
2020,NET_FTTH,Araba / Álava,PER_100_POP,26.4
2019,NET_FTTH,Araba / Álava,PER_100_POP,22.4
2022,NET_FTTH,Araba / Álava,PER_100_POP,33.0
2017,NET_FTTH,Araba / Álava,PER_100_POP,16.1
2016,NET_FTTH,Araba / Álava,PER_100_POP,11.5
2015,NET_FTTH,Araba / Álava,PER_100_POP,5.3
2014,NET_FTTH,Araba / Álava,PER_100_POP,2.3
2015,NET_FTTH,Bizkaia,PER_100_POP,3.7
2012,NET_FTTH,Bizkaia,PER_100_POP,0.1
2011,NET_FTTH,Bizkaia,PER_100_POP,0.1
