Year,Lurraldea,Eskualdea,Udalerria,Units,GeoCode,Value
2010,Araba/Álava,,,Ehunekoa,Araba/Álava,0.66
2011,Araba/Álava,,,Ehunekoa,Araba/Álava,0.74
2012,Araba/Álava,,,Ehunekoa,Araba/Álava,1.12
2013,Araba/Álava,,,Ehunekoa,Araba/Álava,1.21
2014,Araba/Álava,,,Ehunekoa,Araba/Álava,1.15
2015,Araba/Álava,,,Ehunekoa,Araba/Álava,1.12
2016,Araba/Álava,,,Ehunekoa,Araba/Álava,1.22
2017,Araba/Álava,,,Ehunekoa,Araba/Álava,1.85
2018,Araba/Álava,,,Ehunekoa,Araba/Álava,1.92
2019,Araba/Álava,,,Ehunekoa,Araba/Álava,2.26
2020,Araba/Álava,,,Ehunekoa,Araba/Álava,3.16
2021,Araba/Álava,,,Ehunekoa,Araba/Álava,3.28
2010,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.18
2011,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.18
2012,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.18
2013,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.45
2014,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.23
2015,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.23
2016,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.23
2017,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.24
2018,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.48
2019,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.92
2020,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.91
2021,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.91
2010,,,Amurrio,Ehunekoa,Amurrio,0.86
2011,,,Amurrio,Ehunekoa,Amurrio,0.9
2012,,,Amurrio,Ehunekoa,Amurrio,0.99
2013,,,Amurrio,Ehunekoa,Amurrio,1.03
2014,,,Amurrio,Ehunekoa,Amurrio,0.94
2015,,,Amurrio,Ehunekoa,Amurrio,0.95
2016,,,Amurrio,Ehunekoa,Amurrio,1.1
2017,,,Amurrio,Ehunekoa,Amurrio,1.2
2018,,,Amurrio,Ehunekoa,Amurrio,1.21
2019,,,Amurrio,Ehunekoa,Amurrio,1.42
2020,,,Amurrio,Ehunekoa,Amurrio,1.49
2021,,,Amurrio,Ehunekoa,Amurrio,1.56
2010,,,Aramaio,Ehunekoa,Aramaio,0.66
2011,,,Aramaio,Ehunekoa,Aramaio,0.62
2012,,,Aramaio,Ehunekoa,Aramaio,0.75
2013,,,Aramaio,Ehunekoa,Aramaio,0.77
2014,,,Aramaio,Ehunekoa,Aramaio,0.8
2015,,,Aramaio,Ehunekoa,Aramaio,1.78
2016,,,Aramaio,Ehunekoa,Aramaio,1.84
2017,,,Aramaio,Ehunekoa,Aramaio,1.62
2018,,,Aramaio,Ehunekoa,Aramaio,1.75
2019,,,Aramaio,Ehunekoa,Aramaio,1.86
2020,,,Aramaio,Ehunekoa,Aramaio,2.05
