Year,Territorio,Comarca,Municipio,Units,GeoCode,Desaggregation,Value
2014,,,,PT,,All,1.3
2010,,,,PT,,All,0.8
2021,,,,PT,,All,3.5
2018,,,,PT,,All,2.0
2019,,,,PT,,All,2.5
2013,,,,PT,,All,1.2
2012,,,,PT,,All,1.1
2023,,,,PT,,All,4.8
2016,,,,PT,,All,1.5
2009,,,,PT,,All,0.7
2011,,,,PT,,All,0.9
2020,,,,PT,,All,3.0
2015,,,,PT,,All,1.3
2022,,,,PT,,All,4.1
2017,,,,PT,,All,1.9
2008,,,,PT,,All,0.6
2012,,,ES48001,PT,ES48001,All,0.5
2017,,,ES48001,PT,ES48001,All,0.3
2013,,,ES48001,PT,ES48001,All,0.5
2011,,,ES48001,PT,ES48001,All,0.5
2019,,,ES48001,PT,ES48001,All,3.8
2014,,,ES48001,PT,ES48001,All,0.5
2010,,,ES48001,PT,ES48001,All,0.3
2022,,,ES48001,PT,ES48001,All,5.5
2020,,,ES48001,PT,ES48001,All,5.3
2016,,,ES48001,PT,ES48001,All,0.3
2015,,,ES48001,PT,ES48001,All,0.5
2018,,,ES48001,PT,ES48001,All,0.3
2023,,,ES48001,PT,ES48001,All,5.6
2021,,,ES48001,PT,ES48001,All,5.6
2018,,,ES20001,PT,ES20001,All,1.0
2023,,,ES20001,PT,ES20001,All,2.2
2015,,,ES20001,PT,ES20001,All,0.0
2021,,,ES20001,PT,ES20001,All,2.2
2016,,,ES20001,PT,ES20001,All,0.0
2012,,,ES20001,PT,ES20001,All,1.1
2022,,,ES20001,PT,ES20001,All,2.2
2010,,,ES20001,PT,ES20001,All,1.1
2014,,,ES20001,PT,ES20001,All,0.0
2017,,,ES20001,PT,ES20001,All,0.0
2020,,,ES20001,PT,ES20001,All,0.8
2013,,,ES20001,PT,ES20001,All,1.1
2019,,,ES20001,PT,ES20001,All,0.8
2011,,,ES20001,PT,ES20001,All,1.1
2019,,,ES48002,PT,ES48002,All,0.1
2021,,,ES48002,PT,ES48002,All,0.3
2014,,,ES48002,PT,ES48002,All,0.0
2022,,,ES48002,PT,ES48002,All,0.3
2010,,,ES48002,PT,ES48002,All,0.0
2011,,,ES48002,PT,ES48002,All,0.0
2015,,,ES48002,PT,ES48002,All,0.0
2018,,,ES48002,PT,ES48002,All,1.9
2017,,,ES48002,PT,ES48002,All,0.0
2013,,,ES48002,PT,ES48002,All,0.0
2012,,,ES48002,PT,ES48002,All,0.0
2020,,,ES48002,PT,ES48002,All,0.3
2016,,,ES48002,PT,ES48002,All,0.0
2023,,,ES48002,PT,ES48002,All,0.3
2013,,,ES20002,PT,ES20002,All,0.0
2021,,,ES20002,PT,ES20002,All,0.0
2014,,,ES20002,PT,ES20002,All,0.0
2020,,,ES20002,PT,ES20002,All,0.0
2011,,,ES20002,PT,ES20002,All,0.0
2010,,,ES20002,PT,ES20002,All,0.0
2016,,,ES20002,PT,ES20002,All,0.0
2012,,,ES20002,PT,ES20002,All,0.0
2023,,,ES20002,PT,ES20002,All,0.0
2022,,,ES20002,PT,ES20002,All,0.0
2018,,,ES20002,PT,ES20002,All,0.0
2019,,,ES20002,PT,ES20002,All,0.0
2017,,,ES20002,PT,ES20002,All,0.0
2015,,,ES20002,PT,ES20002,All,0.0
2014,,,ES01051,PT,ES01051,All,0.3
2010,,,ES01051,PT,ES01051,All,0.4
2021,,,ES01051,PT,ES01051,All,0.1
2019,,,ES01051,PT,ES01051,All,0.4
2016,,,ES01051,PT,ES01051,All,0.4
2015,,,ES01051,PT,ES01051,All,0.3
2011,,,ES01051,PT,ES01051,All,0.3
2013,,,ES01051,PT,ES01051,All,0.3
2020,,,ES01051,PT,ES01051,All,0.4
2018,,,ES01051,PT,ES01051,All,0.4
2017,,,ES01051,PT,ES01051,All,0.4
2023,,,ES01051,PT,ES01051,All,0.1
2022,,,ES01051,PT,ES01051,All,0.0
2012,,,ES01051,PT,ES01051,All,0.3
2022,,,ES20016,PT,ES20016,All,2.1
2017,,,ES20016,PT,ES20016,All,0.6
2013,,,ES20016,PT,ES20016,All,0.5
2016,,,ES20016,PT,ES20016,All,0.5
2010,,,ES20016,PT,ES20016,All,0.4
2020,,,ES20016,PT,ES20016,All,1.2
2019,,,ES20016,PT,ES20016,All,1.6
2011,,,ES20016,PT,ES20016,All,0.7
2023,,,ES20016,PT,ES20016,All,2.1
2014,,,ES20016,PT,ES20016,All,0.5
2012,,,ES20016,PT,ES20016,All,0.7
2021,,,ES20016,PT,ES20016,All,1.9
2015,,,ES20016,PT,ES20016,All,0.5
2018,,,ES20016,PT,ES20016,All,0.6
2022,,,ES20003,PT,ES20003,All,0.9
2014,,,ES20003,PT,ES20003,All,1.6
2015,,,ES20003,PT,ES20003,All,1.6
2012,,,ES20003,PT,ES20003,All,2.3
2019,,,ES20003,PT,ES20003,All,1.6
2017,,,ES20003,PT,ES20003,All,1.5
2016,,,ES20003,PT,ES20003,All,1.7
2013,,,ES20003,PT,ES20003,All,2.3
2023,,,ES20003,PT,ES20003,All,0.9
2010,,,ES20003,PT,ES20003,All,2.4
2021,,,ES20003,PT,ES20003,All,0.9
2018,,,ES20003,PT,ES20003,All,1.6
2011,,,ES20003,PT,ES20003,All,2.3
2020,,,ES20003,PT,ES20003,All,1.6
2011,,,ES48911,PT,ES48911,All,4.0
2017,,,ES48911,PT,ES48911,All,3.8
2019,,,ES48911,PT,ES48911,All,3.8
2013,,,ES48911,PT,ES48911,All,4.5
2015,,,ES48911,PT,ES48911,All,4.0
2021,,,ES48911,PT,ES48911,All,4.0
