Year,Series,Elikagaiak,Lurralde historikoa,Units,Value
2020,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-0.2
2013,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,89.9
2012,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,87.3
2019,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-0.5
2011,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,85.0
2017,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-0.4
2020,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,98.2
2009,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,83.9
2002,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,64.9
2010,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-0.9
2012,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,0.0
2018,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,94.7
2004,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,0.3
2017,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,93.3
2024,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,0.2
2003,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,0.4
2013,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-0.2
2014,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,89.3
2008,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,84.1
2015,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-0.4
2016,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,92.1
2018,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-0.5
2021,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-0.3
2007,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,79.1
2024,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,129.1
2022,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,2.6
2014,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-0.9
2005,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,0.1
2005,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,73.2
2019,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,95.6
2009,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-1.0
2010,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,83.3
2006,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,76.2
2006,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,0.2
2022,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,111.4
2004,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,70.6
2007,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,0.5
2023,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,1.9
2011,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-0.3
2016,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,-0.5
2015,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,90.6
2003,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,67.7
2021,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,100.0
2023,Elikagaien prezioaren indizea,Elikagaiak (guztira),,IX,123.7
2008,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),,IX,0.6
2018,Elikagaien prezioen anomalien adierazlea,Elikagaiak (guztira),Araba / Álava,IX,-0.5
