Year,Lurralde historikoa,Sexua,Units,Value
2011,,,PER_1000_LIVE_BIRTHS,1.7
2010,,,PER_1000_LIVE_BIRTHS,1.75
2020,,,PER_1000_LIVE_BIRTHS,1.76
2016,,,PER_1000_LIVE_BIRTHS,1.43
2014,,,PER_1000_LIVE_BIRTHS,1.5
2015,,,PER_1000_LIVE_BIRTHS,1.7
2017,,,PER_1000_LIVE_BIRTHS,1.41
2012,,,PER_1000_LIVE_BIRTHS,1.7
2018,,,PER_1000_LIVE_BIRTHS,2.18
2022,,,PER_1000_LIVE_BIRTHS,2.2
2021,,,PER_1000_LIVE_BIRTHS,1.54
2013,,,PER_1000_LIVE_BIRTHS,1.46
2019,,,PER_1000_LIVE_BIRTHS,2.08
2023,,,PER_1000_LIVE_BIRTHS,1.78
2015,Araba / Álava,,PER_1000_LIVE_BIRTHS,0.95
2012,Araba / Álava,,PER_1000_LIVE_BIRTHS,2.43
2010,Araba / Álava,,PER_1000_LIVE_BIRTHS,1.49
2017,Araba / Álava,,PER_1000_LIVE_BIRTHS,1.01
2014,Araba / Álava,,PER_1000_LIVE_BIRTHS,1.83
2019,Araba / Álava,,PER_1000_LIVE_BIRTHS,1.56
2011,Araba / Álava,,PER_1000_LIVE_BIRTHS,2.04
2016,Araba / Álava,,PER_1000_LIVE_BIRTHS,1.63
2020,Araba / Álava,,PER_1000_LIVE_BIRTHS,1.25
2021,Araba / Álava,,PER_1000_LIVE_BIRTHS,2.96
2013,Araba / Álava,,PER_1000_LIVE_BIRTHS,1.29
2023,Araba / Álava,,PER_1000_LIVE_BIRTHS,3.61
2022,Araba / Álava,,PER_1000_LIVE_BIRTHS,3.09
2018,Araba / Álava,,PER_1000_LIVE_BIRTHS,1.49
2020,Bizkaia,,PER_1000_LIVE_BIRTHS,1.78
2018,Bizkaia,,PER_1000_LIVE_BIRTHS,2.64
2010,Bizkaia,,PER_1000_LIVE_BIRTHS,2.36
2019,Bizkaia,,PER_1000_LIVE_BIRTHS,2.59
2012,Bizkaia,,PER_1000_LIVE_BIRTHS,1.74
2015,Bizkaia,,PER_1000_LIVE_BIRTHS,2.14
2023,Bizkaia,,PER_1000_LIVE_BIRTHS,1.65
2013,Bizkaia,,PER_1000_LIVE_BIRTHS,1.03
2016,Bizkaia,,PER_1000_LIVE_BIRTHS,1.64
2022,Bizkaia,,PER_1000_LIVE_BIRTHS,2.19
2017,Bizkaia,,PER_1000_LIVE_BIRTHS,1.88
2011,Bizkaia,,PER_1000_LIVE_BIRTHS,2.06
2014,Bizkaia,,PER_1000_LIVE_BIRTHS,1.33
2021,Bizkaia,,PER_1000_LIVE_BIRTHS,1.15
2014,Gipuzkoa,,PER_1000_LIVE_BIRTHS,1.57
2016,Gipuzkoa,,PER_1000_LIVE_BIRTHS,1.0
2010,Gipuzkoa,,PER_1000_LIVE_BIRTHS,0.97
2017,Gipuzkoa,,PER_1000_LIVE_BIRTHS,0.89
2018,Gipuzkoa,,PER_1000_LIVE_BIRTHS,1.83
2019,Gipuzkoa,,PER_1000_LIVE_BIRTHS,1.56
2023,Gipuzkoa,,PER_1000_LIVE_BIRTHS,1.1
2011,Gipuzkoa,,PER_1000_LIVE_BIRTHS,0.99
2020,Gipuzkoa,,PER_1000_LIVE_BIRTHS,1.99
2021,Gipuzkoa,,PER_1000_LIVE_BIRTHS,1.42
2022,Gipuzkoa,,PER_1000_LIVE_BIRTHS,1.77
2015,Gipuzkoa,,PER_1000_LIVE_BIRTHS,1.41
2013,Gipuzkoa,,PER_1000_LIVE_BIRTHS,2.23
2012,Gipuzkoa,,PER_1000_LIVE_BIRTHS,1.3
2019,,Emakumea,PER_1000_LIVE_BIRTHS,2.0
2020,,Emakumea,PER_1000_LIVE_BIRTHS,2.11
2012,,Emakumea,PER_1000_LIVE_BIRTHS,1.84
2021,,Emakumea,PER_1000_LIVE_BIRTHS,1.31
2014,,Emakumea,PER_1000_LIVE_BIRTHS,1.26
2015,,Emakumea,PER_1000_LIVE_BIRTHS,1.75
2010,,Emakumea,PER_1000_LIVE_BIRTHS,1.74
2018,,Emakumea,PER_1000_LIVE_BIRTHS,2.3
2016,,Emakumea,PER_1000_LIVE_BIRTHS,1.23
2023,,Emakumea,PER_1000_LIVE_BIRTHS,1.68
2022,,Emakumea,PER_1000_LIVE_BIRTHS,1.66
2017,,Emakumea,PER_1000_LIVE_BIRTHS,1.33
2011,,Emakumea,PER_1000_LIVE_BIRTHS,2.59
2013,,Emakumea,PER_1000_LIVE_BIRTHS,0.97
2016,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,1.31
2015,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,0.66
2014,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,1.87
2013,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,0.0
2011,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,2.37
2022,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,0.92
2012,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,2.57
2023,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,2.86
2021,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,2.65
2017,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,1.37
2010,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,0.62
2020,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,0.86
2018,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,0.0
2019,Araba / Álava,Emakumea,PER_1000_LIVE_BIRTHS,2.39
2017,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,1.95
2019,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,2.41
2021,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,0.9
2023,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,1.53
2016,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,1.57
2015,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,2.93
2013,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,1.06
2012,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,2.0
2011,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,3.21
2010,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,2.31
2014,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,1.26
2018,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,3.07
2020,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,2.57
2022,Bizkaia,Emakumea,PER_1000_LIVE_BIRTHS,2.07
2010,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,1.41
2012,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,1.23
2013,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,1.3
2015,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,0.63
2023,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,1.33
2022,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,1.4
2021,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,1.26
2020,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,2.05
2019,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,1.19
2018,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,2.27
