Year,Series,Enfermedad no transmisible,Sexo,Territorio,Units,Value
2019,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Porcentaje,9.6
2015,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Porcentaje,10.3
2010,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Porcentaje,11.0
2015,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Porcentaje,6.6
2010,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Porcentaje,6.7
2019,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Porcentaje,6.5
2019,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Porcentaje,12.8
2015,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Porcentaje,14.0
2010,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Porcentaje,15.4
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,647.2
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,648.9
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,625.9
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,622.4
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,628.5
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,626.2
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,620.7
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,651.4
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,616.2
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,641.2
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,631.2
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,613.0
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,Por 100.000 habitantes,607.8
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,539.2
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,496.1
