Year,Series,Sexua,Units,Value
2013,Kolon eta ondesteko minbizia,,Porcentaje,69.7
2014,Kolon eta ondesteko minbizia,,Porcentaje,70.7
2017,Kolon eta ondesteko minbizia,,Porcentaje,72.3
2023,Kolon eta ondesteko minbizia,,Porcentaje,70.4
2019,Kolon eta ondesteko minbizia,,Porcentaje,71.5
2022,Kolon eta ondesteko minbizia,,Porcentaje,70.5
2012,Kolon eta ondesteko minbizia,,Porcentaje,67.7
2015,Kolon eta ondesteko minbizia,,Porcentaje,70.4
2018,Kolon eta ondesteko minbizia,,Porcentaje,72.3
2020,Kolon eta ondesteko minbizia,,Porcentaje,70.9
2021,Kolon eta ondesteko minbizia,,Porcentaje,72.0
2016,Kolon eta ondesteko minbizia,,Porcentaje,72.4
2015,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,72.6
2017,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,74.6
2021,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,74.0
2022,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,73.0
2014,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,73.0
2012,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,70.3
2016,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,74.6
2018,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,74.9
2019,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,73.7
2013,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,72.1
2020,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,73.4
2023,Kolon eta ondesteko minbizia,Emakumea,Porcentaje,72.8
2022,Kolon eta ondesteko minbizia,Gizona,Porcentaje,67.8
2018,Kolon eta ondesteko minbizia,Gizona,Porcentaje,69.9
2023,Kolon eta ondesteko minbizia,Gizona,Porcentaje,67.8
2020,Kolon eta ondesteko minbizia,Gizona,Porcentaje,68.1
2021,Kolon eta ondesteko minbizia,Gizona,Porcentaje,69.4
2012,Kolon eta ondesteko minbizia,Gizona,Porcentaje,64.9
2016,Kolon eta ondesteko minbizia,Gizona,Porcentaje,70.0
2015,Kolon eta ondesteko minbizia,Gizona,Porcentaje,67.9
2014,Kolon eta ondesteko minbizia,Gizona,Porcentaje,68.2
2013,Kolon eta ondesteko minbizia,Gizona,Porcentaje,67.1
2017,Kolon eta ondesteko minbizia,Gizona,Porcentaje,70.0
2019,Kolon eta ondesteko minbizia,Gizona,Porcentaje,68.4
2021,Bularreko minbizia,Emakumea,Porcentaje,76.5
2015,Bularreko minbizia,Emakumea,Porcentaje,80.8
2014,Bularreko minbizia,Emakumea,Porcentaje,79.8
2023,Bularreko minbizia,Emakumea,Porcentaje,78.4
2016,Bularreko minbizia,Emakumea,Porcentaje,79.4
2020,Bularreko minbizia,Emakumea,Porcentaje,75.8
2018,Bularreko minbizia,Emakumea,Porcentaje,77.2
2013,Bularreko minbizia,Emakumea,Porcentaje,80.3
2022,Bularreko minbizia,Emakumea,Porcentaje,73.2
2019,Bularreko minbizia,Emakumea,Porcentaje,76.7
2012,Bularreko minbizia,Emakumea,Porcentaje,81.8
2017,Bularreko minbizia,Emakumea,Porcentaje,77.1
