Year,Sexua,Units,Value
2016,,PT,0.0
2023,,PT,1.2
2022,,PT,0.7
2010,,PT,0.1
2020,,PT,0.1
2017,,PT,0.0
2015,,PT,0.0
2013,,PT,0.2
2014,,PT,0.4
2024,,PT,1.3
2021,,PT,0.7
2019,,PT,1.1
2012,,PT,0.7
2011,,PT,0.2
2018,,PT,1.1
2010,Emakumea,PT,0.1
2011,Emakumea,PT,0.2
2012,Emakumea,PT,0.4
2014,Emakumea,PT,0.4
2015,Emakumea,PT,0.0
2016,Emakumea,PT,0.0
2017,Emakumea,PT,0.0
2019,Emakumea,PT,1.3
2013,Emakumea,PT,0.2
2020,Emakumea,PT,0.2
2021,Emakumea,PT,0.7
2022,Emakumea,PT,0.9
2018,Emakumea,PT,0.9
2023,Emakumea,PT,1.3
2024,Emakumea,PT,1.7
2024,Gizona,PT,0.9
2017,Gizona,PT,0.0
2013,Gizona,PT,0.2
2010,Gizona,PT,0.1
2018,Gizona,PT,1.3
2019,Gizona,PT,0.9
2011,Gizona,PT,0.2
2014,Gizona,PT,0.4
2020,Gizona,PT,0.0
2021,Gizona,PT,0.6
2015,Gizona,PT,0.0
2012,Gizona,PT,1.1
2022,Gizona,PT,0.5
2023,Gizona,PT,1.0
2016,Gizona,PT,0.0
