Year,Eskumen mota,Sexua,Units,Value
2015,Irakurmena,,PT,82.6
2012,Irakurmena,,PT,85.6
2018,Irakurmena,,PT,77.0
2022,Irakurmena,,PT,74.2
2022,Irakurmena,Emakumea,PT,80.1
2015,Irakurmena,Emakumea,PT,86.6
2012,Irakurmena,Emakumea,PT,90.1
2018,Irakurmena,Emakumea,PT,83.6
2022,Irakurmena,Gizona,PT,68.3
2015,Irakurmena,Gizona,PT,78.4
2018,Irakurmena,Gizona,PT,70.2
2012,Irakurmena,Gizona,PT,81.1
2015,Matematika,,PT,80.5
2012,Matematika,,PT,84.5
2018,Matematika,,PT,81.9
2022,Matematika,,PT,77.3
2018,Matematika,Emakumea,PT,83.4
2022,Matematika,Emakumea,PT,78.0
2012,Matematika,Emakumea,PT,83.4
2015,Matematika,Emakumea,PT,79.9
2018,Matematika,Gizona,PT,80.3
2015,Matematika,Gizona,PT,81.1
2012,Matematika,Gizona,PT,85.6
2022,Matematika,Gizona,PT,76.7
