Year,Series,Hezkuntza-maila,Units,Value
2016,SE_TOT_CPLR,Bigarren hezkuntzako lehenengo etapa,PT,95.5
2022,SE_TOT_CPLR,Bigarren hezkuntzako lehenengo etapa,PT,94.9
2020,SE_TOT_CPLR,Bigarren hezkuntzako lehenengo etapa,PT,99.4
2015,SE_TOT_CPLR,Bigarren hezkuntzako lehenengo etapa,PT,94.7
2021,SE_TOT_CPLR,Bigarren hezkuntzako lehenengo etapa,PT,98.1
2019,SE_TOT_CPLR,Bigarren hezkuntzako lehenengo etapa,PT,97.0
2018,SE_TOT_CPLR,Bigarren hezkuntzako lehenengo etapa,PT,95.2
2017,SE_TOT_CPLR,Bigarren hezkuntzako lehenengo etapa,PT,96.0
2016,SE_TOT_CPLR,Bigarren hezkuntzako bigarren etapa,PT,79.1
2018,SE_TOT_CPLR,Bigarren hezkuntzako bigarren etapa,PT,80.9
2019,SE_TOT_CPLR,Bigarren hezkuntzako bigarren etapa,PT,82.7
2020,SE_TOT_CPLR,Bigarren hezkuntzako bigarren etapa,PT,81.5
2021,SE_TOT_CPLR,Bigarren hezkuntzako bigarren etapa,PT,82.9
2015,SE_TOT_CPLR,Bigarren hezkuntzako bigarren etapa,PT,79.4
2017,SE_TOT_CPLR,Bigarren hezkuntzako bigarren etapa,PT,77.9
2022,SE_TOT_CPLR,Bigarren hezkuntzako bigarren etapa,PT,84.7
