Year,Sexo,Units,Value
2013,,Porcentaje,42.7
2018,,Porcentaje,49.7
2016,,Porcentaje,49.3
2017,,Porcentaje,49.0
2014,,Porcentaje,47.5
2019,,Porcentaje,48.8
2011,,Porcentaje,43.1
2012,,Porcentaje,44.2
2015,,Porcentaje,50.3
2010,,Porcentaje,43.5
2012,2.0,Porcentaje,51.8
2011,2.0,Porcentaje,50.3
2014,2.0,Porcentaje,55.7
2013,2.0,Porcentaje,49.9
2010,2.0,Porcentaje,52.1
2015,2.0,Porcentaje,55.9
2016,2.0,Porcentaje,54.5
2017,2.0,Porcentaje,55.5
2018,2.0,Porcentaje,56.7
2019,2.0,Porcentaje,53.9
2017,1.0,Porcentaje,41.7
2013,1.0,Porcentaje,35.8
2011,1.0,Porcentaje,36.0
2010,1.0,Porcentaje,34.6
2018,1.0,Porcentaje,42.0
2019,1.0,Porcentaje,43.5
2014,1.0,Porcentaje,40.2
2015,1.0,Porcentaje,44.7
2012,1.0,Porcentaje,36.9
2016,1.0,Porcentaje,44.1
