Year,Erakundea,Lurralde historikoa,Units,Value
2023,Legebiltzar autonomikoko hautetsiak,,PT,49.3
2024,Legebiltzar autonomikoko hautetsiak,,PT,52.0
2019,Legebiltzar autonomikoko hautetsiak,,PT,53.3
2018,Legebiltzar autonomikoko hautetsiak,,PT,53.3
2016,Legebiltzar autonomikoko hautetsiak,,PT,53.3
2014,Legebiltzar autonomikoko hautetsiak,,PT,49.3
2015,Legebiltzar autonomikoko hautetsiak,,PT,49.3
2020,Legebiltzar autonomikoko hautetsiak,,PT,50.7
2017,Legebiltzar autonomikoko hautetsiak,,PT,53.3
2022,Legebiltzar autonomikoko hautetsiak,,PT,50.7
2012,Legebiltzar autonomikoko hautetsiak,,PT,49.3
2013,Legebiltzar autonomikoko hautetsiak,,PT,49.3
2011,Legebiltzar autonomikoko hautetsiak,,PT,45.3
2010,Legebiltzar autonomikoko hautetsiak,,PT,45.3
2021,Legebiltzar autonomikoko hautetsiak,,PT,50.7
2017,Sailburuak gobernu autonomikoan,,PT,41.7
2016,Sailburuak gobernu autonomikoan,,PT,50.0
2023,Sailburuak gobernu autonomikoan,,PT,45.5
2013,Sailburuak gobernu autonomikoan,,PT,50.0
2021,Sailburuak gobernu autonomikoan,,PT,45.5
2024,Sailburuak gobernu autonomikoan,,PT,46.7
2014,Sailburuak gobernu autonomikoan,,PT,50.0
2019,Sailburuak gobernu autonomikoan,,PT,63.6
2012,Sailburuak gobernu autonomikoan,,PT,50.0
2010,Sailburuak gobernu autonomikoan,,PT,45.5
2022,Sailburuak gobernu autonomikoan,,PT,45.5
2011,Sailburuak gobernu autonomikoan,,PT,50.0
2020,Sailburuak gobernu autonomikoan,,PT,45.5
2015,Sailburuak gobernu autonomikoan,,PT,50.0
2018,Sailburuak gobernu autonomikoan,,PT,41.7
2015,Foru-gobernuetako sailburuak,,PT,50.0
2016,Foru-gobernuetako sailburuak,,PT,50.0
2013,Foru-gobernuetako sailburuak,,PT,42.3
2020,Foru-gobernuetako sailburuak,,PT,55.2
2017,Foru-gobernuetako sailburuak,,PT,50.0
2018,Foru-gobernuetako sailburuak,,PT,50.0
2021,Foru-gobernuetako sailburuak,,PT,55.2
2011,Foru-gobernuetako sailburuak,,PT,42.3
2022,Foru-gobernuetako sailburuak,,PT,51.7
2019,Foru-gobernuetako sailburuak,,PT,55.2
2012,Foru-gobernuetako sailburuak,,PT,42.3
2014,Foru-gobernuetako sailburuak,,PT,42.3
2010,Foru-gobernuetako sailburuak,,PT,36.4
2018,Foru-gobernuetako sailburuak,Araba / Álava,PT,50.0
2022,Foru-gobernuetako sailburuak,Araba / Álava,PT,55.6
