Year,Okupazioa,Lurralde historikoa,Units,Value
2018,Zuzendaritza-kargua,,PT,35.8
2011,Zuzendaritza-kargua,,PT,31.7
2020,Zuzendaritza-kargua,,PT,31.8
2014,Zuzendaritza-kargua,,PT,28.7
2021,Zuzendaritza-kargua,,PT,32.3
2012,Zuzendaritza-kargua,,PT,29.0
2022,Zuzendaritza-kargua,,PT,32.3
2017,Zuzendaritza-kargua,,PT,35.6
2016,Zuzendaritza-kargua,,PT,34.7
2013,Zuzendaritza-kargua,,PT,31.3
2019,Zuzendaritza-kargua,,PT,34.3
2015,Zuzendaritza-kargua,,PT,36.7
2023,Zuzendaritza-kargua,,PT,34.0
2010,Zuzendaritza-kargua,,PT,28.8
2014,Zuzendaritza-kargua,Araba / Álava,PT,26.5
2013,Zuzendaritza-kargua,Araba / Álava,PT,29.3
2011,Zuzendaritza-kargua,Araba / Álava,PT,25.8
2016,Zuzendaritza-kargua,Araba / Álava,PT,27.6
2021,Zuzendaritza-kargua,Araba / Álava,PT,28.8
2010,Zuzendaritza-kargua,Araba / Álava,PT,28.4
2019,Zuzendaritza-kargua,Araba / Álava,PT,28.4
2018,Zuzendaritza-kargua,Araba / Álava,PT,39.4
2015,Zuzendaritza-kargua,Araba / Álava,PT,35.2
2023,Zuzendaritza-kargua,Araba / Álava,PT,36.5
2020,Zuzendaritza-kargua,Araba / Álava,PT,27.0
2012,Zuzendaritza-kargua,Araba / Álava,PT,24.8
2017,Zuzendaritza-kargua,Araba / Álava,PT,36.2
2022,Zuzendaritza-kargua,Araba / Álava,PT,31.3
2022,Zuzendaritza-kargua,Bizkaia,PT,34.5
2023,Zuzendaritza-kargua,Bizkaia,PT,35.8
2016,Zuzendaritza-kargua,Bizkaia,PT,34.7
2021,Zuzendaritza-kargua,Bizkaia,PT,30.2
2015,Zuzendaritza-kargua,Bizkaia,PT,37.1
2012,Zuzendaritza-kargua,Bizkaia,PT,29.4
2017,Zuzendaritza-kargua,Bizkaia,PT,35.5
2014,Zuzendaritza-kargua,Bizkaia,PT,26.8
2019,Zuzendaritza-kargua,Bizkaia,PT,35.3
2018,Zuzendaritza-kargua,Bizkaia,PT,35.5
2011,Zuzendaritza-kargua,Bizkaia,PT,33.2
2013,Zuzendaritza-kargua,Bizkaia,PT,30.6
2010,Zuzendaritza-kargua,Bizkaia,PT,30.4
2020,Zuzendaritza-kargua,Bizkaia,PT,31.5
2013,Zuzendaritza-kargua,Gipuzkoa,PT,33.3
2016,Zuzendaritza-kargua,Gipuzkoa,PT,38.6
2023,Zuzendaritza-kargua,Gipuzkoa,PT,30.4
2015,Zuzendaritza-kargua,Gipuzkoa,PT,36.6
2017,Zuzendaritza-kargua,Gipuzkoa,PT,35.4
2019,Zuzendaritza-kargua,Gipuzkoa,PT,34.7
2010,Zuzendaritza-kargua,Gipuzkoa,PT,26.4
2021,Zuzendaritza-kargua,Gipuzkoa,PT,37.0
2012,Zuzendaritza-kargua,Gipuzkoa,PT,30.4
2020,Zuzendaritza-kargua,Gipuzkoa,PT,34.3
2022,Zuzendaritza-kargua,Gipuzkoa,PT,29.8
2014,Zuzendaritza-kargua,Gipuzkoa,PT,32.5
2018,Zuzendaritza-kargua,Gipuzkoa,PT,35.0
2011,Zuzendaritza-kargua,Gipuzkoa,PT,31.0
2013,Goi-zuzendaritza,,PT,30.6
2010,Goi-zuzendaritza,,PT,32.5
2014,Goi-zuzendaritza,,PT,27.2
2023,Goi-zuzendaritza,,PT,29.6
2017,Goi-zuzendaritza,,PT,32.3
2022,Goi-zuzendaritza,,PT,27.7
2020,Goi-zuzendaritza,,PT,29.8
2012,Goi-zuzendaritza,,PT,25.7
2018,Goi-zuzendaritza,,PT,31.9
2011,Goi-zuzendaritza,,PT,28.1
2016,Goi-zuzendaritza,,PT,30.2
2019,Goi-zuzendaritza,,PT,31.4
2015,Goi-zuzendaritza,,PT,29.5
2021,Goi-zuzendaritza,,PT,28.6
2014,Goi-zuzendaritza,Araba / Álava,PT,19.9
2022,Goi-zuzendaritza,Araba / Álava,PT,24.6
2013,Goi-zuzendaritza,Araba / Álava,PT,20.1
2020,Goi-zuzendaritza,Araba / Álava,PT,25.1
2017,Goi-zuzendaritza,Araba / Álava,PT,38.7
2019,Goi-zuzendaritza,Araba / Álava,PT,23.3
2015,Goi-zuzendaritza,Araba / Álava,PT,25.5
2018,Goi-zuzendaritza,Araba / Álava,PT,42.3
2012,Goi-zuzendaritza,Araba / Álava,PT,11.7
2010,Goi-zuzendaritza,Araba / Álava,PT,34.6
2011,Goi-zuzendaritza,Araba / Álava,PT,29.6
2016,Goi-zuzendaritza,Araba / Álava,PT,26.0
2021,Goi-zuzendaritza,Araba / Álava,PT,24.3
2023,Goi-zuzendaritza,Araba / Álava,PT,30.2
2023,Goi-zuzendaritza,Bizkaia,PT,31.8
2022,Goi-zuzendaritza,Bizkaia,PT,31.1
2015,Goi-zuzendaritza,Bizkaia,PT,32.3
2021,Goi-zuzendaritza,Bizkaia,PT,29.5
2019,Goi-zuzendaritza,Bizkaia,PT,34.5
2018,Goi-zuzendaritza,Bizkaia,PT,27.8
2017,Goi-zuzendaritza,Bizkaia,PT,29.3
2014,Goi-zuzendaritza,Bizkaia,PT,25.2
2013,Goi-zuzendaritza,Bizkaia,PT,30.9
2016,Goi-zuzendaritza,Bizkaia,PT,29.9
2012,Goi-zuzendaritza,Bizkaia,PT,27.8
2011,Goi-zuzendaritza,Bizkaia,PT,29.3
2010,Goi-zuzendaritza,Bizkaia,PT,34.9
