Year,Sexua,Lurralde historikoa,Units,Value
2009,,,Porcentaje,87.6
2018,,,Porcentaje,95.8
2023,,,Porcentaje,99.0
2013,,,Porcentaje,93.3
2019,,,Porcentaje,97.0
2020,,,Porcentaje,96.9
2012,,,Porcentaje,92.4
2016,,,Porcentaje,95.8
2011,,,Porcentaje,91.7
2017,,,Porcentaje,96.1
2021,,,Porcentaje,97.2
2022,,,Porcentaje,97.6
2024,,,Porcentaje,99.2
2014,,,Porcentaje,93.6
2010,,,Porcentaje,89.5
2008,,,Porcentaje,87.8
2015,,,Porcentaje,96.0
2024,,Araba / Álava,Porcentaje,99.5
2018,,Araba / Álava,Porcentaje,96.8
2023,,Araba / Álava,Porcentaje,98.1
2020,,Araba / Álava,Porcentaje,97.5
2019,,Araba / Álava,Porcentaje,97.2
2016,,Araba / Álava,Porcentaje,96.5
2021,,Araba / Álava,Porcentaje,97.7
2009,,Araba / Álava,Porcentaje,83.9
2013,,Araba / Álava,Porcentaje,93.0
2012,,Araba / Álava,Porcentaje,91.0
2011,,Araba / Álava,Porcentaje,90.7
2008,,Araba / Álava,Porcentaje,86.8
2017,,Araba / Álava,Porcentaje,97.2
2015,,Araba / Álava,Porcentaje,96.7
2010,,Araba / Álava,Porcentaje,88.4
2014,,Araba / Álava,Porcentaje,94.1
2022,,Araba / Álava,Porcentaje,97.5
2009,,Bizkaia,Porcentaje,88.1
2013,,Bizkaia,Porcentaje,93.3
2019,,Bizkaia,Porcentaje,97.3
2011,,Bizkaia,Porcentaje,92.8
2014,,Bizkaia,Porcentaje,93.8
2012,,Bizkaia,Porcentaje,93.1
2021,,Bizkaia,Porcentaje,96.7
2017,,Bizkaia,Porcentaje,96.3
2018,,Bizkaia,Porcentaje,95.8
2022,,Bizkaia,Porcentaje,97.5
2020,,Bizkaia,Porcentaje,96.9
2010,,Bizkaia,Porcentaje,89.8
2015,,Bizkaia,Porcentaje,95.8
2024,,Bizkaia,Porcentaje,99.5
2016,,Bizkaia,Porcentaje,96.5
2008,,Bizkaia,Porcentaje,88.5
2023,,Bizkaia,Porcentaje,99.3
2024,,Gipuzkoa,Porcentaje,98.7
2015,,Gipuzkoa,Porcentaje,96.1
2016,,Gipuzkoa,Porcentaje,94.3
2020,,Gipuzkoa,Porcentaje,96.5
2008,,Gipuzkoa,Porcentaje,86.9
2018,,Gipuzkoa,Porcentaje,95.3
2017,,Gipuzkoa,Porcentaje,95.1
2023,,Gipuzkoa,Porcentaje,99.0
2010,,Gipuzkoa,Porcentaje,89.4
2014,,Gipuzkoa,Porcentaje,93.3
2012,,Gipuzkoa,Porcentaje,91.9
2009,,Gipuzkoa,Porcentaje,88.4
2019,,Gipuzkoa,Porcentaje,96.5
2022,,Gipuzkoa,Porcentaje,97.9
2013,,Gipuzkoa,Porcentaje,93.4
2011,,Gipuzkoa,Porcentaje,90.6
2021,,Gipuzkoa,Porcentaje,97.8
2021,Emakumea,,Porcentaje,97.4
2010,Emakumea,,Porcentaje,89.0
2015,Emakumea,,Porcentaje,96.4
2020,Emakumea,,Porcentaje,97.1
2024,Emakumea,,Porcentaje,99.4
2014,Emakumea,,Porcentaje,94.2
2022,Emakumea,,Porcentaje,98.3
2016,Emakumea,,Porcentaje,95.4
2018,Emakumea,,Porcentaje,96.1
2012,Emakumea,,Porcentaje,93.0
2023,Emakumea,,Porcentaje,99.1
2011,Emakumea,,Porcentaje,92.4
2013,Emakumea,,Porcentaje,94.1
2017,Emakumea,,Porcentaje,95.9
2019,Emakumea,,Porcentaje,97.9
2009,Emakumea,,Porcentaje,87.9
2008,Emakumea,,Porcentaje,88.1
2019,Emakumea,Araba / Álava,Porcentaje,97.5
2017,Emakumea,Araba / Álava,Porcentaje,95.4
2016,Emakumea,Araba / Álava,Porcentaje,94.7
2009,Emakumea,Araba / Álava,Porcentaje,83.1
2013,Emakumea,Araba / Álava,Porcentaje,94.5
2014,Emakumea,Araba / Álava,Porcentaje,93.8
2011,Emakumea,Araba / Álava,Porcentaje,90.2
2021,Emakumea,Araba / Álava,Porcentaje,98.4
2008,Emakumea,Araba / Álava,Porcentaje,86.2
2012,Emakumea,Araba / Álava,Porcentaje,91.4
2010,Emakumea,Araba / Álava,Porcentaje,87.7
2015,Emakumea,Araba / Álava,Porcentaje,97.5
2018,Emakumea,Araba / Álava,Porcentaje,96.7
2024,Emakumea,Araba / Álava,Porcentaje,99.5
2023,Emakumea,Araba / Álava,Porcentaje,98.6
2022,Emakumea,Araba / Álava,Porcentaje,97.6
2020,Emakumea,Araba / Álava,Porcentaje,98.3
2018,Emakumea,Bizkaia,Porcentaje,95.9
2023,Emakumea,Bizkaia,Porcentaje,99.4
2022,Emakumea,Bizkaia,Porcentaje,98.5
2020,Emakumea,Bizkaia,Porcentaje,96.9
2019,Emakumea,Bizkaia,Porcentaje,97.9
2015,Emakumea,Bizkaia,Porcentaje,96.0
2017,Emakumea,Bizkaia,Porcentaje,96.1
2011,Emakumea,Bizkaia,Porcentaje,93.7
2009,Emakumea,Bizkaia,Porcentaje,88.3
2013,Emakumea,Bizkaia,Porcentaje,93.4
2010,Emakumea,Bizkaia,Porcentaje,89.0
2008,Emakumea,Bizkaia,Porcentaje,88.6
2012,Emakumea,Bizkaia,Porcentaje,93.8
2016,Emakumea,Bizkaia,Porcentaje,96.5
2024,Emakumea,Bizkaia,Porcentaje,99.2
2014,Emakumea,Bizkaia,Porcentaje,94.0
2021,Emakumea,Bizkaia,Porcentaje,97.0
2023,Emakumea,Gipuzkoa,Porcentaje,98.9
2018,Emakumea,Gipuzkoa,Porcentaje,96.1
2024,Emakumea,Gipuzkoa,Porcentaje,99.5
2021,Emakumea,Gipuzkoa,Porcentaje,97.6
2019,Emakumea,Gipuzkoa,Porcentaje,98.1
2016,Emakumea,Gipuzkoa,Porcentaje,93.9
2015,Emakumea,Gipuzkoa,Porcentaje,96.4
2014,Emakumea,Gipuzkoa,Porcentaje,94.8
2013,Emakumea,Gipuzkoa,Porcentaje,95.0
2012,Emakumea,Gipuzkoa,Porcentaje,92.6
2011,Emakumea,Gipuzkoa,Porcentaje,91.4
2010,Emakumea,Gipuzkoa,Porcentaje,89.7
2009,Emakumea,Gipuzkoa,Porcentaje,89.2
2008,Emakumea,Gipuzkoa,Porcentaje,88.1
2017,Emakumea,Gipuzkoa,Porcentaje,95.9
2022,Emakumea,Gipuzkoa,Porcentaje,98.2
2020,Emakumea,Gipuzkoa,Porcentaje,96.7
2013,Gizona,,Porcentaje,92.5
2017,Gizona,,Porcentaje,96.2
2012,Gizona,,Porcentaje,91.7
2021,Gizona,,Porcentaje,97.0
2008,Gizona,,Porcentaje,87.4
2014,Gizona,,Porcentaje,93.1
2010,Gizona,,Porcentaje,89.9
2024,Gizona,,Porcentaje,99.1
2015,Gizona,,Porcentaje,95.7
2022,Gizona,,Porcentaje,96.9
2018,Gizona,,Porcentaje,95.5
2019,Gizona,,Porcentaje,96.1
2011,Gizona,,Porcentaje,91.0
2023,Gizona,,Porcentaje,98.9
2009,Gizona,,Porcentaje,87.3
2020,Gizona,,Porcentaje,96.7
2016,Gizona,,Porcentaje,96.2
2015,Gizona,Araba / Álava,Porcentaje,95.8
2021,Gizona,Araba / Álava,Porcentaje,97.0
2022,Gizona,Araba / Álava,Porcentaje,97.3
2014,Gizona,Araba / Álava,Porcentaje,94.3
2023,Gizona,Araba / Álava,Porcentaje,97.6
2020,Gizona,Araba / Álava,Porcentaje,96.7
2009,Gizona,Araba / Álava,Porcentaje,84.7
2012,Gizona,Araba / Álava,Porcentaje,90.7
2013,Gizona,Araba / Álava,Porcentaje,91.6
2016,Gizona,Araba / Álava,Porcentaje,98.4
2017,Gizona,Araba / Álava,Porcentaje,99.0
2018,Gizona,Araba / Álava,Porcentaje,96.8
2024,Gizona,Araba / Álava,Porcentaje,99.5
2010,Gizona,Araba / Álava,Porcentaje,89.0
2011,Gizona,Araba / Álava,Porcentaje,91.1
2008,Gizona,Araba / Álava,Porcentaje,87.5
2019,Gizona,Araba / Álava,Porcentaje,96.9
2024,Gizona,Bizkaia,Porcentaje,99.9
2023,Gizona,Bizkaia,Porcentaje,99.2
2022,Gizona,Bizkaia,Porcentaje,96.4
2021,Gizona,Bizkaia,Porcentaje,96.3
2020,Gizona,Bizkaia,Porcentaje,96.9
2019,Gizona,Bizkaia,Porcentaje,96.7
2018,Gizona,Bizkaia,Porcentaje,95.7
2017,Gizona,Bizkaia,Porcentaje,96.6
2016,Gizona,Bizkaia,Porcentaje,96.5
2015,Gizona,Bizkaia,Porcentaje,95.6
2014,Gizona,Bizkaia,Porcentaje,93.5
2013,Gizona,Bizkaia,Porcentaje,93.1
2012,Gizona,Bizkaia,Porcentaje,92.3
2011,Gizona,Bizkaia,Porcentaje,91.8
2010,Gizona,Bizkaia,Porcentaje,90.7
2009,Gizona,Bizkaia,Porcentaje,87.9
2008,Gizona,Bizkaia,Porcentaje,88.4
2010,Gizona,Gipuzkoa,Porcentaje,89.1
2009,Gizona,Gipuzkoa,Porcentaje,87.5
2008,Gizona,Gipuzkoa,Porcentaje,85.7
2024,Gizona,Gipuzkoa,Porcentaje,97.8
2023,Gizona,Gipuzkoa,Porcentaje,99.0
2022,Gizona,Gipuzkoa,Porcentaje,97.6
