Year,Series,Tipo de tecnología renovable,Territorio,Comarca,Municipio,Units,GeoCode,Value
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,2003.3
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1710.0
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1682.2
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1668.2
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1655.6
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1687.6
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1898.1
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1996.4
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1706.5
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1752.5
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1732.0
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1655.3
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,,Watts per cápita,,1703.3
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Abadiño,Watts per cápita,Abadiño,315.2
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Abadiño,Watts per cápita,Abadiño,353.2
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Abadiño,Watts per cápita,Abadiño,314.9
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Abadiño,Watts per cápita,Abadiño,303.9
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Abadiño,Watts per cápita,Abadiño,315.4
