Year,Lurralde historikoa,Units,Value
2019,,PER_100000,68.0
2022,,PER_100000,52.2
2021,,PER_100000,56.5
2018,,PER_100000,71.4
2023,,PER_100000,51.4
2017,,PER_100000,73.8
2015,,PER_100000,82.2
2012,,PER_100000,98.2
2016,,PER_100000,78.5
2011,,PER_100000,101.0
2014,,PER_100000,83.7
2013,,PER_100000,89.4
2010,,PER_100000,103.5
2020,,PER_100000,62.1
2012,Araba / Álava,PER_100000,113.8
2013,Araba / Álava,PER_100000,102.4
2014,Araba / Álava,PER_100000,93.9
2010,Araba / Álava,PER_100000,122.5
2018,Araba / Álava,PER_100000,72.6
2017,Araba / Álava,PER_100000,76.0
2011,Araba / Álava,PER_100000,118.0
2020,Araba / Álava,PER_100000,63.2
2021,Araba / Álava,PER_100000,58.8
2015,Araba / Álava,PER_100000,91.6
2019,Araba / Álava,PER_100000,68.9
2022,Araba / Álava,PER_100000,54.4
2016,Araba / Álava,PER_100000,83.7
2023,Araba / Álava,PER_100000,53.7
2013,Bizkaia,PER_100000,85.6
2015,Bizkaia,PER_100000,78.3
2016,Bizkaia,PER_100000,75.4
2017,Bizkaia,PER_100000,71.0
2019,Bizkaia,PER_100000,66.0
2020,Bizkaia,PER_100000,59.5
2021,Bizkaia,PER_100000,54.1
2023,Bizkaia,PER_100000,49.6
2010,Bizkaia,PER_100000,101.2
2011,Bizkaia,PER_100000,98.8
2012,Bizkaia,PER_100000,95.8
2022,Bizkaia,PER_100000,50.4
2018,Bizkaia,PER_100000,69.0
2014,Bizkaia,PER_100000,79.4
2022,Gipuzkoa,PER_100000,54.3
2023,Gipuzkoa,PER_100000,53.3
2010,Gipuzkoa,PER_100000,98.7
2011,Gipuzkoa,PER_100000,97.0
2012,Gipuzkoa,PER_100000,94.8
2013,Gipuzkoa,PER_100000,89.7
2014,Gipuzkoa,PER_100000,86.1
2015,Gipuzkoa,PER_100000,84.4
2016,Gipuzkoa,PER_100000,81.3
2017,Gipuzkoa,PER_100000,77.5
2018,Gipuzkoa,PER_100000,74.7
2019,Gipuzkoa,PER_100000,70.8
2020,Gipuzkoa,PER_100000,65.8
2021,Gipuzkoa,PER_100000,59.4
