Year,Tipo de valor,Territorio,Comarca,Municipio,Units,GeoCode,Serie,Value
2011,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,19.4
2017,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,19.0
2012,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,5683.9
2014,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.6
2016,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,6187.1
2022,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,6401.7
2016,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,19.0
2019,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,6465.7
2013,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,5553.0
2022,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.1
2018,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,6423.3
2015,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.8
2012,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.6
2019,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.5
2015,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,5935.6
2011,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,6033.7
2020,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,17.8
2010,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,5896.8
2013,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.5
2018,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.7
2021,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,6141.9
2014,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,5702.8
2010,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.9
2020,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,5618.5
