Year,Series,Jarduera ekonomikoa,Units,Value
2012,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,33.3
2019,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,33.5
2018,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,32.8
2013,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,32.7
2021,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,32.4
2010,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,31.9
2016,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,32.6
2014,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,32.3
2017,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,32.8
2011,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,33.1
2020,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,35.2
2015,Balio erantsiaren proportzioa teknologia-industria ertain eta altuak guztizko balio erantsian,Manufaktura,Porcentaje,32.2
