Year,Series,Territorio,Units,Value
2021,IT_MOB_5GNTWK,,Porcentaje,66.8
2022,IT_MOB_5GNTWK,,Porcentaje,84.6
2023,IT_MOB_5GNTWK,,Porcentaje,95.8
2023,IT_MOB_5GNTWK,Araba/Álava,Porcentaje,92.67
2023,IT_MOB_5GNTWK,Bizkaia,Porcentaje,97.58
2023,IT_MOB_5GNTWK,Gipuzkoa,Porcentaje,94.44
2020,"3,5G",,Porcentaje,99.99
2013,"3,5G",,Porcentaje,99.5
2017,"3,5G",,Porcentaje,99.96
2018,"3,5G",,Porcentaje,99.97
2019,"3,5G",,Porcentaje,99.97
2012,"3,5G",,Porcentaje,96.6
2016,"3,5G",,Porcentaje,99.85
2014,"3,5G",,Porcentaje,99.4
2015,"3,5G",,Porcentaje,99.89
2014,"3,5G",Araba/Álava,Porcentaje,98.7
2016,"3,5G",Araba/Álava,Porcentaje,99.83
2015,"3,5G",Araba/Álava,Porcentaje,99.81
2018,"3,5G",Araba/Álava,Porcentaje,99.93
2019,"3,5G",Araba/Álava,Porcentaje,99.93
2017,"3,5G",Araba/Álava,Porcentaje,99.94
2020,"3,5G",Araba/Álava,Porcentaje,100.0
2017,"3,5G",Bizkaia,Porcentaje,100.0
2014,"3,5G",Bizkaia,Porcentaje,99.8
2016,"3,5G",Bizkaia,Porcentaje,99.94
2018,"3,5G",Bizkaia,Porcentaje,100.0
2020,"3,5G",Bizkaia,Porcentaje,99.99
2015,"3,5G",Bizkaia,Porcentaje,99.98
2019,"3,5G",Bizkaia,Porcentaje,100.0
2017,"3,5G",Gipuzkoa,Porcentaje,99.92
2016,"3,5G",Gipuzkoa,Porcentaje,99.78
2018,"3,5G",Gipuzkoa,Porcentaje,99.95
2015,"3,5G",Gipuzkoa,Porcentaje,99.79
2020,"3,5G",Gipuzkoa,Porcentaje,99.99
2019,"3,5G",Gipuzkoa,Porcentaje,99.95
2014,"3,5G",Gipuzkoa,Porcentaje,99.0
2020,4G,,Porcentaje,99.98
2022,4G,,Porcentaje,99.97
2019,4G,,Porcentaje,99.95
2017,4G,,Porcentaje,99.01
2014,4G,,Porcentaje,55.1
2015,4G,,Porcentaje,79.64
2016,4G,,Porcentaje,93.46
2021,4G,,Porcentaje,99.99
2018,4G,,Porcentaje,99.89
2022,4G,Araba/Álava,Porcentaje,99.97
2016,4G,Araba/Álava,Porcentaje,90.02
2014,4G,Araba/Álava,Porcentaje,76.0
2020,4G,Araba/Álava,Porcentaje,99.99
2019,4G,Araba/Álava,Porcentaje,99.7
2018,4G,Araba/Álava,Porcentaje,99.7
2015,4G,Araba/Álava,Porcentaje,79.54
2017,4G,Araba/Álava,Porcentaje,97.92
2021,4G,Araba/Álava,Porcentaje,99.98
2015,4G,Bizkaia,Porcentaje,85.25
2014,4G,Bizkaia,Porcentaje,68.5
2020,4G,Bizkaia,Porcentaje,99.99
2022,4G,Bizkaia,Porcentaje,99.98
2021,4G,Bizkaia,Porcentaje,100.0
2019,4G,Bizkaia,Porcentaje,99.97
2018,4G,Bizkaia,Porcentaje,99.97
2017,4G,Bizkaia,Porcentaje,99.52
2016,4G,Bizkaia,Porcentaje,95.37
2022,4G,Gipuzkoa,Porcentaje,99.96
2021,4G,Gipuzkoa,Porcentaje,99.98
2020,4G,Gipuzkoa,Porcentaje,99.95
2019,4G,Gipuzkoa,Porcentaje,99.94
2018,4G,Gipuzkoa,Porcentaje,99.94
2014,4G,Gipuzkoa,Porcentaje,23.7
2017,4G,Gipuzkoa,Porcentaje,98.71
2016,4G,Gipuzkoa,Porcentaje,92.01
2015,4G,Gipuzkoa,Porcentaje,70.63
