Year,Value,Units,GeoCode
2010,0.18,100.000 biztanle bakoitzeko,
2011,0.14,100.000 biztanle bakoitzeko,
2012,0.0,100.000 biztanle bakoitzeko,
2013,0.14,100.000 biztanle bakoitzeko,
2014,0.05,100.000 biztanle bakoitzeko,
2015,0.09,100.000 biztanle bakoitzeko,
2016,0.14,100.000 biztanle bakoitzeko,
2017,0.23,100.000 biztanle bakoitzeko,
2018,0.18,100.000 biztanle bakoitzeko,
2019,0.09,100.000 biztanle bakoitzeko,
2020,0.05,100.000 biztanle bakoitzeko,
2021,0.0,100.000 biztanle bakoitzeko,
2022,0.27,100.000 biztanle bakoitzeko,
