Year,Value,Units
2019,6.49,Por 100.000 nacidos vivos
2022,7.33,Por 100.000 nacidos vivos
2021,0.0,Por 100.000 nacidos vivos
2018,6.22,Por 100.000 nacidos vivos
2023,7.43,Por 100.000 nacidos vivos
2017,0.0,Por 100.000 nacidos vivos
2015,0.0,Por 100.000 nacidos vivos
2012,0.0,Por 100.000 nacidos vivos
2016,10.96,Por 100.000 nacidos vivos
2011,0.0,Por 100.000 nacidos vivos
2014,0.0,Por 100.000 nacidos vivos
2013,0.0,Por 100.000 nacidos vivos
2010,4.73,Por 100.000 nacidos vivos
2020,6.78,Por 100.000 nacidos vivos
