Year,Value,Units,Series,GeoCode
2019,9.6,%,Hilkortasun goiztiarraren tasa (30-70 urte),
2015,10.3,%,Hilkortasun goiztiarraren tasa (30-70 urte),
2010,11.0,%,Hilkortasun goiztiarraren tasa (30-70 urte),
2015,651.4,100.000 biztanleko,Heriotza-tasa,
2017,647.2,100.000 biztanleko,Heriotza-tasa,
2014,620.7,100.000 biztanleko,Heriotza-tasa,
2016,641.2,100.000 biztanleko,Heriotza-tasa,
2010,616.2,100.000 biztanleko,Heriotza-tasa,
2022,626.3,100.000 biztanleko,Heriotza-tasa,
2018,648.9,100.000 biztanleko,Heriotza-tasa,
2020,607.8,100.000 biztanleko,Heriotza-tasa,
2013,613.0,100.000 biztanleko,Heriotza-tasa,
2023,613.1,100.000 biztanleko,Heriotza-tasa,
2012,628.5,100.000 biztanleko,Heriotza-tasa,
2011,626.3,100.000 biztanleko,Heriotza-tasa,
2021,622.4,100.000 biztanleko,Heriotza-tasa,
2019,631.2,100.000 biztanleko,Heriotza-tasa,
