Year,Value,Units,Series
2012,82.67,YR,Bizi-itxaropena jaiotzean
2010,82.36,YR,Bizi-itxaropena jaiotzean
2013,83.09,YR,Bizi-itxaropena jaiotzean
2020,83.09,YR,Bizi-itxaropena jaiotzean
2016,83.35,YR,Bizi-itxaropena jaiotzean
2015,82.97,YR,Bizi-itxaropena jaiotzean
2011,82.39,YR,Bizi-itxaropena jaiotzean
2014,83.26,YR,Bizi-itxaropena jaiotzean
2017,83.48,YR,Bizi-itxaropena jaiotzean
2022,83.36,YR,Bizi-itxaropena jaiotzean
2021,83.69,YR,Bizi-itxaropena jaiotzean
2018,83.59,YR,Bizi-itxaropena jaiotzean
2019,83.9,YR,Bizi-itxaropena jaiotzean
