Year,Value,Units,Series
2019,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2023,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2021,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2022,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2020,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2018,91.7,%,Kalitate oneko lurpeko ur-masen proportzioa
2019,50.0,%,Kalitate oneko azaleko ur-masen proportzioa
2017,53.0,%,Kalitate oneko azaleko ur-masen proportzioa
2023,48.5,%,Kalitate oneko azaleko ur-masen proportzioa
2018,61.8,%,Kalitate oneko azaleko ur-masen proportzioa
2022,50.3,%,Kalitate oneko azaleko ur-masen proportzioa
2016,50.0,%,Kalitate oneko azaleko ur-masen proportzioa
2020,53.0,%,Kalitate oneko azaleko ur-masen proportzioa
2015,48.1,%,Kalitate oneko azaleko ur-masen proportzioa
2021,56.6,%,Kalitate oneko azaleko ur-masen proportzioa
2015,45.5,%,Ibaiak
2017,50.4,%,Ibaiak
2018,60.3,%,Ibaiak
2022,45.3,%,Ibaiak
2016,48.8,%,Ibaiak
2019,45.7,%,Ibaiak
2020,48.0,%,Ibaiak
2021,55.1,%,Ibaiak
2023,43.4,%,Ibaiak
