Year,Value,Units,Series
2014,99.4,Porcentaje,"3,5G"
2013,99.5,Porcentaje,"3,5G"
2017,100.0,Porcentaje,"3,5G"
2016,99.9,Porcentaje,"3,5G"
2019,100.0,Porcentaje,"3,5G"
2018,100.0,Porcentaje,"3,5G"
2012,96.6,Porcentaje,"3,5G"
2015,99.9,Porcentaje,"3,5G"
2020,100.0,Porcentaje,"3,5G"
2014,93.5,Porcentaje,4G
2012,55.1,Porcentaje,4G
2020,100.0,Porcentaje,4G
2017,100.0,Porcentaje,4G
2018,100.0,Porcentaje,4G
2015,99.0,Porcentaje,4G
2019,100.0,Porcentaje,4G
2013,79.6,Porcentaje,4G
2016,99.9,Porcentaje,4G
